DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,31.09,9.96,0.0,15.47,1.69,Ahmednagar
20190102,31.54,10.77,0.0,17.98,1.37,Ahmednagar
20190103,31.12,14.58,0.0,15.97,0.94,Ahmednagar
20190104,31.8,10.9,0.0,18.14,1.46,Ahmednagar
20190105,31.56,11.68,0.0,22.04,1.58,Ahmednagar
20190106,31.17,12.6,0.0,21.43,1.4,Ahmednagar
20190107,29.64,10.65,0.0,23.47,2.28,Ahmednagar
20190108,29.83,9.01,0.0,16.95,1.84,Ahmednagar
20190109,31.27,12.55,0.0,14.8,1.09,Ahmednagar
20190110,31.08,9.3,0.0,18.32,1.55,Ahmednagar
20190111,31.67,10.56,0.0,21.22,1.35,Ahmednagar
20190112,31.77,14.78,0.0,24.08,1.5,Ahmednagar
20190113,30.9,12.21,0.0,25.05,1.25,Ahmednagar
20190114,30.26,12.59,0.0,31.62,2.28,Ahmednagar
20190115,30.56,11.93,0.0,34.4,1.87,Ahmednagar
20190116,31.69,12.88,0.0,33.96,1.56,Ahmednagar
20190117,31.98,13.78,0.0,24.45,1.46,Ahmednagar
20190118,32.05,14.43,0.0,21.96,1.38,Ahmednagar
20190119,31.51,12.46,0.0,23.44,1.8,Ahmednagar
20190120,32.43,13.22,0.0,19.72,1.82,Ahmednagar
20190121,32.17,12.56,0.0,24.79,2.48,Ahmednagar
20190122,30.12,11.91,0.0,49.83,1.86,Ahmednagar
20190123,30.18,12.28,0.0,49.37,1.64,Ahmednagar
20190124,30.43,11.62,0.0,34.12,1.99,Ahmednagar
20190125,29.43,11.28,0.0,26.56,2.31,Ahmednagar
20190126,27.99,10.83,0.0,41.07,3.05,Ahmednagar
20190127,26.89,12.47,0.0,53.5,3.12,Ahmednagar
20190128,26.4,11.12,0.0,28.6,3.17,Ahmednagar
20190129,27.6,8.51,0.0,18.0,2.51,Ahmednagar
20190130,29.63,8.3,0.0,15.98,1.59,Ahmednagar
20190131,30.6,9.48,0.0,22.96,1.92,Ahmednagar
20190201,31.19,14.19,0.0,37.61,1.5,Ahmednagar
20190202,31.72,15.55,0.0,36.99,1.64,Ahmednagar
20190203,31.47,16.23,0.0,38.07,2.32,Ahmednagar
20190204,32.41,15.8,0.0,34.84,2.87,Ahmednagar
20190205,32.71,15.64,0.0,34.32,1.88,Ahmednagar
20190206,33.57,17.39,0.0,34.03,2.02,Ahmednagar
20190207,30.73,13.87,0.0,43.83,2.86,Ahmednagar
20190208,29.7,11.53,0.0,38.44,2.84,Ahmednagar
20190209,29.26,8.18,0.0,20.69,2.63,Ahmednagar
20190210,32.25,8.87,0.0,13.8,2.09,Ahmednagar
20190211,32.94,11.82,0.0,20.12,1.58,Ahmednagar
20190212,33.93,15.75,0.0,35.39,1.73,Ahmednagar
20190213,33.83,18.93,0.0,37.09,2.16,Ahmednagar
20190214,34.55,17.7,0.0,29.23,1.61,Ahmednagar
20190215,34.4,17.55,0.0,34.74,2.74,Ahmednagar
20190216,32.83,14.35,0.0,27.01,1.74,Ahmednagar
20190217,32.94,13.06,0.0,19.94,1.47,Ahmednagar
20190218,35.24,14.91,0.0,17.17,1.19,Ahmednagar
20190219,36.54,18.31,0.0,16.86,1.06,Ahmednagar
20190220,37.17,16.81,0.0,24.49,2.27,Ahmednagar
20190221,36.28,20.0,0.01,32.59,1.38,Ahmednagar
20190222,35.85,21.76,0.0,30.99,1.37,Ahmednagar
20190223,36.79,19.3,0.0,28.55,1.69,Ahmednagar
20190224,37.55,19.15,0.0,17.55,2.53,Ahmednagar
20190225,35.48,17.7,0.0,20.19,2.21,Ahmednagar
20190226,33.83,17.17,0.0,23.68,3.11,Ahmednagar
20190227,32.58,15.69,0.0,33.56,3.25,Ahmednagar
20190228,31.05,14.25,0.0,31.42,2.42,Ahmednagar
20190301,33.69,13.35,0.0,18.06,1.91,Ahmednagar
20190302,36.93,15.59,0.0,24.38,2.7,Ahmednagar
20190303,35.74,15.93,0.0,43.81,1.7,Ahmednagar
20190304,36.94,16.25,0.0,44.8,2.9,Ahmednagar
20190305,34.08,16.37,0.0,43.84,2.55,Ahmednagar
20190306,33.34,15.33,0.0,29.4,2.06,Ahmednagar
20190307,33.72,14.59,0.0,22.1,2.31,Ahmednagar
20190308,36.19,15.87,0.0,18.76,1.63,Ahmednagar
20190309,36.55,18.09,0.0,24.9,2.2,Ahmednagar
20190310,37.78,18.07,0.0,22.59,2.21,Ahmednagar
20190311,37.51,18.41,0.0,24.05,2.41,Ahmednagar
20190312,36.43,18.23,0.0,26.51,1.72,Ahmednagar
20190313,36.78,18.94,0.0,25.51,2.33,Ahmednagar
20190314,36.02,19.16,0.0,24.58,2.48,Ahmednagar
20190315,36.54,18.16,0.0,20.9,2.1,Ahmednagar
20190316,38.36,19.26,0.0,21.86,1.94,Ahmednagar
20190317,38.3,19.14,0.0,19.2,2.36,Ahmednagar
20190318,38.03,18.77,0.0,17.01,2.47,Ahmednagar
20190319,38.41,18.67,0.0,16.77,2.08,Ahmednagar
20190320,37.77,18.72,0.0,20.07,2.24,Ahmednagar
20190321,37.18,18.83,0.0,23.55,2.13,Ahmednagar
20190322,37.59,18.72,0.0,20.17,1.99,Ahmednagar
20190323,38.86,19.09,0.0,16.8,2.15,Ahmednagar
20190324,39.17,19.72,0.0,19.58,2.34,Ahmednagar
20190325,40.18,20.89,0.0,20.54,1.71,Ahmednagar
20190326,39.87,23.04,0.0,17.35,2.88,Ahmednagar
20190327,39.95,20.94,0.0,14.27,1.59,Ahmednagar
20190328,40.22,19.79,0.0,12.93,1.9,Ahmednagar
20190329,40.74,21.33,0.0,13.56,1.88,Ahmednagar
20190330,40.66,23.0,0.0,14.85,0.79,Ahmednagar
20190331,40.43,22.79,0.09,24.86,2.9,Ahmednagar
20190401,40.87,20.76,0.0,21.09,2.76,Ahmednagar
20190402,40.29,20.29,0.0,24.7,2.07,Ahmednagar
20190403,40.99,21.44,0.0,21.05,2.36,Ahmednagar
20190404,41.27,22.16,0.1,20.13,1.77,Ahmednagar
20190405,40.35,23.24,0.0,26.21,1.74,Ahmednagar
20190406,40.64,23.19,0.0,25.59,2.63,Ahmednagar
20190407,40.77,22.3,0.0,22.61,2.69,Ahmednagar
20190408,40.86,22.39,0.0,23.15,2.55,Ahmednagar
20190409,41.28,21.95,0.0,23.32,3.43,Ahmednagar
