DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,30.57,12.54,0.0,16.06,1.31,Akola
20190102,31.92,11.19,0.0,20.13,1.52,Akola
20190103,30.43,13.73,0.0,18.04,0.94,Akola
20190104,30.81,10.64,0.0,20.76,1.53,Akola
20190105,31.27,11.65,0.0,25.0,1.77,Akola
20190106,30.86,12.37,0.0,28.12,1.68,Akola
20190107,28.86,9.64,0.0,22.96,1.88,Akola
20190108,27.81,8.29,0.0,22.6,1.11,Akola
20190109,29.35,12.83,0.0,18.83,1.05,Akola
20190110,29.5,8.83,0.0,24.77,1.37,Akola
20190111,30.23,9.71,0.0,28.12,1.54,Akola
20190112,31.38,11.87,0.0,38.48,2.09,Akola
20190113,31.01,13.5,0.0,36.62,1.58,Akola
20190114,29.37,12.35,0.0,28.94,1.92,Akola
20190115,29.23,10.46,0.0,30.24,1.38,Akola
20190116,31.0,11.61,0.0,27.04,1.37,Akola
20190117,31.67,13.8,0.0,21.55,1.3,Akola
20190118,31.2,13.54,0.0,21.55,1.33,Akola
20190119,31.3,11.15,0.0,18.81,1.63,Akola
20190120,32.65,12.39,0.0,17.49,1.85,Akola
20190121,33.09,13.9,0.0,19.36,2.86,Akola
20190122,30.74,13.72,0.0,31.35,1.4,Akola
20190123,29.68,13.49,0.0,40.02,1.83,Akola
20190124,29.99,13.42,0.04,38.1,1.34,Akola
20190125,29.03,15.01,0.73,37.39,2.25,Akola
20190126,24.7,12.71,0.13,57.07,1.95,Akola
20190127,26.67,11.84,0.0,46.37,2.37,Akola
20190128,25.57,8.62,0.0,23.51,2.34,Akola
20190129,26.21,6.58,0.0,19.29,1.65,Akola
20190130,28.57,7.68,0.0,20.12,1.89,Akola
20190131,29.38,9.16,0.0,21.86,2.61,Akola
20190201,31.06,12.61,0.0,38.4,1.95,Akola
20190202,30.98,15.37,0.0,42.74,2.03,Akola
20190203,31.71,17.34,0.0,32.01,3.05,Akola
20190204,32.12,16.17,0.0,30.68,2.93,Akola
20190205,32.85,16.1,0.0,29.98,2.11,Akola
20190206,33.99,17.36,0.0,30.54,2.14,Akola
20190207,31.03,17.56,0.0,33.28,2.96,Akola
20190208,28.58,13.34,0.0,32.19,3.26,Akola
20190209,27.43,7.89,0.0,15.92,2.22,Akola
20190210,30.05,7.66,0.0,16.14,1.94,Akola
20190211,32.11,9.83,0.0,17.78,1.96,Akola
20190212,33.61,13.44,0.0,26.75,2.52,Akola
20190213,34.02,17.8,0.0,30.37,2.31,Akola
20190214,35.35,17.32,0.0,25.5,1.88,Akola
20190215,34.16,18.06,0.06,29.82,1.9,Akola
20190216,32.7,14.83,0.02,24.49,2.12,Akola
20190217,31.69,12.62,0.0,22.44,1.86,Akola
20190218,34.46,15.03,0.0,16.2,1.4,Akola
20190219,35.96,15.65,0.0,19.49,1.85,Akola
20190220,37.03,16.97,0.02,25.85,2.58,Akola
20190221,37.45,22.03,0.98,33.68,2.27,Akola
20190222,37.19,21.49,0.0,28.2,1.6,Akola
20190223,37.21,19.02,0.0,29.62,1.66,Akola
20190224,36.58,21.09,0.0,18.55,2.15,Akola
20190225,34.52,17.53,0.0,18.89,2.81,Akola
20190226,33.38,18.41,0.0,20.14,3.05,Akola
20190227,33.05,16.3,0.0,30.4,3.37,Akola
20190228,30.79,14.91,0.0,24.34,2.61,Akola
20190301,32.56,13.12,0.0,23.8,1.93,Akola
20190302,35.87,16.27,0.0,29.6,2.87,Akola
20190303,36.09,19.6,0.0,28.65,2.41,Akola
20190304,36.05,17.87,0.0,33.79,2.81,Akola
20190305,33.12,17.4,0.0,24.39,3.03,Akola
20190306,33.08,15.25,0.0,20.78,2.07,Akola
20190307,33.83,15.01,0.0,21.34,1.74,Akola
20190308,36.05,15.28,0.0,20.72,1.59,Akola
20190309,36.3,18.68,0.0,23.03,2.42,Akola
20190310,37.46,17.78,0.0,20.01,2.09,Akola
20190311,37.62,20.62,0.0,21.7,1.81,Akola
20190312,37.06,19.17,0.0,23.66,1.9,Akola
20190313,37.44,19.5,0.0,21.33,1.72,Akola
20190314,36.21,19.6,0.0,21.82,2.7,Akola
20190315,37.22,19.58,0.0,19.03,1.9,Akola
20190316,38.35,19.95,0.0,20.84,1.93,Akola
20190317,39.56,22.14,0.0,19.88,3.16,Akola
20190318,38.38,19.12,0.0,16.81,2.28,Akola
20190319,38.17,19.03,0.0,19.13,1.86,Akola
20190320,38.8,19.88,0.14,23.26,1.9,Akola
20190321,37.43,20.66,0.03,21.4,2.38,Akola
20190322,38.06,20.08,0.09,17.35,2.41,Akola
20190323,39.24,19.28,0.0,16.96,2.0,Akola
20190324,39.04,20.69,0.0,19.5,2.32,Akola
20190325,40.86,20.72,0.0,17.79,1.64,Akola
20190326,40.99,21.81,0.0,17.49,2.12,Akola
20190327,40.18,20.87,0.0,14.95,2.07,Akola
