DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,30.11,11.25,0.0,15.38,1.08,Amravati
20190102,30.9,12.16,0.0,19.58,1.18,Amravati
20190103,30.12,11.54,0.0,18.46,0.94,Amravati
20190104,29.76,10.32,0.0,21.69,1.58,Amravati
20190105,29.76,10.29,0.0,32.2,1.62,Amravati
20190106,29.63,11.12,0.0,35.17,1.53,Amravati
20190107,29.1,11.14,0.0,23.32,2.09,Amravati
20190108,28.06,8.68,0.0,26.77,1.16,Amravati
20190109,28.87,9.5,0.0,22.32,1.34,Amravati
20190110,28.9,9.93,0.0,25.2,1.55,Amravati
20190111,28.64,9.39,0.0,32.03,1.6,Amravati
20190112,29.71,11.02,0.0,41.75,2.04,Amravati
20190113,29.78,12.4,0.0,47.57,1.59,Amravati
20190114,29.4,13.32,0.0,27.55,2.23,Amravati
20190115,28.89,11.16,0.0,27.36,1.36,Amravati
20190116,30.06,11.11,0.0,19.36,1.14,Amravati
20190117,31.5,12.76,0.0,19.75,1.11,Amravati
20190118,31.05,11.84,0.0,19.17,1.22,Amravati
20190119,30.91,11.66,0.0,16.51,1.67,Amravati
20190120,31.78,11.89,0.0,17.04,1.67,Amravati
20190121,32.6,12.07,0.0,18.14,2.33,Amravati
20190122,30.43,14.19,0.0,27.59,1.46,Amravati
20190123,29.87,13.89,0.0,36.58,1.78,Amravati
20190124,29.63,14.06,0.17,39.77,1.73,Amravati
20190125,27.1,15.99,3.52,48.23,2.08,Amravati
20190126,25.41,13.29,0.09,60.77,2.06,Amravati
20190127,26.88,11.88,0.0,42.78,2.52,Amravati
20190128,25.75,9.18,0.0,23.07,2.72,Amravati
20190129,25.96,7.66,0.0,20.61,1.81,Amravati
20190130,27.6,8.19,0.0,22.53,1.62,Amravati
20190131,28.3,8.11,0.0,24.3,2.33,Amravati
20190201,29.96,11.19,0.0,33.13,1.94,Amravati
20190202,30.52,14.63,0.0,39.13,1.79,Amravati
20190203,30.88,15.23,0.0,34.27,2.36,Amravati
20190204,31.56,15.02,0.0,32.78,2.39,Amravati
20190205,32.15,15.09,0.0,31.21,1.96,Amravati
20190206,33.54,15.93,0.0,32.62,2.24,Amravati
20190207,30.19,18.26,0.0,33.06,3.02,Amravati
20190208,28.33,14.05,0.0,28.89,3.13,Amravati
20190209,27.71,8.33,0.0,15.58,2.61,Amravati
20190210,28.99,8.78,0.0,16.59,1.98,Amravati
20190211,30.92,9.45,0.0,18.68,1.94,Amravati
20190212,32.63,12.69,0.0,24.61,2.28,Amravati
20190213,33.41,15.3,0.0,28.27,1.87,Amravati
20190214,34.95,16.29,0.0,24.1,1.89,Amravati
20190215,33.87,16.98,0.5,30.8,2.18,Amravati
20190216,32.8,15.73,0.01,25.65,2.42,Amravati
20190217,31.61,13.41,0.0,21.74,2.19,Amravati
20190218,34.03,15.26,0.0,16.39,1.27,Amravati
20190219,35.69,15.32,0.0,21.04,1.65,Amravati
20190220,36.37,16.66,0.08,26.61,2.52,Amravati
20190221,37.25,20.69,0.58,36.03,2.32,Amravati
20190222,37.28,21.79,0.04,28.81,1.85,Amravati
20190223,36.85,19.52,0.0,30.29,2.02,Amravati
20190224,36.47,19.41,0.0,22.76,2.16,Amravati
20190225,34.08,17.57,0.0,19.58,3.0,Amravati
20190226,33.11,18.45,0.0,19.94,3.02,Amravati
20190227,32.16,16.48,0.0,31.16,3.44,Amravati
20190228,31.09,14.97,0.0,24.33,2.41,Amravati
20190301,31.9,14.31,0.0,23.27,2.27,Amravati
20190302,34.67,16.31,0.02,29.44,3.13,Amravati
20190303,35.96,20.76,0.68,33.52,2.18,Amravati
20190304,35.44,18.28,0.0,34.27,2.82,Amravati
20190305,33.61,17.42,0.0,24.11,2.94,Amravati
20190306,33.46,15.92,0.0,25.4,1.97,Amravati
20190307,33.83,15.96,0.0,22.37,1.79,Amravati
20190308,35.62,15.98,0.0,21.69,1.71,Amravati
20190309,36.15,19.22,0.0,21.82,2.43,Amravati
20190310,37.1,18.23,0.0,19.58,2.43,Amravati
20190311,38.06,20.1,0.0,22.12,2.07,Amravati
20190312,37.54,20.16,0.0,22.87,2.31,Amravati
20190313,38.08,22.07,0.02,20.79,1.71,Amravati
20190314,36.99,20.28,0.0,21.3,2.3,Amravati
20190315,37.42,20.56,0.0,20.14,2.06,Amravati
20190316,37.85,20.75,0.0,21.99,2.15,Amravati
20190317,39.38,22.06,0.0,22.33,3.54,Amravati
20190318,38.22,19.55,0.2,17.79,2.41,Amravati
20190319,37.97,19.37,0.0,21.1,1.96,Amravati
20190320,38.34,20.5,1.21,28.05,2.45,Amravati
20190321,37.73,20.41,0.24,24.55,2.1,Amravati
20190322,38.81,20.45,0.04,17.96,2.11,Amravati
20190323,38.93,20.12,0.0,17.99,2.06,Amravati
20190324,38.92,21.11,0.0,18.37,1.98,Amravati
20190325,40.49,20.88,0.0,17.7,1.74,Amravati
20190326,41.18,22.18,0.0,17.7,2.23,Amravati
20190327,39.81,22.13,0.0,14.96,2.26,Amravati
20190328,40.61,21.25,0.0,11.66,2.03,Amravati
20190329,41.68,22.22,0.0,13.16,0.95,Amravati
