DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,30.44,10.49,0.0,15.62,1.6,Aurangabad
20190102,31.19,10.75,0.0,19.15,1.49,Aurangabad
20190103,30.65,13.88,0.0,16.77,1.06,Aurangabad
20190104,30.88,10.6,0.0,19.2,1.49,Aurangabad
20190105,31.12,11.71,0.0,21.83,1.85,Aurangabad
20190106,30.17,13.29,0.0,22.63,1.66,Aurangabad
20190107,28.54,9.52,0.0,21.04,2.16,Aurangabad
20190108,28.68,8.43,0.0,18.24,1.59,Aurangabad
20190109,30.16,12.29,0.0,17.0,1.31,Aurangabad
20190110,29.87,9.09,0.0,21.88,1.49,Aurangabad
20190111,30.55,9.74,0.0,22.89,1.48,Aurangabad
20190112,31.52,12.09,0.0,27.8,1.81,Aurangabad
20190113,30.25,11.93,0.0,24.66,1.46,Aurangabad
20190114,29.17,12.26,0.0,28.6,2.44,Aurangabad
20190115,29.85,11.14,0.0,30.32,1.64,Aurangabad
20190116,31.14,12.17,0.0,30.45,1.55,Aurangabad
20190117,31.62,13.22,0.0,23.39,1.36,Aurangabad
20190118,31.3,12.85,0.0,22.67,1.49,Aurangabad
20190119,31.07,12.17,0.0,20.82,1.65,Aurangabad
20190120,32.09,12.71,0.0,18.58,1.85,Aurangabad
20190121,32.03,12.32,0.0,21.91,2.81,Aurangabad
20190122,29.64,12.36,0.0,42.72,1.74,Aurangabad
20190123,29.28,12.43,0.0,47.84,1.81,Aurangabad
20190124,29.7,12.32,0.0,35.91,1.6,Aurangabad
20190125,28.05,11.42,0.0,29.6,2.69,Aurangabad
20190126,26.24,10.73,0.0,41.28,2.76,Aurangabad
20190127,26.33,11.34,0.0,44.24,3.07,Aurangabad
20190128,24.94,8.7,0.0,23.61,2.94,Aurangabad
20190129,26.58,7.11,0.0,17.52,2.22,Aurangabad
20190130,28.66,7.58,0.0,16.34,1.72,Aurangabad
20190131,28.98,9.04,0.0,21.93,2.48,Aurangabad
20190201,30.62,12.44,0.0,35.33,1.7,Aurangabad
20190202,30.46,14.38,0.0,41.91,1.89,Aurangabad
20190203,30.93,16.3,0.0,35.61,2.48,Aurangabad
20190204,31.69,15.55,0.0,33.34,2.86,Aurangabad
20190205,32.07,15.29,0.0,32.04,1.88,Aurangabad
20190206,33.21,17.02,0.0,32.68,1.95,Aurangabad
20190207,29.55,14.8,0.0,40.68,3.17,Aurangabad
20190208,27.29,11.51,0.0,37.3,3.05,Aurangabad
20190209,26.96,7.98,0.0,17.26,2.47,Aurangabad
20190210,30.56,7.91,0.0,14.19,2.27,Aurangabad
20190211,31.89,10.4,0.0,17.38,1.8,Aurangabad
20190212,33.16,13.55,0.0,31.34,2.07,Aurangabad
20190213,33.02,17.87,0.0,37.36,2.34,Aurangabad
20190214,34.24,17.14,0.0,29.1,1.68,Aurangabad
20190215,33.52,17.88,0.0,33.36,2.64,Aurangabad
20190216,31.56,14.4,0.0,23.4,2.12,Aurangabad
20190217,31.84,12.55,0.0,21.06,1.83,Aurangabad
20190218,34.54,16.2,0.0,16.01,1.26,Aurangabad
20190219,35.21,17.09,0.0,18.6,1.54,Aurangabad
20190220,36.75,16.92,0.0,24.96,2.16,Aurangabad
20190221,36.23,19.34,0.29,31.43,1.37,Aurangabad
20190222,35.76,20.5,0.02,30.63,1.7,Aurangabad
20190223,36.29,18.65,0.0,29.62,1.79,Aurangabad
20190224,35.86,18.42,0.0,15.89,2.45,Aurangabad
20190225,34.23,17.23,0.0,20.23,2.78,Aurangabad
20190226,32.77,17.16,0.0,23.94,3.21,Aurangabad
20190227,31.83,15.34,0.0,34.56,3.35,Aurangabad
20190228,29.81,13.95,0.0,26.57,2.69,Aurangabad
20190301,32.62,12.95,0.0,21.0,1.96,Aurangabad
20190302,35.89,16.29,0.0,24.5,2.64,Aurangabad
20190303,34.98,16.17,0.0,34.09,2.24,Aurangabad
20190304,35.65,16.69,0.0,36.6,2.97,Aurangabad
