DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,31.03,10.0,0.0,16.0,1.8,Beed
20190102,31.66,11.27,0.0,18.3,1.45,Beed
20190103,31.14,13.07,0.0,16.74,1.09,Beed
20190104,31.92,10.98,0.0,19.02,1.52,Beed
20190105,31.47,12.16,0.0,25.6,1.9,Beed
20190106,31.25,14.5,0.0,23.51,1.25,Beed
20190107,29.5,10.6,0.0,23.52,2.13,Beed
20190108,29.33,8.82,0.0,17.31,1.82,Beed
20190109,31.44,12.28,0.0,15.7,1.16,Beed
20190110,31.05,9.67,0.0,18.61,1.4,Beed
20190111,31.64,10.97,0.0,23.87,1.53,Beed
20190112,31.72,13.2,0.0,32.06,1.85,Beed
20190113,30.93,13.04,0.0,27.99,1.17,Beed
20190114,30.23,13.02,0.0,33.87,2.19,Beed
20190115,30.37,12.04,0.0,36.49,1.79,Beed
20190116,31.73,13.21,0.0,31.63,1.67,Beed
20190117,31.92,13.42,0.0,23.38,1.54,Beed
20190118,32.09,13.75,0.0,22.56,1.5,Beed
20190119,31.6,12.65,0.0,22.83,1.79,Beed
20190120,32.73,13.33,0.0,18.7,1.97,Beed
20190121,32.37,13.03,0.0,23.18,2.68,Beed
20190122,30.62,12.66,0.0,40.66,1.62,Beed
20190123,30.47,12.61,0.0,45.03,1.57,Beed
20190124,30.84,12.34,0.0,36.4,1.64,Beed
20190125,29.84,12.02,0.0,30.32,2.19,Beed
20190126,27.65,11.87,0.0,46.53,3.02,Beed
20190127,26.43,12.8,0.0,57.38,2.92,Beed
20190128,26.42,10.87,0.0,28.73,2.98,Beed
20190129,27.21,8.19,0.0,17.86,2.39,Beed
20190130,29.64,8.25,0.0,16.53,1.71,Beed
20190131,30.98,9.73,0.0,24.22,2.09,Beed
20190201,31.35,13.41,0.0,41.92,1.57,Beed
20190202,31.87,15.81,0.0,39.3,1.73,Beed
20190203,31.73,16.59,0.0,36.7,2.87,Beed
20190204,32.45,15.89,0.0,33.4,3.01,Beed
20190205,32.83,15.75,0.0,35.89,1.99,Beed
20190206,33.96,16.76,0.0,32.99,1.96,Beed
20190207,31.34,15.26,0.0,38.16,2.89,Beed
20190208,30.07,12.66,0.0,35.16,2.95,Beed
20190209,29.21,8.8,0.0,17.87,2.56,Beed
20190210,32.09,9.11,0.0,13.65,2.13,Beed
20190211,33.05,11.71,0.0,20.73,1.67,Beed
20190212,34.07,15.9,0.0,36.7,2.05,Beed
20190213,34.07,18.76,0.0,37.41,2.3,Beed
20190214,34.8,17.51,0.0,27.15,1.88,Beed
20190215,34.52,17.37,0.0,33.38,2.32,Beed
20190216,33.3,15.3,0.0,24.42,2.04,Beed
20190217,32.94,13.33,0.0,20.06,1.71,Beed
20190218,35.08,14.59,0.0,17.14,1.41,Beed
20190219,36.85,18.39,0.0,16.59,1.27,Beed
20190220,37.21,17.36,0.0,26.12,2.38,Beed
20190221,36.41,21.26,0.03,32.71,1.69,Beed
20190222,36.3,22.68,0.0,29.63,1.09,Beed
20190223,36.93,19.49,0.0,28.59,1.62,Beed
