DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,30.73,11.59,0.0,15.48,1.51,Buldhana
20190102,31.68,10.74,0.0,19.42,1.78,Buldhana
20190103,30.38,14.21,0.0,17.05,1.06,Buldhana
20190104,30.97,10.58,0.0,18.94,1.47,Buldhana
20190105,31.24,12.16,0.0,23.11,2.09,Buldhana
20190106,30.24,13.28,0.0,24.15,1.72,Buldhana
20190107,27.92,8.63,0.0,22.22,1.95,Buldhana
20190108,27.59,7.64,0.0,21.15,1.39,Buldhana
20190109,29.46,12.92,0.0,18.15,1.26,Buldhana
20190110,29.55,8.56,0.0,24.34,1.35,Buldhana
20190111,30.37,9.55,0.0,25.34,1.59,Buldhana
20190112,31.71,11.73,0.0,30.25,1.97,Buldhana
20190113,30.17,12.76,0.0,29.15,1.47,Buldhana
20190114,28.64,11.2,0.0,29.49,2.11,Buldhana
20190115,29.32,9.96,0.0,30.25,1.46,Buldhana
20190116,31.03,11.69,0.0,28.52,1.51,Buldhana
20190117,31.66,13.27,0.0,22.3,1.45,Buldhana
20190118,31.17,13.2,0.0,21.88,1.5,Buldhana
20190119,31.32,11.51,0.0,18.81,1.65,Buldhana
20190120,32.61,12.58,0.0,17.5,1.92,Buldhana
20190121,32.6,14.11,0.0,20.54,3.23,Buldhana
20190122,30.08,13.13,0.0,37.15,1.58,Buldhana
20190123,29.29,12.72,0.0,44.03,1.74,Buldhana
20190124,29.71,13.63,0.0,35.95,1.26,Buldhana
20190125,28.02,12.16,0.14,33.66,2.36,Buldhana
20190126,25.43,10.53,0.01,46.02,2.14,Buldhana
20190127,26.06,10.66,0.0,42.94,2.53,Buldhana
20190128,24.56,7.55,0.0,22.49,2.43,Buldhana
20190129,25.77,6.06,0.0,18.62,1.82,Buldhana
20190130,28.72,7.31,0.0,17.2,1.87,Buldhana
20190131,28.82,9.38,0.0,20.95,2.86,Buldhana
20190201,30.98,12.34,0.0,37.14,2.04,Buldhana
20190202,30.49,14.33,0.0,44.2,1.56,Buldhana
20190203,31.42,16.67,0.0,33.49,2.64,Buldhana
20190204,32.06,16.01,0.0,31.39,2.92,Buldhana
20190205,32.58,16.17,0.0,29.78,2.0,Buldhana
20190206,33.52,17.49,0.0,30.52,2.21,Buldhana
20190207,29.98,16.13,0.0,36.82,3.36,Buldhana
20190208,27.35,12.01,0.0,35.2,3.05,Buldhana
20190209,26.27,7.38,0.0,16.8,2.12,Buldhana
20190210,30.05,6.88,0.0,15.49,1.99,Buldhana
20190211,32.06,9.9,0.0,16.65,1.89,Buldhana
20190212,33.47,13.18,0.0,28.07,2.38,Buldhana
20190213,33.46,17.77,0.0,33.47,2.28,Buldhana
