DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,29.82,9.34,0.0,31.73,1.41,Chandrapur
20190102,31.22,10.18,0.0,33.69,1.1,Chandrapur
20190103,30.21,12.16,0.0,33.35,0.92,Chandrapur
20190104,30.88,10.94,0.0,36.55,1.45,Chandrapur
20190105,30.44,11.16,0.0,42.25,1.3,Chandrapur
20190106,30.27,12.24,0.0,45.37,1.56,Chandrapur
20190107,30.06,15.08,0.0,42.53,1.03,Chandrapur
20190108,27.46,9.41,0.0,30.33,1.91,Chandrapur
20190109,29.13,10.2,0.0,28.14,1.41,Chandrapur
20190110,29.62,9.66,0.0,36.02,1.41,Chandrapur
20190111,29.48,10.74,0.0,42.53,1.36,Chandrapur
20190112,30.19,12.46,0.0,46.66,1.79,Chandrapur
20190113,30.26,14.98,0.0,50.36,1.77,Chandrapur
20190114,29.68,15.56,0.0,47.17,1.4,Chandrapur
20190115,28.9,11.95,0.0,36.81,1.96,Chandrapur
20190116,30.48,11.46,0.0,31.6,1.22,Chandrapur
20190117,30.98,12.43,0.0,27.34,1.07,Chandrapur
20190118,31.48,12.67,0.0,26.15,1.2,Chandrapur
20190119,31.73,11.23,0.0,24.82,1.33,Chandrapur
20190120,32.22,12.49,0.0,25.57,1.23,Chandrapur
20190121,32.76,11.85,0.0,30.45,1.88,Chandrapur
20190122,31.87,14.99,0.0,43.09,2.8,Chandrapur
20190123,31.69,16.44,0.0,48.09,2.33,Chandrapur
20190124,31.6,15.56,0.33,47.41,1.47,Chandrapur
20190125,29.85,19.17,17.42,61.69,2.28,Chandrapur
20190126,23.71,17.31,14.07,82.15,2.97,Chandrapur
20190127,24.21,15.19,0.79,78.1,2.66,Chandrapur
20190128,25.41,11.37,0.01,60.56,2.45,Chandrapur
20190129,24.63,6.4,0.0,45.27,2.23,Chandrapur
20190130,26.2,6.15,0.0,43.21,1.57,Chandrapur
20190131,27.98,7.48,0.0,44.8,1.38,Chandrapur
20190201,28.88,10.58,0.0,53.06,1.35,Chandrapur
20190202,30.05,12.95,0.0,51.21,1.54,Chandrapur
20190203,30.44,12.28,0.0,49.73,2.01,Chandrapur
20190204,30.35,12.02,0.0,49.07,1.44,Chandrapur
20190205,30.96,13.29,0.0,47.98,1.41,Chandrapur
20190206,32.05,14.2,0.0,44.68,1.35,Chandrapur
20190207,32.24,15.49,0.0,53.76,2.36,Chandrapur
20190208,29.56,17.12,0.02,45.84,1.64,Chandrapur
