district,crop,season,sum_insured_per_hectare,actuarial_rate_percent,farmer_share_percent,total_premium,farmer_premium,govt_premium
Ahmadnagar,Acid Lime,Kharif,70000.0,39.0,5.0,27300.0,3500.0,23800.0
Ahmadnagar,Guava,Kharif,60000.0,5.0,5.0,3000.0,3000.0,0.0
Ahmadnagar,Mosambi (sweet lime),Kharif,80000.0,39.29,5.0,31432.0,4000.0,27432.0
Ahmadnagar,Orange,Kharif,80000.0,36.62,5.0,29296.0,4000.0,25296.0
Ahmadnagar,Pomegranate,Kharif,130000.0,5.0,5.0,6500.0,6500.0,0.0
Ahmadnagar,Sapota,Kharif,60000.0,10.0,5.0,6000.0,3000.0,3000.0
Akola,Acid Lime,Kharif,70000.0,33.0,5.0,23100.0,3500.0,19600.0
Akola,Mosambi (sweet lime),Kharif,80000.0,20.0,5.0,16000.0,4000.0,12000.0
Akola,Orange,Kharif,80000.0,35.0,5.0,28000.0,4000.0,24000.0
Amravati,Acid Lime,Kharif,70000.0,30.37,5.0,21259.0,3500.0,17759.0
Amravati,Mosambi (sweet lime),Kharif,80000.0,19.82,5.0,15856.0,4000.0,11856.0
Amravati,Orange,Kharif,80000.0,19.4,5.0,15520.0,4000.0,11520.0
Amravati,Pomegranate,Kharif,130000.0,5.0,5.0,6500.0,6500.0,0.0
Aurangabad,Acid Lime,Kharif,70000.0,40.0,5.0,28000.0,3500.0,24500.0
Aurangabad,Guava,Kharif,60000.0,20.0,5.0,12000.0,3000.0,9000.0
Aurangabad,Mosambi (sweet lime),Kharif,80000.0,13.5,5.0,10800.0,4000.0,6800.0
Aurangabad,Pomegranate,Kharif,130000.0,10.0,5.0,13000.0,6500.0,6500.0
Aurangabad,Sapota,Kharif,60000.0,15.0,5.0,9000.0,3000.0,6000.0
Bid,Acid Lime,Kharif,70000.0,53.0,5.0,37100.0,3500.0,33600.0
Bid,Mosambi (sweet lime),Kharif,80000.0,40.0,5.0,32000.0,4000.0,28000.0
Bid,Orange,Kharif,80000.0,55.0,5.0,44000.0,4000.0,40000.0
Bid,Pomegranate,Kharif,130000.0,15.0,5.0,19500.0,6500.0,13000.0
Bid,Sapota,Kharif,60000.0,15.0,5.0,9000.0,3000.0,6000.0
Buldana,Acid Lime,Kharif,70000.0,38.4,5.0,26880.0,3500.0,23380.0
Buldana,Guava,Kharif,60000.0,16.0,5.0,9600.0,3000.0,6600.0
Buldana,Mosambi (sweet lime),Kharif,80000.0,17.6,5.0,14080.0,4000.0,10080.0
Buldana,Orange,Kharif,80000.0,46.4,5.0,37120.0,4000.0,33120.0
Buldana,Pomegranate,Kharif,130000.0,16.0,5.0,20800.0,6500.0,14300.0
Dhule,Acid Lime,Kharif,70000.0,46.35,5.0,32445.0,3500.0,28945.0
Dhule,Mosambi (sweet lime),Kharif,80000.0,15.0,5.0,12000.0,4000.0,8000.0
Dhule,Pomegranate,Kharif,130000.0,15.0,5.0,19500.0,6500.0,13000.0
Hingoli,Mosambi (sweet lime),Kharif,80000.0,20.0,5.0,16000.0,4000.0,12000.0
Hingoli,Orange,Kharif,80000.0,30.0,5.0,24000.0,4000.0,20000.0
Jalgaon,Acid Lime,Kharif,70000.0,38.4,5.0,26880.0,3500.0,23380.0
Jalgaon,Guava,Kharif,60000.0,16.0,5.0,9600.0,3000.0,6600.0
Jalgaon,Mosambi (sweet lime),Kharif,80000.0,16.0,5.0,12800.0,4000.0,8800.0
Jalgaon,Pomegranate,Kharif,130000.0,16.0,5.0,20800.0,6500.0,14300.0
Jalgaon,Sapota,Kharif,60000.0,16.0,5.0,9600.0,3000.0,6600.0
Jalna,Acid Lime,Kharif,70000.0,43.5,5.0,30450.0,3500.0,26950.0
Jalna,Guava,Kharif,60000.0,5.0,5.0,3000.0,3000.0,0.0
Jalna,Mosambi (sweet lime),Kharif,80000.0,20.0,5.0,16000.0,4000.0,12000.0
