DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,32.18,11.24,0.0,13.64,1.41,Dhule
20190102,32.59,13.08,0.0,15.59,1.45,Dhule
20190103,31.08,12.76,0.0,16.31,1.15,Dhule
20190104,32.34,10.86,0.0,16.58,1.31,Dhule
20190105,32.88,13.24,0.0,17.67,1.7,Dhule
20190106,30.6,13.9,0.0,21.81,1.68,Dhule
20190107,28.21,8.26,0.0,20.75,1.83,Dhule
20190108,28.27,7.8,0.0,20.4,1.65,Dhule
20190109,29.65,11.92,0.0,18.26,1.39,Dhule
20190110,30.25,8.91,0.0,24.16,1.4,Dhule
20190111,31.28,10.78,0.0,21.28,1.22,Dhule
20190112,32.86,11.7,0.0,21.86,1.55,Dhule
20190113,29.95,11.85,0.0,24.94,1.25,Dhule
20190114,29.2,10.21,0.0,29.86,2.27,Dhule
20190115,29.85,9.53,0.0,28.9,1.74,Dhule
20190116,32.56,12.16,0.0,25.14,1.43,Dhule
20190117,32.64,14.64,0.0,21.04,1.26,Dhule
20190118,32.22,13.55,0.0,19.3,1.62,Dhule
20190119,33.05,12.22,0.0,17.39,1.74,Dhule
20190120,34.26,13.79,0.0,17.81,1.77,Dhule
20190121,34.06,13.63,0.0,22.08,3.03,Dhule
20190122,30.32,13.86,0.0,53.92,2.01,Dhule
20190123,29.47,13.72,0.0,47.33,1.54,Dhule
20190124,29.63,12.48,0.0,31.72,1.51,Dhule
20190125,27.35,11.12,0.0,28.13,2.25,Dhule
20190126,26.14,9.43,0.0,35.48,2.35,Dhule
20190127,26.36,9.7,0.0,34.92,2.49,Dhule
20190128,25.16,7.63,0.0,18.16,2.51,Dhule
20190129,26.77,6.09,0.0,17.87,2.18,Dhule
20190130,30.13,8.05,0.0,14.19,1.41,Dhule
20190131,30.89,10.0,0.0,16.28,1.85,Dhule
20190201,31.76,13.12,0.0,22.23,1.21,Dhule
20190202,31.44,12.43,0.0,33.98,1.41,Dhule
20190203,32.79,17.83,0.0,31.77,2.28,Dhule
20190204,34.0,17.5,0.0,30.43,2.75,Dhule
20190205,33.98,17.45,0.0,27.69,1.58,Dhule
20190206,34.38,17.67,0.0,35.58,2.37,Dhule
20190207,28.76,14.8,0.0,44.06,3.55,Dhule
20190208,26.89,10.69,0.0,41.27,2.76,Dhule
20190209,27.29,7.94,0.0,16.23,2.08,Dhule
20190210,30.65,7.2,0.0,13.82,1.83,Dhule
20190211,33.37,10.32,0.0,13.85,1.6,Dhule
20190212,35.5,13.43,0.0,22.94,1.57,Dhule
20190213,34.58,18.33,0.04,34.88,1.84,Dhule
20190214,35.13,20.46,0.01,34.01,1.82,Dhule
20190215,34.23,17.38,0.0,29.67,2.32,Dhule
20190216,31.29,14.33,0.0,24.55,1.43,Dhule
20190217,31.92,12.52,0.0,20.08,1.32,Dhule
20190218,35.52,15.68,0.0,15.81,1.31,Dhule
20190219,35.62,15.48,0.0,26.4,1.64,Dhule
20190220,38.77,17.68,0.0,20.93,1.69,Dhule
20190221,37.75,18.24,0.06,32.63,2.09,Dhule
20190222,37.63,18.65,0.0,32.96,1.98,Dhule
20190223,37.04,18.58,0.0,27.07,1.59,Dhule
20190224,34.48,17.54,0.0,15.27,2.02,Dhule
20190225,34.43,16.61,0.0,21.36,2.65,Dhule
20190226,32.77,18.13,0.0,33.21,3.46,Dhule
20190227,31.82,17.26,0.0,40.36,3.37,Dhule
20190228,30.57,14.23,0.0,22.13,2.42,Dhule
20190301,32.9,12.95,0.0,20.22,2.13,Dhule
20190302,38.17,15.75,0.0,20.03,2.66,Dhule
20190303,35.43,16.94,0.0,42.66,2.44,Dhule
20190304,34.96,18.14,0.0,44.09,3.1,Dhule
20190305,33.17,15.85,0.0,31.95,2.45,Dhule
20190306,32.68,15.2,0.0,28.49,1.97,Dhule
20190307,34.05,14.65,0.0,23.3,1.31,Dhule
20190308,36.64,17.99,0.0,20.06,1.21,Dhule
20190309,36.27,18.7,0.0,25.72,2.44,Dhule
20190310,37.35,18.13,0.0,20.56,1.94,Dhule
20190311,36.93,18.6,0.0,29.53,2.6,Dhule
20190312,36.77,17.67,0.0,28.17,1.69,Dhule
20190313,37.42,18.01,0.0,25.73,2.45,Dhule
20190314,34.58,19.75,0.0,29.03,2.61,Dhule
20190315,36.7,16.89,0.0,18.59,1.38,Dhule
20190316,38.9,18.36,0.0,18.38,1.72,Dhule
20190317,39.31,19.8,0.0,15.4,2.57,Dhule
20190318,38.28,18.76,0.0,16.92,1.84,Dhule
20190319,38.46,18.39,0.0,15.16,1.48,Dhule
20190320,38.97,20.22,0.0,19.98,1.86,Dhule
20190321,37.59,19.46,0.0,26.1,2.05,Dhule
20190322,37.53,18.08,0.0,24.49,1.83,Dhule
20190323,39.46,19.87,0.0,16.14,1.54,Dhule
20190324,39.98,20.27,0.0,16.28,1.45,Dhule
20190325,41.64,21.85,0.0,16.42,1.8,Dhule
20190326,40.92,21.74,0.0,18.26,2.13,Dhule
20190327,40.58,20.58,0.0,13.78,1.58,Dhule
20190328,41.57,22.98,0.0,11.07,1.06,Dhule
20190329,42.25,23.49,0.0,12.4,0.88,Dhule
20190330,42.09,22.42,0.0,20.74,1.7,Dhule
20190331,41.91,23.81,0.0,21.78,3.44,Dhule
20190401,41.84,21.35,0.0,20.86,2.46,Dhule
20190402,41.4,21.46,0.0,24.19,1.38,Dhule
20190403,42.57,22.63,0.0,24.06,1.53,Dhule
20190404,43.71,23.79,0.0,18.37,1.9,Dhule
20190405,42.57,24.6,0.0,24.38,3.87,Dhule
20190406,42.29,23.07,0.0,27.06,3.56,Dhule
20190407,42.27,23.25,0.0,23.74,2.85,Dhule
20190408,42.64,23.25,0.0,24.56,2.91,Dhule
20190409,42.53,23.48,0.0,22.85,3.62,Dhule
20190410,42.26,21.93,0.0,24.1,2.68,Dhule
20190411,43.64,23.23,0.0,24.15,2.89,Dhule
20190412,43.47,23.54,0.0,24.35,2.27,Dhule
20190413,42.52,23.68,0.0,24.87,1.5,Dhule
20190414,43.58,26.01,0.01,18.72,1.46,Dhule
20190415,41.84,27.56,1.52,23.91,2.42,Dhule
20190416,35.76,26.22,6.59,38.02,2.52,Dhule
20190417,36.7,22.68,0.0,35.17,3.16,Dhule
20190418,37.49,19.32,0.0,34.45,1.79,Dhule
20190419,40.1,21.96,0.0,27.14,2.25,Dhule
20190420,40.84,21.97,0.0,21.93,1.78,Dhule
20190421,41.07,22.17,0.0,22.4,2.43,Dhule
20190422,41.66,22.45,0.0,24.95,2.01,Dhule
20190423,42.64,23.09,0.0,24.83,1.89,Dhule
20190424,44.18,25.18,0.0,22.56,2.78,Dhule
20190425,44.84,26.39,0.0,20.41,3.48,Dhule
20190426,45.51,26.87,0.0,18.44,3.0,Dhule
20190427,46.43,28.44,0.0,15.9,3.04,Dhule
20190428,46.13,28.38,0.0,11.09,3.57,Dhule
20190429,45.1,27.3,0.0,15.25,3.95,Dhule
20190430,44.92,26.4,0.0,18.54,4.54,Dhule
20190501,42.11,24.22,0.0,26.1,4.54,Dhule
20190502,41.6,22.78,0.0,31.98,3.9,Dhule
20190503,41.11,23.17,0.0,34.43,5.0,Dhule
20190504,40.7,22.73,0.0,39.34,4.09,Dhule
20190505,41.27,23.63,0.0,38.56,3.37,Dhule
20190506,42.09,24.04,0.0,31.7,2.74,Dhule
20190507,42.69,25.29,0.0,26.87,4.42,Dhule
20190508,41.09,24.07,0.0,36.73,4.53,Dhule
20190509,40.89,23.75,0.0,41.03,4.23,Dhule
20190510,41.14,24.66,0.0,38.33,3.96,Dhule
20190511,41.95,22.66,0.0,35.71,3.83,Dhule
20190512,43.18,23.98,0.0,36.21,3.48,Dhule
20190513,43.02,25.24,0.0,36.06,4.14,Dhule
20190514,42.49,24.42,0.0,34.37,3.94,Dhule
20190515,41.96,24.02,0.0,33.42,3.66,Dhule
20190516,41.09,23.59,0.0,32.09,4.05,Dhule
20190517,41.53,25.27,0.0,30.76,4.01,Dhule
20190518,41.4,26.23,0.0,31.0,3.88,Dhule
20190519,42.62,26.73,0.0,24.29,3.34,Dhule
20190520,43.57,25.97,0.0,24.86,2.91,Dhule
20190521,44.1,26.78,0.0,27.93,3.71,Dhule
20190522,43.85,27.11,0.0,30.69,4.26,Dhule
20190523,43.86,26.25,0.0,34.3,4.25,Dhule
20190524,42.8,26.38,0.0,36.43,4.84,Dhule
20190525,42.52,26.32,0.0,34.05,3.79,Dhule
20190526,42.93,25.91,0.0,31.62,4.34,Dhule
20190527,42.23,26.05,0.0,33.04,4.39,Dhule
20190528,43.87,25.91,0.0,32.55,4.8,Dhule
20190529,44.56,26.8,0.0,31.27,4.27,Dhule
20190530,44.67,27.3,0.0,30.42,4.43,Dhule
20190531,44.95,27.54,0.0,33.32,4.31,Dhule
20190601,43.96,26.81,0.0,39.47,4.54,Dhule
20190602,42.91,27.37,0.0,39.11,4.28,Dhule
20190603,41.73,29.52,0.0,35.98,5.56,Dhule
20190604,44.0,27.14,0.0,34.85,4.98,Dhule
20190605,45.29,27.05,0.0,33.83,4.58,Dhule
20190606,43.6,28.1,0.03,37.2,4.83,Dhule
20190607,43.31,28.28,2.18,38.83,4.6,Dhule
