district,crop,season,sum_insured_per_hectare,actuarial_rate_percent,farmer_share_percent,total_premium,farmer_premium,govt_premium
Ahmadnagar,Pomegranate,Kharif,130000.0,5.0,5.0,6500.0,6500.0,0.0
Amravati,Pomegranate,Kharif,130000.0,5.0,5.0,6500.0,6500.0,0.0
Aurangabad,Pomegranate,Kharif,130000.0,10.0,5.0,13000.0,6500.0,6500.0
Bid,Pomegranate,Kharif,130000.0,15.0,5.0,19500.0,6500.0,13000.0
Buldana,Pomegranate,Kharif,130000.0,16.0,5.0,20800.0,6500.0,14300.0
Dhule,Pomegranate,Kharif,130000.0,15.0,5.0,19500.0,6500.0,13000.0
Jalgaon,Pomegranate,Kharif,130000.0,16.0,5.0,20800.0,6500.0,14300.0
Jalna,Pomegranate,Kharif,130000.0,5.0,5.0,6500.0,6500.0,0.0
Latur,Pomegranate,Kharif,130000.0,5.0,5.0,6500.0,6500.0,0.0
Nashik,Pomegranate,Kharif,130000.0,5.0,5.0,6500.0,6500.0,0.0
Osmanabad,Pomegranate,Kharif,130000.0,16.0,5.0,20800.0,6500.0,14300.0
Parbhani,Pomegranate,Kharif,130000.0,5.0,5.0,6500.0,6500.0,0.0
Pune,Pomegranate,Kharif,130000.0,16.0,5.0,20800.0,6500.0,14300.0
Sangli,Pomegranate,Kharif,130000.0,11.8,5.0,15340.0,6500.0,8840.0
Satara,Pomegranate,Kharif,130000.0,5.0,5.0,6500.0,6500.0,0.0
Solapur,Pomegranate,Kharif,130000.0,10.0,5.0,13000.0,6500.0,6500.0
Washim,Pomegranate,Kharif,130000.0,5.0,5.0,6500.0,6500.0,0.0
Ahmadnagar,Mango,Rabi,140000.0,15.0,5.0,21000.0,7000.0,14000.0
Ahmadnagar,Pomegranate,Rabi,130000.0,5.0,5.0,6500.0,6500.0,0.0
Akola,Pomegranate,Rabi,130000.0,20.0,5.0,26000.0,6500.0,19500.0
Aurangabad,Mango,Rabi,140000.0,29.5,5.0,41300.0,7000.0,34300.0
Aurangabad,Pomegranate,Rabi,130000.0,15.0,5.0,19500.0,6500.0,13000.0
Bid,Mango,Rabi,140000.0,35.0,5.0,49000.0,7000.0,42000.0
Bid,Pomegranate,Rabi,130000.0,15.0,5.0,19500.0,6500.0,13000.0
Buldana,Mango,Rabi,140000.0,32.0,5.0,44800.0,7000.0,37800.0
Buldana,Pomegranate,Rabi,130000.0,16.0,5.0,20800.0,6500.0,14300.0
Dhule,Mango,Rabi,140000.0,23.11,5.0,32354.0,7000.0,25354.0
Dhule,Pomegranate,Rabi,130000.0,25.0,5.0,32500.0,6500.0,26000.0
Hingoli,Pomegranate,Rabi,130000.0,20.0,5.0,26000.0,6500.0,19500.0
Jalgaon,Mango,Rabi,140000.0,44.8,5.0,62720.0,7000.0,55720.0
Jalgaon,Pomegranate,Rabi,130000.0,16.0,5.0,20800.0,6500.0,14300.0
Jalna,Mango,Rabi,140000.0,12.59,5.0,17626.0,7000.0,10626.0
Jalna,Pomegranate,Rabi,130000.0,5.0,5.0,6500.0,6500.0,0.0
Kolhapur,Mango,Rabi,140000.0,25.0,5.0,35000.0,7000.0,28000.0
Latur,Mango,Rabi,140000.0,25.0,5.0,35000.0,7000.0,28000.0
Latur,Pomegranate,Rabi,130000.0,5.0,5.0,6500.0,6500.0,0.0
Nanded,Mango,Rabi,140000.0,32.0,5.0,44800.0,7000.0,37800.0
Nandurbar,Mango,Rabi,140000.0,25.0,5.0,35000.0,7000.0,28000.0
Nashik,Mango,Rabi,140000.0,25.0,5.0,35000.0,7000.0,28000.0
Nashik,Pomegranate,Rabi,130000.0,5.0,5.0,6500.0,6500.0,0.0
Osmanabad,Mango,Rabi,140000.0,25.6,5.0,35840.0,7000.0,28840.0
Osmanabad,Pomegranate,Rabi,130000.0,16.0,5.0,20800.0,6500.0,14300.0
Palghar,Mango,Rabi,140000.0,30.0,5.0,42000.0,7000.0,35000.0
Parbhani,Mango,Rabi,140000.0,15.0,5.0,21000.0,7000.0,14000.0
Parbhani,Pomegranate,Rabi,130000.0,5.0,5.0,6500.0,6500.0,0.0
Pune,Mango,Rabi,140000.0,36.8,5.0,51520.0,7000.0,44520.0
Pune,Pomegranate,Rabi,130000.0,16.0,5.0,20800.0,6500.0,14300.0
Raigarh,Mango,Rabi,140000.0,44.8,5.0,62720.0,7000.0,55720.0
Ratnagiri,Mango,Rabi,140000.0,41.66,5.0,58324.0,7000.0,51324.0
Sangli,Mango,Rabi,140000.0,25.0,5.0,35000.0,7000.0,28000.0
Sangli,Pomegranate,Rabi,130000.0,15.0,5.0,19500.0,6500.0,13000.0
Satara,Pomegranate,Rabi,130000.0,5.0,5.0,6500.0,6500.0,0.0
Sindhudurg,Mango,Rabi,140000.0,35.0,5.0,49000.0,7000.0,42000.0
Solapur,Mango,Rabi,140000.0,22.56,5.0,31584.0,7000.0,24584.0
Solapur,Pomegranate,Rabi,130000.0,18.0,5.0,23400.0,6500.0,16900.0
Thane,Mango,Rabi,140000.0,30.0,5.0,42000.0,7000.0,35000.0
Washim,Mango,Rabi,140000.0,15.0,5.0,21000.0,7000.0,14000.0
Washim,Pomegranate,Rabi,130000.0,5.0,5.0,6500.0,6500.0,0.0
