DISTRICT,YEAR,MONTH,FORTNIGHT,MEAN_TEMP,RAINFALL,HUMIDITY,WIND_SPEED,TEMP_RISE,RAINFALL_DEFICIT,HUMIDITY_DEFICIT,WIND_EXCESS,PREDICTED_TRIGGER,SUM_INSURED,PREMIUM_RATE,FARMER_PREMIUM,GOVT_PREMIUM,TOTAL_PREMIUM,PAYOUT_AMOUNT
Ahmednagar,2019,1,1,21.311,0,21.396,1.563333333,0,20,13.604,0,NO,10000,0.02,20,180,200,0
Ahmednagar,2019,1,2,20.8821875,0,30.519375,2.10375,0,25,9.480625,0,YES,10000,0.02,20,180,200,5000
Ahmednagar,2019,2,1,23.45533333,0,32.61266667,2.164666667,0,30,12.38733333,0,YES,10000,0.02,20,180,200,5000
Ahmednagar,2019,2,2,26.02269231,0.01,24.92307692,1.976153846,0.022692308,34.99,25.07692308,0,YES,10000,0.02,20,180,200,5000
Ahmednagar,2019,3,1,26.35266667,0,27.61266667,2.214,0,40,27.38733333,0,YES,10000,0.02,20,180,200,5000
Ahmednagar,2019,3,2,29.638125,0.09,18.335625,2.084375,0.638125,44.91,41.664375,0,YES,10000,0.02,20,180,200,5000
Ahmednagar,2019,4,1,31.8,1.89,22.34733333,2.330666667,0,0,0,0,NO,10000,0.02,20,180,200,0
Ahmednagar,2019,4,2,32.07233333,0.42,23.14466667,2.897333333,0,0,0,0,NO,10000,0.02,20,180,200,0
Ahmednagar,2019,5,1,31.12166667,0,35.30533333,3.650666667,0,0,0,0,NO,10000,0.02,20,180,200,0
Ahmednagar,2019,5,2,33.09625,0.04,30.57375,3.756875,0,0,0,0,NO,10000,0.02,20,180,200,0
Ahmednagar,2019,6,1,32.26033333,11.5,46.524,4.148,4.260333333,33.5,13.476,0,YES,10000,0.02,20,180,200,5000
Ahmednagar,2019,6,2,28.77566667,43.17,65.67333333,4.277333333,0,6.83,0,0,NO,10000,0.02,20,180,200,0
Ahmednagar,2019,7,1,26.82033333,35.5,75.982,5.304,0,19.5,0,0,NO,10000,0.02,20,180,200,0
Ahmednagar,2019,7,2,27.186875,59.9,75.84875,4.3725,0,0.1,0,0,NO,10000,0.02,20,180,200,0
Ahmednagar,2019,8,1,26.167,51.14,80.386,5.867333333,0,13.86,0,0,NO,10000,0.02,20,180,200,0
Ahmednagar,2019,8,2,26.7753125,40.62,75.20125,3.57375,0,29.38,0,0,YES,10000,0.02,20,180,200,5000
