DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,29.72,9.13,0.0,36.96,1.19,Gadchiroli
20190102,31.09,10.35,0.0,36.54,0.98,Gadchiroli
20190103,29.67,11.43,0.0,39.66,0.8,Gadchiroli
20190104,30.83,10.76,0.0,40.01,1.3,Gadchiroli
20190105,29.82,10.97,0.0,44.94,1.05,Gadchiroli
20190106,30.04,12.14,0.0,45.9,1.15,Gadchiroli
20190107,29.71,14.4,0.0,45.84,0.89,Gadchiroli
20190108,27.46,9.82,0.0,35.19,1.57,Gadchiroli
20190109,29.11,10.21,0.0,32.99,1.18,Gadchiroli
20190110,29.73,10.02,0.0,39.42,1.18,Gadchiroli
20190111,28.79,10.93,0.0,45.97,1.18,Gadchiroli
20190112,29.88,12.32,0.0,46.06,1.2,Gadchiroli
20190113,29.86,14.43,0.0,51.68,1.23,Gadchiroli
20190114,29.67,15.05,0.0,49.09,1.08,Gadchiroli
20190115,28.79,12.75,0.0,43.92,1.59,Gadchiroli
20190116,30.34,10.73,0.0,34.79,1.1,Gadchiroli
20190117,31.0,11.57,0.0,30.67,0.94,Gadchiroli
20190118,31.44,11.97,0.0,30.06,1.02,Gadchiroli
20190119,31.82,11.35,0.0,29.39,1.1,Gadchiroli
20190120,32.23,12.12,0.0,28.74,1.03,Gadchiroli
20190121,32.42,11.85,0.0,31.58,1.28,Gadchiroli
20190122,31.54,14.68,0.0,45.9,2.01,Gadchiroli
20190123,31.23,15.28,0.0,51.82,1.68,Gadchiroli
20190124,31.6,15.25,0.13,46.8,1.13,Gadchiroli
20190125,30.29,18.9,16.68,58.98,1.67,Gadchiroli
20190126,24.9,17.24,11.27,81.33,2.05,Gadchiroli
20190127,23.33,15.17,2.84,79.9,2.15,Gadchiroli
20190128,25.97,12.12,0.04,63.41,1.81,Gadchiroli
20190129,25.28,7.76,0.0,41.79,1.8,Gadchiroli
20190130,26.97,6.37,0.0,40.97,1.27,Gadchiroli
20190131,28.61,8.57,0.0,41.86,1.13,Gadchiroli
20190201,29.17,11.24,0.0,49.92,1.16,Gadchiroli
20190202,30.65,12.85,0.0,46.24,1.29,Gadchiroli
20190203,31.01,12.44,0.0,45.37,1.52,Gadchiroli
20190204,31.07,12.37,0.0,46.65,1.08,Gadchiroli
20190205,31.4,13.73,0.0,46.56,1.11,Gadchiroli
20190206,32.35,13.83,0.0,41.96,0.91,Gadchiroli
20190207,31.44,15.31,0.0,54.22,1.93,Gadchiroli
20190208,28.47,18.87,0.21,53.7,0.85,Gadchiroli
20190209,28.3,11.06,0.0,30.59,1.84,Gadchiroli
20190210,28.99,7.73,0.0,32.6,1.65,Gadchiroli
20190211,31.48,10.27,0.0,35.03,1.22,Gadchiroli
20190212,33.22,12.33,0.0,32.71,1.3,Gadchiroli
20190213,34.0,13.25,0.0,31.15,1.16,Gadchiroli
20190214,34.33,13.75,0.0,35.54,1.13,Gadchiroli
20190215,34.29,15.97,7.19,43.01,1.67,Gadchiroli
20190216,32.52,18.38,1.0,61.39,1.55,Gadchiroli
20190217,30.89,16.61,0.0,55.9,1.41,Gadchiroli
20190218,31.91,12.8,0.0,37.72,1.31,Gadchiroli
20190219,36.16,14.92,0.0,32.14,1.22,Gadchiroli
20190220,36.09,17.46,0.0,45.06,1.32,Gadchiroli
20190221,36.75,18.98,0.0,42.17,1.21,Gadchiroli
20190222,37.74,20.43,0.0,36.8,1.28,Gadchiroli
20190223,37.82,21.47,0.0,37.17,1.24,Gadchiroli
20190224,37.98,20.14,0.0,34.86,1.62,Gadchiroli
20190225,37.13,19.52,0.0,26.1,1.59,Gadchiroli
20190226,36.03,17.77,0.0,24.68,1.42,Gadchiroli
20190227,34.33,19.61,0.0,29.26,1.23,Gadchiroli
20190228,33.37,16.61,0.0,31.37,1.72,Gadchiroli
20190301,34.04,16.23,0.0,33.1,1.81,Gadchiroli
20190302,35.0,18.53,0.0,42.72,1.42,Gadchiroli
20190303,36.39,22.28,1.57,48.34,2.0,Gadchiroli
20190304,36.9,19.95,0.01,36.22,1.21,Gadchiroli
20190305,35.94,20.54,0.0,32.85,1.59,Gadchiroli
20190306,34.88,16.85,0.0,30.55,2.04,Gadchiroli
20190307,35.05,16.62,0.0,26.57,1.85,Gadchiroli
20190308,36.52,17.73,0.0,22.65,1.66,Gadchiroli
20190309,37.25,18.54,0.0,23.86,1.37,Gadchiroli
20190310,38.07,19.24,0.0,25.17,1.05,Gadchiroli
20190311,38.99,20.44,0.0,30.72,1.53,Gadchiroli
20190312,38.74,24.19,0.0,29.43,0.74,Gadchiroli
20190313,39.12,26.5,0.0,29.52,2.13,Gadchiroli
20190314,39.24,22.28,0.21,27.14,1.67,Gadchiroli
20190315,39.81,22.39,0.0,26.26,1.58,Gadchiroli
20190316,39.52,22.42,0.0,27.6,1.88,Gadchiroli
20190317,39.02,22.55,0.0,34.37,2.36,Gadchiroli
20190318,38.33,22.26,0.31,31.05,2.41,Gadchiroli
20190319,37.8,21.0,0.0,37.29,1.93,Gadchiroli
20190320,37.79,23.23,3.92,38.34,2.48,Gadchiroli
20190321,37.7,23.9,0.55,43.61,2.27,Gadchiroli
20190322,38.87,23.48,0.0,34.99,1.75,Gadchiroli
20190323,39.26,22.21,0.0,30.52,1.95,Gadchiroli
20190324,39.68,22.09,0.0,26.4,2.0,Gadchiroli
20190325,40.97,21.31,0.0,22.44,1.36,Gadchiroli
20190326,40.91,23.14,0.0,24.28,1.3,Gadchiroli
20190327,40.12,21.93,0.0,22.28,1.53,Gadchiroli
20190328,40.72,22.01,0.0,17.36,1.64,Gadchiroli
20190329,41.9,21.76,0.0,16.09,1.38,Gadchiroli
20190330,41.8,23.14,0.0,21.63,1.39,Gadchiroli
20190331,43.04,24.14,0.0,21.31,1.51,Gadchiroli
20190401,42.48,24.54,0.06,18.36,1.19,Gadchiroli
20190402,41.93,23.54,0.0,22.86,1.31,Gadchiroli
20190403,42.26,23.48,0.0,21.29,1.09,Gadchiroli
20190404,42.54,26.25,0.0,28.04,2.42,Gadchiroli
20190405,43.35,26.04,0.34,27.63,2.6,Gadchiroli
20190406,44.08,25.25,0.07,21.19,2.0,Gadchiroli
20190407,42.51,24.32,0.23,19.42,1.74,Gadchiroli
20190408,42.22,25.44,0.0,28.22,2.03,Gadchiroli
20190409,43.14,26.28,0.0,27.21,2.26,Gadchiroli
20190410,42.83,23.64,0.79,18.86,1.33,Gadchiroli
20190411,43.72,24.71,0.04,25.69,1.59,Gadchiroli
20190412,43.87,26.32,0.11,23.53,1.56,Gadchiroli
20190413,43.69,25.95,1.1,24.77,1.24,Gadchiroli
20190414,43.61,25.32,0.0,29.14,1.69,Gadchiroli
20190415,43.5,26.89,0.0,24.65,1.56,Gadchiroli
20190416,42.43,27.5,1.08,23.32,2.02,Gadchiroli
20190417,40.75,24.45,0.2,24.26,1.52,Gadchiroli
20190418,41.39,25.54,0.12,28.64,1.26,Gadchiroli
20190419,40.69,25.84,0.13,32.73,1.38,Gadchiroli
20190420,40.98,27.05,0.82,37.37,1.98,Gadchiroli
20190421,41.51,26.69,0.16,34.03,1.74,Gadchiroli
20190422,41.53,25.7,0.76,32.03,2.06,Gadchiroli
20190423,42.73,25.52,0.0,22.71,1.12,Gadchiroli
20190424,43.06,25.49,0.01,24.53,1.16,Gadchiroli
20190425,44.4,27.39,0.0,21.64,1.12,Gadchiroli
20190426,45.34,27.5,0.0,21.36,1.53,Gadchiroli
20190427,45.36,28.5,0.0,22.98,1.55,Gadchiroli
20190428,45.18,28.42,0.0,24.06,1.61,Gadchiroli
20190429,44.96,28.15,0.0,24.97,2.1,Gadchiroli
20190430,44.88,28.4,0.06,28.09,2.01,Gadchiroli
20190501,42.47,29.47,0.0,25.63,1.23,Gadchiroli
20190502,45.08,28.17,0.01,26.46,1.63,Gadchiroli
20190503,44.08,28.29,0.0,24.13,2.27,Gadchiroli
20190504,43.88,28.17,0.0,17.81,2.92,Gadchiroli
20190505,43.72,28.21,0.0,17.24,2.92,Gadchiroli
20190506,44.26,27.03,0.0,14.99,2.27,Gadchiroli
20190507,43.99,27.94,0.0,16.95,1.93,Gadchiroli
20190508,45.49,28.44,0.0,15.46,2.82,Gadchiroli
20190509,45.54,28.39,0.0,15.06,3.23,Gadchiroli
20190510,45.6,29.17,0.0,17.48,2.29,Gadchiroli
20190511,44.46,30.88,0.1,26.12,1.11,Gadchiroli
20190512,44.59,30.38,0.08,20.68,1.25,Gadchiroli
20190513,44.36,29.21,0.02,23.96,1.35,Gadchiroli
20190514,43.7,30.29,0.28,20.68,1.34,Gadchiroli
20190515,45.01,28.84,0.0,18.83,0.9,Gadchiroli
20190516,44.72,30.04,0.0,18.35,1.52,Gadchiroli
20190517,45.05,29.41,0.0,18.08,2.23,Gadchiroli
20190518,44.55,29.5,0.0,18.81,2.86,Gadchiroli
20190519,44.84,29.08,0.0,17.92,1.87,Gadchiroli
20190520,45.05,28.43,0.0,17.77,1.0,Gadchiroli
20190521,44.91,30.29,0.11,26.55,2.15,Gadchiroli
20190522,45.59,30.49,1.73,28.37,2.28,Gadchiroli
20190523,45.32,30.93,0.0,28.41,1.95,Gadchiroli
20190524,45.62,31.52,0.0,28.41,2.62,Gadchiroli
20190525,45.29,29.68,0.0,22.99,1.19,Gadchiroli
20190526,46.34,30.3,0.0,20.68,1.35,Gadchiroli
20190527,46.98,31.81,0.05,18.48,1.55,Gadchiroli
20190528,47.14,31.7,0.48,21.08,1.91,Gadchiroli
20190529,45.74,31.25,0.33,27.56,1.98,Gadchiroli
20190530,44.59,30.59,1.28,36.46,2.52,Gadchiroli
20190531,44.12,30.0,1.5,37.41,3.26,Gadchiroli
