DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,28.53,8.01,0.0,32.04,1.17,Gondia
20190102,29.58,9.43,0.0,34.08,1.27,Gondia
20190103,28.83,9.95,0.0,32.54,0.85,Gondia
20190104,28.98,9.46,0.0,34.71,1.51,Gondia
20190105,28.22,9.62,0.0,42.55,1.47,Gondia
20190106,28.85,10.78,0.0,42.8,1.66,Gondia
20190107,28.02,11.53,0.04,37.25,1.75,Gondia
20190108,26.94,8.31,0.0,35.91,1.87,Gondia
20190109,27.61,8.8,0.0,33.2,1.36,Gondia
20190110,27.77,9.11,0.0,34.33,1.33,Gondia
20190111,27.44,9.31,0.0,40.61,1.32,Gondia
20190112,28.03,10.17,0.0,44.2,1.56,Gondia
20190113,27.75,12.02,0.0,50.93,1.47,Gondia
20190114,27.9,13.64,0.0,40.95,2.12,Gondia
20190115,28.03,10.41,0.0,30.09,1.71,Gondia
20190116,28.97,9.0,0.0,25.17,1.15,Gondia
20190117,30.41,10.27,0.0,24.88,1.03,Gondia
20190118,30.34,10.04,0.0,21.14,1.47,Gondia
20190119,30.82,10.17,0.0,17.74,1.26,Gondia
20190120,31.47,10.29,0.0,20.17,1.15,Gondia
20190121,31.56,11.82,0.0,27.68,1.71,Gondia
20190122,29.42,11.9,0.0,42.47,2.38,Gondia
20190123,29.05,13.16,0.0,49.97,1.75,Gondia
20190124,29.57,14.23,0.41,47.78,1.32,Gondia
20190125,26.17,15.81,14.21,68.46,2.22,Gondia
20190126,22.44,14.82,3.02,80.22,2.46,Gondia
20190127,25.11,12.43,0.02,70.95,1.76,Gondia
20190128,24.27,8.0,0.0,43.45,2.77,Gondia
20190129,23.7,5.5,0.0,38.55,2.05,Gondia
20190130,25.47,5.71,0.0,36.21,1.19,Gondia
20190131,27.02,6.8,0.0,35.81,1.48,Gondia
20190201,28.48,9.2,0.0,37.08,1.35,Gondia
20190202,29.42,11.4,0.0,41.16,0.97,Gondia
20190203,29.83,12.67,0.0,42.69,1.22,Gondia
20190204,30.28,12.87,0.0,41.59,1.14,Gondia
20190205,30.82,14.39,0.0,38.8,1.29,Gondia
20190206,31.87,14.72,0.0,38.64,1.59,Gondia
20190207,31.0,14.87,0.38,45.68,2.56,Gondia
20190208,27.97,15.46,0.48,39.5,2.01,Gondia
20190209,26.66,10.03,0.0,18.99,2.86,Gondia
20190210,27.63,7.54,0.0,22.88,1.57,Gondia
20190211,29.65,8.6,0.0,25.45,1.22,Gondia
20190212,32.15,10.56,0.0,24.75,1.5,Gondia
20190213,33.24,12.54,0.0,25.03,1.19,Gondia
20190214,33.66,13.76,0.0,27.42,1.59,Gondia
20190215,32.91,15.88,7.51,40.09,2.02,Gondia
20190216,29.93,16.87,1.72,60.9,1.4,Gondia
20190217,29.09,11.6,0.0,37.85,1.96,Gondia
20190218,31.15,11.22,0.0,31.54,1.36,Gondia
20190219,34.3,14.2,0.0,32.72,1.67,Gondia
20190220,34.87,15.85,0.0,37.1,1.45,Gondia
20190221,35.81,17.66,0.07,40.13,1.77,Gondia
20190222,36.64,19.36,0.17,40.88,1.9,Gondia
20190223,35.74,18.65,0.51,38.63,2.2,Gondia
20190224,35.76,18.82,0.0,31.21,2.19,Gondia
20190225,35.13,18.32,0.36,23.32,2.5,Gondia
20190226,33.3,17.04,0.0,22.02,2.28,Gondia
20190227,32.53,16.34,0.0,29.37,3.16,Gondia
20190228,30.73,15.32,0.0,31.09,2.7,Gondia
20190301,31.13,13.2,0.0,27.25,1.95,Gondia
20190302,33.69,15.24,0.0,29.23,2.22,Gondia
20190303,33.01,19.02,10.96,51.29,2.05,Gondia
20190304,33.48,17.01,0.08,52.14,1.63,Gondia
20190305,32.92,18.4,0.0,48.61,2.15,Gondia
20190306,31.63,14.78,0.0,37.92,2.36,Gondia
20190307,32.17,14.5,0.0,29.53,1.62,Gondia
20190308,34.02,15.21,0.0,26.83,1.53,Gondia
20190309,35.71,16.92,0.0,28.6,1.8,Gondia
20190310,36.71,17.13,0.0,25.92,2.09,Gondia
20190311,37.57,18.55,0.0,24.86,1.74,Gondia
20190312,37.57,20.03,0.0,25.68,1.52,Gondia
20190313,37.5,22.19,0.9,30.39,1.97,Gondia
20190314,36.88,24.75,0.13,33.69,1.92,Gondia
20190315,36.18,21.64,0.01,35.29,1.65,Gondia
20190316,37.18,20.09,0.0,33.41,2.05,Gondia
20190317,37.47,20.71,0.43,33.15,2.93,Gondia
20190318,36.7,23.12,2.88,32.85,2.56,Gondia
20190319,35.38,18.36,0.0,35.45,1.38,Gondia
20190320,37.12,19.94,2.94,36.14,2.73,Gondia
20190321,35.23,21.16,3.67,50.94,2.02,Gondia
20190322,36.94,22.01,0.02,40.51,1.25,Gondia
20190323,36.99,19.14,0.0,28.72,2.12,Gondia
20190324,38.04,19.06,0.0,21.15,1.81,Gondia
20190325,39.52,19.5,0.0,21.17,1.7,Gondia
20190326,39.54,21.29,0.0,22.09,1.69,Gondia
20190327,38.84,20.72,0.0,17.84,2.27,Gondia
20190328,38.97,19.22,0.0,14.65,1.74,Gondia
20190329,40.82,20.68,0.0,16.43,1.19,Gondia
20190330,41.43,23.15,0.0,17.66,2.06,Gondia
20190331,42.65,22.96,0.0,18.43,2.58,Gondia
20190401,41.14,23.49,0.06,16.17,2.8,Gondia
20190402,40.95,22.09,0.0,11.83,1.51,Gondia
20190403,41.58,24.97,0.0,13.44,1.11,Gondia
20190404,42.6,23.85,0.0,21.39,2.23,Gondia
20190405,43.67,25.41,0.18,20.47,2.68,Gondia
20190406,43.58,24.61,0.0,15.71,2.36,Gondia
20190407,42.23,24.36,0.0,16.59,2.19,Gondia
20190408,42.01,24.45,0.0,17.77,1.66,Gondia
20190409,43.0,24.45,0.0,17.05,1.98,Gondia
20190410,43.24,24.12,0.0,13.12,1.75,Gondia
20190411,43.11,25.04,0.11,15.32,0.63,Gondia
20190412,43.19,27.32,0.63,18.84,2.01,Gondia
20190413,43.15,26.29,0.11,17.59,1.62,Gondia
20190414,43.94,24.51,0.0,18.84,1.55,Gondia
20190415,42.71,26.64,0.0,17.7,1.86,Gondia
20190416,39.74,27.08,0.69,24.56,1.84,Gondia
20190417,38.32,24.1,2.05,33.81,1.99,Gondia
20190418,38.98,23.28,0.04,29.9,2.15,Gondia
20190419,39.6,22.21,0.0,24.4,1.91,Gondia
20190420,40.04,23.56,0.1,27.46,1.72,Gondia
20190421,40.42,26.7,0.38,27.42,1.68,Gondia
20190422,40.99,24.03,0.0,20.65,1.2,Gondia
20190423,42.23,24.24,0.0,18.68,1.34,Gondia
20190424,42.96,25.54,0.0,17.38,1.23,Gondia
20190425,44.06,27.67,0.0,17.21,1.07,Gondia
20190426,44.94,27.84,0.0,16.06,1.53,Gondia
20190427,45.72,27.41,0.0,15.56,1.54,Gondia
20190428,44.87,27.27,0.0,15.29,1.49,Gondia
20190429,45.04,27.05,0.0,18.33,2.23,Gondia
20190430,45.34,27.14,0.0,17.44,1.55,Gondia
20190501,44.85,26.4,0.0,13.21,1.23,Gondia
20190502,44.3,27.64,0.0,21.23,1.48,Gondia
20190503,43.76,27.9,0.0,26.14,2.48,Gondia
20190504,43.88,26.92,0.0,19.74,2.54,Gondia
20190505,42.78,28.17,0.0,19.77,3.09,Gondia
20190506,43.41,26.09,0.0,15.08,1.97,Gondia
20190507,44.66,27.21,0.0,14.01,2.48,Gondia
20190508,44.06,28.26,0.0,15.05,3.78,Gondia
20190509,44.43,27.72,0.0,14.49,4.37,Gondia
20190510,44.24,27.55,0.0,17.56,3.08,Gondia
20190511,43.04,31.11,0.0,22.99,2.87,Gondia
20190512,43.98,27.94,0.0,17.36,2.65,Gondia
20190513,43.83,27.6,0.0,18.62,2.57,Gondia
