DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,31.85,11.28,0.0,13.99,1.42,Jalgaon
20190102,32.04,11.65,0.0,17.46,1.73,Jalgaon
20190103,30.77,12.77,0.0,16.87,1.16,Jalgaon
20190104,31.89,10.61,0.0,17.05,1.41,Jalgaon
20190105,32.3,12.37,0.0,19.41,1.73,Jalgaon
20190106,30.42,14.13,0.0,22.12,1.65,Jalgaon
20190107,27.8,8.66,0.0,21.25,1.92,Jalgaon
20190108,28.0,7.87,0.0,22.12,1.6,Jalgaon
20190109,29.34,11.34,0.0,20.06,1.41,Jalgaon
20190110,30.02,8.76,0.0,24.54,1.42,Jalgaon
20190111,30.87,10.27,0.0,22.86,1.41,Jalgaon
20190112,32.67,11.5,0.0,24.7,1.84,Jalgaon
20190113,29.95,11.96,0.0,26.69,1.43,Jalgaon
20190114,28.95,10.41,0.0,30.12,2.37,Jalgaon
20190115,29.31,9.75,0.0,28.86,1.66,Jalgaon
20190116,31.87,11.96,0.0,24.51,1.47,Jalgaon
20190117,32.17,14.1,0.0,21.16,1.38,Jalgaon
20190118,31.78,12.98,0.0,19.97,1.64,Jalgaon
20190119,32.4,12.18,0.0,16.97,1.81,Jalgaon
20190120,33.84,13.4,0.0,16.94,1.85,Jalgaon
20190121,33.89,13.6,0.0,20.29,3.05,Jalgaon
20190122,30.09,13.45,0.0,47.39,1.8,Jalgaon
20190123,29.25,13.65,0.0,43.52,1.58,Jalgaon
20190124,29.81,13.35,0.0,33.96,1.46,Jalgaon
20190125,27.66,11.88,0.01,29.7,2.39,Jalgaon
20190126,26.14,10.07,0.0,37.73,2.53,Jalgaon
20190127,26.25,10.27,0.0,36.7,2.65,Jalgaon
20190128,24.89,7.69,0.0,18.5,2.67,Jalgaon
20190129,26.44,6.07,0.0,18.38,2.12,Jalgaon
20190130,29.74,7.95,0.0,14.84,1.64,Jalgaon
20190131,30.15,9.2,0.0,18.96,2.47,Jalgaon
20190201,31.74,12.33,0.0,26.34,1.77,Jalgaon
