DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,31.0,10.84,0.0,25.36,2.72,Kolhapur
20190102,30.68,11.89,0.0,25.94,2.66,Kolhapur
20190103,31.29,11.76,0.0,31.89,2.08,Kolhapur
20190104,31.98,12.28,0.0,31.56,2.16,Kolhapur
20190105,32.51,13.03,0.0,36.86,1.32,Kolhapur
20190106,32.32,13.04,0.0,37.49,1.23,Kolhapur
20190107,31.35,14.32,0.0,37.6,2.82,Kolhapur
20190108,31.45,13.35,0.0,26.7,2.56,Kolhapur
20190109,32.65,12.59,0.0,25.01,1.63,Kolhapur
20190110,32.97,12.84,0.0,25.56,1.48,Kolhapur
20190111,33.12,13.12,0.0,36.17,1.66,Kolhapur
20190112,33.05,15.09,0.0,40.99,1.29,Kolhapur
20190113,32.67,14.16,0.0,38.52,1.21,Kolhapur
20190114,32.45,14.58,0.0,35.42,2.24,Kolhapur
20190115,32.46,15.35,0.0,35.58,2.4,Kolhapur
20190116,32.73,15.23,0.0,33.92,2.34,Kolhapur
20190117,33.05,14.97,0.0,28.54,2.23,Kolhapur
20190118,33.31,14.31,0.0,29.75,1.93,Kolhapur
20190119,32.93,15.24,0.0,31.52,2.17,Kolhapur
20190120,33.04,14.99,0.0,29.82,2.27,Kolhapur
20190121,33.31,14.03,0.0,39.1,2.31,Kolhapur
20190122,31.07,16.18,0.0,65.03,2.0,Kolhapur
20190123,31.42,14.24,0.0,57.73,1.8,Kolhapur
20190124,32.35,12.73,0.0,53.9,2.12,Kolhapur
20190125,31.41,12.43,0.0,41.82,2.14,Kolhapur
20190126,31.25,13.47,0.0,36.94,2.02,Kolhapur
20190127,30.96,13.32,0.0,53.35,1.84,Kolhapur
20190128,29.64,16.65,0.0,49.5,3.01,Kolhapur
20190129,30.03,14.84,0.0,33.94,3.82,Kolhapur
20190130,31.82,13.11,0.0,23.81,2.67,Kolhapur
20190131,33.01,13.59,0.0,30.78,1.61,Kolhapur
20190201,32.87,14.83,0.0,43.34,1.76,Kolhapur
20190202,32.95,17.01,0.0,40.99,0.88,Kolhapur
20190203,33.26,16.12,0.0,36.57,2.24,Kolhapur
20190204,33.7,17.2,0.0,37.75,2.87,Kolhapur
20190205,34.12,17.18,0.0,39.95,1.8,Kolhapur
20190206,35.4,17.17,0.0,43.94,2.49,Kolhapur
20190207,32.86,15.92,0.0,48.04,2.27,Kolhapur
20190208,32.51,13.44,0.0,44.66,2.39,Kolhapur
20190209,34.36,11.06,0.0,25.61,2.16,Kolhapur
20190210,34.7,13.85,0.0,23.99,2.08,Kolhapur
20190211,33.95,16.33,0.0,35.32,1.83,Kolhapur
20190212,35.27,20.03,0.0,39.17,2.78,Kolhapur
20190213,34.88,19.5,0.0,33.87,2.73,Kolhapur
20190214,36.0,18.33,0.0,36.62,2.5,Kolhapur
20190215,35.2,18.21,0.0,42.6,2.23,Kolhapur
20190216,34.72,15.51,0.0,37.77,2.13,Kolhapur
20190217,33.69,15.35,0.0,34.36,2.11,Kolhapur
20190218,36.87,14.52,0.0,33.43,1.1,Kolhapur
20190219,37.82,17.6,0.0,42.52,1.67,Kolhapur
20190220,38.0,18.24,0.0,40.67,1.78,Kolhapur
20190221,37.25,19.41,0.0,44.99,1.42,Kolhapur
20190222,38.14,19.47,0.0,33.4,2.02,Kolhapur
20190223,38.29,20.43,0.0,28.57,1.76,Kolhapur
20190224,38.36,19.86,0.0,30.37,2.07,Kolhapur
20190225,37.65,18.61,0.0,26.68,2.25,Kolhapur
20190226,36.34,16.84,0.0,30.37,2.64,Kolhapur
20190227,34.42,16.43,0.0,34.83,2.66,Kolhapur
20190228,33.87,14.33,0.0,39.98,2.38,Kolhapur
20190301,35.79,14.5,0.0,40.26,1.85,Kolhapur
20190302,37.33,16.53,0.0,42.3,2.42,Kolhapur
20190303,36.25,16.23,0.0,51.54,2.18,Kolhapur
20190304,37.02,17.55,0.0,57.52,3.02,Kolhapur
20190305,35.09,17.95,0.0,58.07,3.16,Kolhapur
20190306,35.11,16.04,0.0,52.59,2.72,Kolhapur
20190307,36.19,13.92,0.0,38.01,1.93,Kolhapur
20190308,38.43,16.31,0.0,21.49,1.79,Kolhapur
20190309,37.77,18.05,0.0,34.42,2.12,Kolhapur
20190310,38.41,18.97,0.0,31.47,2.27,Kolhapur
20190311,38.53,18.23,0.0,34.43,2.23,Kolhapur
20190312,37.63,18.0,0.0,39.34,2.39,Kolhapur
20190313,37.52,19.19,0.0,35.83,2.19,Kolhapur
20190314,38.16,18.93,0.0,32.2,2.07,Kolhapur
20190315,38.7,20.04,0.0,28.58,2.16,Kolhapur
20190316,39.33,19.2,0.0,32.02,1.89,Kolhapur
20190317,38.52,19.64,0.0,29.77,1.5,Kolhapur
20190318,38.66,19.24,0.0,30.32,2.33,Kolhapur
20190319,38.86,18.31,0.0,33.15,2.44,Kolhapur
20190320,38.23,17.84,0.0,38.9,2.74,Kolhapur
20190321,38.06,17.38,0.0,41.44,2.19,Kolhapur
20190322,38.92,18.59,0.0,31.17,1.92,Kolhapur
20190323,40.06,18.9,0.0,26.55,1.88,Kolhapur
20190324,40.63,20.04,0.0,30.83,1.55,Kolhapur
20190325,39.9,24.03,2.68,34.45,2.1,Kolhapur
20190326,40.12,24.42,0.28,40.24,2.07,Kolhapur
20190327,40.06,22.12,1.71,53.43,2.38,Kolhapur
20190328,40.85,20.0,0.06,43.31,1.75,Kolhapur
20190329,41.18,19.4,0.12,40.67,2.03,Kolhapur
20190330,40.09,20.17,0.67,53.43,2.66,Kolhapur
20190331,39.61,23.06,1.45,49.11,3.04,Kolhapur
20190401,40.29,20.48,0.02,47.56,2.48,Kolhapur
20190402,40.87,18.82,0.0,43.4,2.63,Kolhapur
20190403,41.33,19.13,0.0,39.71,2.55,Kolhapur
20190404,41.07,21.3,1.63,50.0,2.07,Kolhapur
20190405,39.48,21.72,0.8,55.43,2.08,Kolhapur
20190406,40.16,21.74,0.0,46.75,2.1,Kolhapur
20190407,41.01,21.6,0.0,36.41,2.17,Kolhapur
20190408,41.36,20.95,0.0,42.9,2.21,Kolhapur
20190409,41.1,21.26,0.0,47.44,2.54,Kolhapur
20190410,41.55,21.51,0.1,34.87,2.08,Kolhapur
20190411,40.92,22.4,1.79,36.31,2.07,Kolhapur
20190412,41.5,21.54,0.17,46.56,2.52,Kolhapur
20190413,40.41,21.59,2.79,45.89,2.1,Kolhapur
20190414,40.17,23.59,0.82,43.27,2.44,Kolhapur
20190415,39.37,23.09,2.33,49.05,2.54,Kolhapur
20190416,38.04,22.43,0.03,53.57,2.81,Kolhapur
