DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,30.33,10.7,0.0,18.99,1.89,Latur
20190102,31.35,11.85,0.0,20.84,1.7,Latur
20190103,30.96,11.22,0.0,22.68,1.59,Latur
20190104,31.47,11.07,0.0,23.12,1.78,Latur
20190105,31.46,12.19,0.0,33.6,1.54,Latur
20190106,31.16,13.01,0.0,36.9,1.51,Latur
20190107,29.71,11.88,0.0,29.44,1.95,Latur
20190108,28.92,9.06,0.0,20.22,1.79,Latur
20190109,30.85,11.66,0.0,18.38,1.45,Latur
20190110,30.61,11.15,0.0,21.08,1.46,Latur
20190111,31.14,11.36,0.0,33.95,1.53,Latur
20190112,31.83,13.35,0.0,42.63,1.86,Latur
20190113,31.2,14.04,0.0,41.77,1.45,Latur
20190114,30.85,15.26,0.0,41.88,1.61,Latur
20190115,29.85,13.81,0.0,43.69,1.85,Latur
20190116,31.34,13.47,0.0,29.84,1.79,Latur
20190117,31.61,13.37,0.0,23.54,1.72,Latur
20190118,31.97,12.95,0.0,25.58,1.72,Latur
20190119,31.18,12.87,0.0,23.63,1.81,Latur
20190120,32.47,12.88,0.0,22.49,1.98,Latur
20190121,32.45,13.1,0.0,30.23,2.3,Latur
20190122,31.08,13.57,0.0,31.44,2.6,Latur
20190123,31.3,14.43,0.0,34.06,1.75,Latur
20190124,31.56,14.45,0.0,38.35,1.49,Latur
20190125,31.65,17.1,0.66,38.0,2.14,Latur
20190126,29.36,15.62,1.34,58.71,2.53,Latur
20190127,25.09,14.82,0.48,67.46,3.05,Latur
20190128,26.67,12.84,0.0,51.63,2.9,Latur
20190129,26.52,8.75,0.0,27.39,2.34,Latur
20190130,28.82,8.18,0.0,21.86,1.97,Latur
20190131,30.65,9.77,0.0,32.25,2.15,Latur
20190201,31.63,13.76,0.0,50.44,1.81,Latur
20190202,31.57,15.46,0.0,44.77,2.36,Latur
20190203,31.62,15.78,0.0,37.54,2.98,Latur
20190204,32.11,15.38,0.0,35.12,2.76,Latur
20190205,32.65,15.65,0.0,42.43,2.09,Latur
20190206,34.05,16.4,0.0,37.03,1.91,Latur
20190207,32.98,18.77,0.0,34.86,2.79,Latur
20190208,32.01,14.41,0.0,32.52,2.27,Latur
20190209,29.55,11.11,0.0,16.87,2.83,Latur
20190210,32.26,9.5,0.0,16.31,1.79,Latur
20190211,32.9,12.65,0.0,28.12,2.0,Latur
20190212,33.96,17.17,0.0,45.09,2.32,Latur
20190213,34.16,18.01,0.0,38.23,2.36,Latur
20190214,35.17,16.56,0.0,32.81,1.8,Latur
20190215,35.12,18.7,0.26,32.37,2.59,Latur
20190216,33.88,17.5,0.0,24.95,2.56,Latur
20190217,33.02,14.06,0.0,22.94,1.96,Latur
20190218,34.8,14.68,0.0,20.79,1.66,Latur
20190219,37.27,17.17,0.0,20.59,1.69,Latur
20190220,36.93,19.2,0.0,36.44,2.58,Latur
20190221,36.67,21.72,0.0,33.61,2.17,Latur
20190222,37.28,22.79,0.0,29.01,1.59,Latur
20190223,37.53,21.61,0.0,28.53,1.19,Latur
20190224,37.92,21.16,0.0,23.41,1.51,Latur
