DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,34.02,15.7,0.0,28.82,2.2,Mumbai
20190102,34.37,15.23,0.0,28.92,1.7,Mumbai
20190103,34.15,15.67,0.0,31.22,1.63,Mumbai
20190104,34.6,16.2,0.0,31.3,2.0,Mumbai
20190105,32.71,17.42,0.0,35.35,1.65,Mumbai
20190106,33.1,15.77,0.0,34.39,2.2,Mumbai
20190107,34.0,14.94,0.0,30.35,2.43,Mumbai
20190108,33.72,15.19,0.0,27.21,2.78,Mumbai
20190109,33.66,14.58,0.0,29.19,1.68,Mumbai
20190110,34.34,15.13,0.0,29.65,2.24,Mumbai
20190111,33.04,15.57,0.0,33.32,1.63,Mumbai
20190112,31.71,17.39,0.0,34.45,1.55,Mumbai
20190113,32.57,14.87,0.0,37.12,1.86,Mumbai
20190114,34.81,16.02,0.0,30.12,2.53,Mumbai
20190115,34.73,17.84,0.0,32.28,2.86,Mumbai
20190116,34.89,17.99,0.0,39.07,2.35,Mumbai
20190117,35.58,17.59,0.0,30.35,1.98,Mumbai
20190118,35.77,17.51,0.0,27.24,1.96,Mumbai
20190119,35.49,18.1,0.0,32.69,2.3,Mumbai
20190120,35.97,18.43,0.0,36.05,1.73,Mumbai
20190121,33.03,19.2,0.0,49.0,1.63,Mumbai
20190122,29.83,17.4,0.22,71.05,1.68,Mumbai
20190123,29.33,16.83,0.05,67.62,2.27,Mumbai
20190124,30.76,14.65,0.0,42.99,2.48,Mumbai
20190125,30.29,13.45,0.0,31.03,3.22,Mumbai
20190126,31.76,12.56,0.0,30.84,2.53,Mumbai
20190127,32.12,15.92,0.0,37.84,3.32,Mumbai
20190128,31.31,16.87,0.0,27.57,3.83,Mumbai
20190129,33.02,15.16,0.0,21.57,3.3,Mumbai
20190130,33.37,15.16,0.0,23.41,2.81,Mumbai
20190131,33.05,16.11,0.0,30.24,1.87,Mumbai
20190201,33.77,16.72,0.0,33.9,2.1,Mumbai
20190202,34.07,17.32,0.0,34.29,2.08,Mumbai
20190203,34.54,18.64,0.0,37.16,1.87,Mumbai
20190204,36.62,20.16,0.0,41.78,2.92,Mumbai
20190205,35.94,19.93,0.09,43.3,1.69,Mumbai
20190206,31.85,19.01,0.04,50.15,2.11,Mumbai
20190207,28.06,17.05,0.04,63.45,2.86,Mumbai
20190208,26.56,14.48,0.0,51.86,2.82,Mumbai
20190209,32.26,12.29,0.0,27.79,2.37,Mumbai
20190210,34.69,13.74,0.0,19.49,3.13,Mumbai
20190211,35.57,16.69,0.0,24.25,2.04,Mumbai
20190212,37.71,20.03,0.0,27.98,2.26,Mumbai
20190213,36.66,22.38,0.0,37.01,1.89,Mumbai
20190214,35.36,20.3,0.0,42.92,2.26,Mumbai
20190215,32.81,19.34,0.0,51.02,2.04,Mumbai
20190216,33.72,16.14,0.0,45.52,2.23,Mumbai
20190217,33.83,16.69,0.0,33.34,1.97,Mumbai
20190218,35.85,16.89,0.0,35.45,1.95,Mumbai
20190219,37.07,18.1,0.0,37.61,2.03,Mumbai
20190220,38.15,18.7,0.09,43.06,2.2,Mumbai
20190221,35.55,19.35,0.0,60.73,2.01,Mumbai
20190222,37.77,19.53,0.0,48.11,2.46,Mumbai
20190223,39.4,21.7,0.0,31.43,2.65,Mumbai
20190224,37.8,21.26,0.0,24.77,2.51,Mumbai
20190225,36.6,19.94,0.0,35.84,2.47,Mumbai
20190226,33.63,19.39,0.0,49.45,2.48,Mumbai
20190227,31.75,19.12,0.0,58.79,2.33,Mumbai
20190228,33.92,17.36,0.0,43.29,2.05,Mumbai
20190301,36.13,17.08,0.0,28.96,1.92,Mumbai
20190302,36.83,19.25,0.01,47.38,2.5,Mumbai
20190303,33.23,19.34,0.04,65.57,2.05,Mumbai
20190304,32.44,20.44,0.15,69.31,2.25,Mumbai
