DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,29.17,8.46,0.0,27.86,1.29,Nagpur
20190102,30.43,9.23,0.0,31.46,1.1,Nagpur
20190103,29.54,10.74,0.0,30.16,0.97,Nagpur
20190104,29.46,9.82,0.0,35.07,1.61,Nagpur
20190105,28.92,9.65,0.0,42.56,1.31,Nagpur
20190106,29.31,10.53,0.0,43.91,1.43,Nagpur
20190107,28.98,12.58,0.0,34.99,1.53,Nagpur
20190108,27.18,8.75,0.0,33.0,1.79,Nagpur
20190109,27.98,8.8,0.0,30.14,1.31,Nagpur
20190110,28.13,9.3,0.0,34.23,1.58,Nagpur
20190111,28.21,9.3,0.0,41.96,1.34,Nagpur
20190112,28.77,10.46,0.0,46.54,1.7,Nagpur
20190113,28.67,12.37,0.0,50.47,1.3,Nagpur
20190114,28.32,14.29,0.0,40.69,1.89,Nagpur
20190115,28.35,10.66,0.0,31.47,1.65,Nagpur
20190116,29.39,9.55,0.0,26.59,1.3,Nagpur
20190117,30.58,10.28,0.0,27.37,1.05,Nagpur
20190118,30.59,10.89,0.0,23.21,1.33,Nagpur
20190119,30.88,10.25,0.0,19.46,1.4,Nagpur
20190120,31.59,10.63,0.0,20.82,1.18,Nagpur
20190121,31.98,11.7,0.0,28.34,1.76,Nagpur
20190122,30.63,13.18,0.0,38.15,2.46,Nagpur
20190123,30.32,14.39,0.0,45.51,1.93,Nagpur
20190124,30.03,14.61,0.55,47.53,1.29,Nagpur
20190125,26.87,17.17,13.98,69.89,2.11,Nagpur
20190126,23.19,15.42,4.46,80.55,2.71,Nagpur
20190127,25.16,12.83,0.03,72.31,2.13,Nagpur
20190128,24.7,8.28,0.0,46.28,2.75,Nagpur
20190129,24.12,5.74,0.0,40.59,2.15,Nagpur
20190130,25.62,5.44,0.0,39.96,1.52,Nagpur
20190131,27.39,6.52,0.0,38.66,1.52,Nagpur
20190201,28.7,9.06,0.0,42.3,1.35,Nagpur
20190202,29.78,11.53,0.0,44.64,1.41,Nagpur
20190203,30.21,12.42,0.0,44.35,1.79,Nagpur
20190204,30.63,12.74,0.0,42.34,1.55,Nagpur
20190205,31.04,13.49,0.0,40.64,1.68,Nagpur
20190206,32.4,14.6,0.0,38.25,1.78,Nagpur
20190207,31.64,15.74,0.03,43.44,2.56,Nagpur
20190208,29.58,16.54,0.04,32.16,2.24,Nagpur
20190209,27.83,10.44,0.0,18.17,2.66,Nagpur
20190210,28.01,8.01,0.0,22.6,1.75,Nagpur
20190211,30.38,8.83,0.0,27.57,1.38,Nagpur
20190212,32.47,11.05,0.0,27.49,1.7,Nagpur
20190213,33.21,12.63,0.0,27.19,1.43,Nagpur
20190214,34.33,13.39,0.0,28.66,1.41,Nagpur
20190215,33.99,16.05,6.01,40.65,1.86,Nagpur
20190216,31.55,17.48,0.07,56.23,1.47,Nagpur
20190217,30.34,12.51,0.0,35.63,1.8,Nagpur
20190218,32.13,12.11,0.0,28.5,1.32,Nagpur
20190219,35.3,15.03,0.0,30.75,1.52,Nagpur
20190220,35.48,15.81,0.0,38.75,1.64,Nagpur
20190221,36.26,18.34,0.09,39.58,1.78,Nagpur
20190222,37.53,20.33,0.12,38.2,1.94,Nagpur
20190223,36.84,19.56,0.04,34.62,1.77,Nagpur
20190224,37.28,19.42,0.0,30.23,2.35,Nagpur
20190225,36.05,19.19,0.02,20.42,2.44,Nagpur
20190226,34.33,17.79,0.0,20.51,2.33,Nagpur
20190227,33.52,16.55,0.0,27.9,2.97,Nagpur
20190228,31.67,16.16,0.0,28.97,2.46,Nagpur
20190301,31.84,14.2,0.0,26.79,2.32,Nagpur
20190302,34.25,16.12,0.0,35.67,2.48,Nagpur
20190303,35.99,21.52,4.38,40.78,2.81,Nagpur
20190304,35.88,18.04,0.02,38.71,1.73,Nagpur
20190305,34.95,19.21,0.0,37.7,2.4,Nagpur
20190306,33.14,16.0,0.0,32.41,2.49,Nagpur
20190307,33.3,15.75,0.0,26.89,1.88,Nagpur
20190308,34.94,16.21,0.0,24.17,1.73,Nagpur
20190309,36.99,19.31,0.0,24.24,1.79,Nagpur
20190310,37.83,18.16,0.0,23.69,1.89,Nagpur
20190311,38.4,18.92,0.0,23.82,1.74,Nagpur
20190312,38.09,20.43,0.0,24.5,1.37,Nagpur
20190313,38.36,22.44,0.18,28.36,2.17,Nagpur
20190314,38.38,24.23,0.14,28.26,1.98,Nagpur
20190315,37.7,22.15,0.0,30.09,1.67,Nagpur
20190316,38.21,20.73,0.0,30.89,2.25,Nagpur
20190317,39.03,22.02,0.13,29.96,3.1,Nagpur
20190318,38.31,22.65,1.55,26.88,2.38,Nagpur
20190319,36.81,20.03,0.0,32.19,1.31,Nagpur
20190320,37.74,21.25,3.82,36.72,3.09,Nagpur
20190321,36.83,22.77,1.18,44.97,2.04,Nagpur
20190322,38.42,22.67,0.0,34.85,1.02,Nagpur
20190323,37.96,20.06,0.0,27.1,2.53,Nagpur
20190324,38.63,20.03,0.0,21.9,2.11,Nagpur
20190325,40.07,19.94,0.0,21.73,1.62,Nagpur
20190326,40.68,22.12,0.0,19.99,1.29,Nagpur
20190327,39.15,21.3,0.0,19.14,2.05,Nagpur
20190328,39.52,19.81,0.0,14.36,1.87,Nagpur
20190329,41.18,20.85,0.0,16.24,1.3,Nagpur
20190330,42.16,23.01,0.0,17.14,1.85,Nagpur
20190331,43.21,23.64,0.0,17.73,2.33,Nagpur
20190401,41.93,24.14,0.0,16.38,2.4,Nagpur
20190402,41.27,22.31,0.0,12.75,2.17,Nagpur
20190403,42.13,24.84,0.0,14.44,1.15,Nagpur
20190404,43.29,25.18,0.0,22.49,2.25,Nagpur
20190405,43.92,26.93,0.43,19.21,3.18,Nagpur
20190406,44.08,25.52,0.0,15.9,2.92,Nagpur
20190407,42.85,24.79,0.0,15.99,2.32,Nagpur
20190408,42.75,25.25,0.0,17.37,1.39,Nagpur
20190409,43.36,25.17,0.0,14.99,1.86,Nagpur
20190410,43.77,24.36,0.0,13.24,2.01,Nagpur
20190411,43.63,25.03,0.48,16.17,0.83,Nagpur
20190412,43.53,27.07,1.13,19.38,1.87,Nagpur
20190413,43.85,26.57,0.02,16.59,1.52,Nagpur
20190414,44.31,25.93,0.0,19.34,1.39,Nagpur
20190415,43.73,27.33,0.0,19.64,1.67,Nagpur
20190416,40.97,28.69,1.54,24.61,1.56,Nagpur
20190417,38.48,25.24,2.91,34.96,1.65,Nagpur
20190418,39.28,23.11,0.0,29.0,2.3,Nagpur
20190419,39.96,22.56,0.0,25.12,1.62,Nagpur
20190420,40.6,23.66,0.31,29.79,1.69,Nagpur
20190421,41.06,27.5,0.32,30.4,1.53,Nagpur
20190422,41.02,26.47,0.13,27.94,1.42,Nagpur
20190423,42.69,25.59,0.0,20.72,1.44,Nagpur
20190424,43.42,25.76,0.0,18.4,1.33,Nagpur
20190425,44.7,27.06,0.0,18.32,1.51,Nagpur
20190426,45.61,28.47,0.0,17.08,1.52,Nagpur
20190427,45.83,29.77,0.0,15.94,0.8,Nagpur
20190428,45.08,28.17,0.0,18.61,1.7,Nagpur
20190429,46.04,28.29,0.0,17.58,1.94,Nagpur
20190430,45.91,28.12,0.0,16.34,1.1,Nagpur
20190501,44.88,27.32,0.0,13.44,1.56,Nagpur
20190502,44.91,28.25,0.0,17.5,1.85,Nagpur
20190503,44.33,28.3,0.0,21.71,2.96,Nagpur
20190504,43.79,28.58,0.0,18.28,3.77,Nagpur
20190505,43.07,27.57,0.0,18.02,3.75,Nagpur
20190506,43.82,26.89,0.0,15.68,2.31,Nagpur
20190507,44.56,28.27,0.0,16.38,3.24,Nagpur
20190508,44.85,28.97,0.0,14.95,4.01,Nagpur
20190509,44.9,28.9,0.0,15.42,4.72,Nagpur
20190510,44.62,28.92,0.0,19.19,3.13,Nagpur
20190511,43.46,30.45,0.0,22.91,2.53,Nagpur
20190512,44.82,28.98,0.0,16.36,3.17,Nagpur
20190513,44.58,28.1,0.0,17.99,2.58,Nagpur
20190514,44.43,29.56,0.0,18.88,2.54,Nagpur
20190515,44.54,28.86,0.0,16.73,1.83,Nagpur
20190516,44.36,29.58,0.0,17.69,3.23,Nagpur
20190517,44.59,29.41,0.0,18.42,3.64,Nagpur
20190518,43.58,29.57,0.0,20.15,4.09,Nagpur
20190519,43.87,28.31,0.0,18.68,2.53,Nagpur
20190520,44.97,28.78,0.0,16.32,1.34,Nagpur
20190521,45.32,30.96,0.0,18.51,1.34,Nagpur
20190522,46.06,31.63,2.51,21.88,1.76,Nagpur
20190523,45.77,30.16,0.0,18.83,1.77,Nagpur
20190524,45.7,31.33,0.0,20.23,2.51,Nagpur
20190525,45.43,30.91,0.0,18.24,3.37,Nagpur
20190526,45.68,31.58,0.0,19.78,2.34,Nagpur
20190527,46.92,31.58,0.0,17.51,2.79,Nagpur
20190528,47.04,32.16,0.0,17.69,2.99,Nagpur
20190529,46.48,32.28,0.0,20.26,1.45,Nagpur
20190530,45.68,32.26,0.0,27.51,2.96,Nagpur
20190531,45.69,32.69,0.74,28.49,3.79,Nagpur
20190601,44.6,33.01,0.18,27.58,2.94,Nagpur
20190602,46.53,32.49,0.0,22.83,1.84,Nagpur
20190603,47.25,33.12,0.09,23.33,2.45,Nagpur
20190604,46.97,31.73,0.49,25.62,3.44,Nagpur
20190605,47.79,33.05,0.04,22.34,2.84,Nagpur
20190606,46.44,33.91,0.0,18.7,1.78,Nagpur
20190607,47.49,34.12,0.37,22.25,3.04,Nagpur
20190608,43.98,31.97,0.61,28.6,2.09,Nagpur
20190609,44.22,33.66,0.42,30.68,2.39,Nagpur
20190610,46.38,32.66,2.51,27.2,2.59,Nagpur
20190611,45.38,32.31,0.81,27.18,3.69,Nagpur
20190612,44.91,32.38,0.27,32.84,4.68,Nagpur
20190613,38.59,31.02,0.01,42.51,3.62,Nagpur
20190614,42.08,30.62,0.08,37.75,3.49,Nagpur
20190615,43.07,31.17,2.92,33.46,3.55,Nagpur
20190616,41.3,31.36,2.02,39.67,3.22,Nagpur
20190617,41.26,30.58,0.66,37.86,3.27,Nagpur
20190618,41.91,30.48,0.12,34.72,3.22,Nagpur
20190619,41.79,31.07,0.13,35.85,3.03,Nagpur
20190620,36.88,29.11,2.49,48.08,3.01,Nagpur
20190621,41.63,27.73,1.09,46.26,2.02,Nagpur
20190622,36.71,28.59,3.53,52.12,2.25,Nagpur
20190623,36.45,26.96,13.46,62.81,2.06,Nagpur
20190624,37.57,26.56,0.52,62.56,2.08,Nagpur
20190625,38.5,26.8,0.2,57.91,2.86,Nagpur
20190626,39.06,27.63,1.47,57.44,2.31,Nagpur
20190627,36.83,27.74,3.81,68.27,3.06,Nagpur
20190628,31.05,26.28,6.32,81.97,2.89,Nagpur
20190629,33.09,25.48,16.15,76.12,3.02,Nagpur
20190630,31.12,24.48,44.97,83.82,3.25,Nagpur
20190701,32.12,24.92,26.35,82.17,2.69,Nagpur
20190702,28.77,25.08,26.96,88.84,3.37,Nagpur
20190703,31.44,24.92,10.74,82.65,4.91,Nagpur
20190704,30.55,24.32,6.9,83.68,4.45,Nagpur
20190705,27.98,23.31,11.47,84.61,5.44,Nagpur
20190706,32.95,24.17,1.71,78.49,4.51,Nagpur
20190707,30.51,24.13,4.25,82.25,4.59,Nagpur
20190708,29.04,24.44,8.59,86.12,3.84,Nagpur
20190709,32.6,24.5,8.78,80.89,3.71,Nagpur
20190710,33.18,24.79,2.26,76.86,3.86,Nagpur
20190711,32.0,25.42,0.06,78.58,3.21,Nagpur
20190712,33.13,25.23,0.03,75.8,3.09,Nagpur
20190713,33.13,24.8,0.0,74.96,3.36,Nagpur
20190714,34.27,25.18,0.95,72.93,4.3,Nagpur
20190715,34.45,25.07,0.36,72.51,3.56,Nagpur
20190716,35.34,25.64,0.0,70.11,2.84,Nagpur
20190717,35.08,25.72,0.0,69.35,1.77,Nagpur
20190718,34.8,26.52,4.37,71.53,1.9,Nagpur
20190719,35.48,25.12,4.52,70.29,1.19,Nagpur
20190720,33.85,25.79,11.44,78.33,1.73,Nagpur
20190721,33.92,25.58,4.02,78.34,2.24,Nagpur
20190722,33.56,24.81,1.08,77.22,2.02,Nagpur
20190723,34.67,25.39,0.2,71.63,2.11,Nagpur
20190724,34.87,24.6,0.37,72.24,2.17,Nagpur
20190725,33.25,25.49,41.71,79.93,3.31,Nagpur
20190726,30.45,24.68,14.49,85.04,3.59,Nagpur
20190727,29.14,24.37,26.98,88.53,3.89,Nagpur
20190728,30.31,24.69,20.47,84.7,4.02,Nagpur
20190729,31.17,24.4,16.72,86.73,4.06,Nagpur
20190730,29.09,24.23,63.13,88.83,5.76,Nagpur
20190731,28.9,23.31,27.89,87.11,5.86,Nagpur
20190801,29.49,23.34,2.05,86.69,4.22,Nagpur
20190802,27.08,23.77,25.5,91.45,4.5,Nagpur
20190803,30.95,23.77,18.13,86.22,4.5,Nagpur
20190804,31.74,24.83,7.33,85.74,3.64,Nagpur
20190805,30.4,24.7,5.22,86.18,3.26,Nagpur
20190806,29.44,24.36,9.32,88.48,3.31,Nagpur
20190807,28.4,24.34,25.02,91.22,4.29,Nagpur
20190808,27.25,23.68,46.13,92.27,5.43,Nagpur
20190809,29.84,23.11,22.04,86.21,4.93,Nagpur
20190810,30.86,22.89,2.84,85.02,2.5,Nagpur
20190811,31.36,24.27,1.5,83.73,2.43,Nagpur
20190812,30.96,24.09,2.86,85.15,2.96,Nagpur
20190813,27.0,24.46,40.33,93.66,3.36,Nagpur
20190814,26.62,23.82,12.19,92.57,3.86,Nagpur
20190815,30.1,23.04,2.0,85.05,3.11,Nagpur
20190816,30.94,23.64,0.79,84.84,2.61,Nagpur
20190817,31.08,24.18,0.42,84.06,1.93,Nagpur
20190818,29.48,23.96,0.07,86.81,1.76,Nagpur
20190819,30.44,23.43,17.92,88.22,2.11,Nagpur
20190820,30.77,24.29,7.79,87.98,2.41,Nagpur
20190821,29.68,24.24,5.77,90.72,2.36,Nagpur
20190822,29.52,24.07,9.89,88.26,2.45,Nagpur
20190823,30.36,23.91,5.1,88.4,2.66,Nagpur
20190824,27.73,23.52,18.45,93.26,3.05,Nagpur
20190825,27.45,23.31,24.58,94.09,2.68,Nagpur
20190826,28.72,23.63,23.97,90.82,3.4,Nagpur
20190827,28.23,22.76,5.0,89.08,3.76,Nagpur
20190828,29.63,22.62,0.32,86.04,2.16,Nagpur
20190829,30.27,22.78,10.11,83.56,1.11,Nagpur
20190830,29.16,24.23,13.46,88.75,1.48,Nagpur
20190831,29.97,24.53,16.67,89.79,1.73,Nagpur
20190901,28.69,24.67,13.73,92.48,2.29,Nagpur
20190902,26.95,24.25,12.2,93.9,2.81,Nagpur
20190903,28.83,23.79,31.12,91.45,1.64,Nagpur
20190904,31.01,24.19,26.78,89.35,1.16,Nagpur
20190905,30.55,24.49,41.98,89.51,1.89,Nagpur
20190906,29.26,24.92,51.97,93.7,3.03,Nagpur
20190907,27.72,24.93,18.56,94.91,3.02,Nagpur
20190908,28.93,24.47,16.83,93.01,2.94,Nagpur
20190909,29.76,24.11,5.07,90.82,2.85,Nagpur
20190910,28.95,24.28,4.81,91.9,2.99,Nagpur
