DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,30.88,12.14,0.0,19.41,1.65,Nanded
20190102,32.07,11.76,0.0,21.98,1.41,Nanded
20190103,31.01,11.94,0.0,24.16,1.37,Nanded
20190104,31.63,11.54,0.0,24.14,1.59,Nanded
20190105,31.77,11.88,0.0,31.56,1.41,Nanded
20190106,31.49,13.27,0.0,43.03,1.36,Nanded
20190107,30.18,12.72,0.0,29.76,1.76,Nanded
20190108,28.97,9.69,0.0,21.15,1.84,Nanded
20190109,30.57,13.04,0.0,19.84,1.32,Nanded
20190110,30.58,10.91,0.0,22.64,1.32,Nanded
20190111,31.17,11.0,0.0,31.61,1.45,Nanded
20190112,32.44,13.97,0.0,47.35,1.93,Nanded
20190113,31.56,14.58,0.0,45.65,1.54,Nanded
20190114,31.14,15.77,0.0,44.42,1.4,Nanded
20190115,30.23,14.09,0.0,41.82,1.77,Nanded
20190116,31.36,13.27,0.0,28.69,1.56,Nanded
20190117,32.01,14.08,0.0,23.18,1.49,Nanded
20190118,32.09,13.61,0.0,24.99,1.5,Nanded
20190119,31.66,13.13,0.0,22.57,1.52,Nanded
20190120,32.92,13.96,0.0,20.95,1.75,Nanded
20190121,33.24,13.07,0.0,25.64,1.98,Nanded
20190122,31.8,13.31,0.0,32.55,2.53,Nanded
20190123,31.87,14.48,0.0,34.7,1.96,Nanded
20190124,32.23,15.29,0.01,39.21,1.41,Nanded
20190125,31.91,18.86,1.84,45.87,2.57,Nanded
20190126,29.16,17.84,3.16,67.33,2.6,Nanded
20190127,25.46,15.0,0.25,68.64,2.54,Nanded
20190128,26.8,12.75,0.0,51.22,2.55,Nanded
20190129,26.44,8.46,0.0,29.65,2.27,Nanded
20190130,28.74,9.22,0.0,23.84,1.91,Nanded
20190131,30.51,9.13,0.0,32.25,2.01,Nanded
20190201,31.77,13.73,0.0,52.27,1.86,Nanded
20190202,31.63,16.21,0.0,46.43,2.73,Nanded
20190203,32.17,16.23,0.0,33.91,3.13,Nanded
20190204,32.5,15.89,0.0,32.71,2.67,Nanded
20190205,33.15,15.9,0.0,36.78,2.07,Nanded
20190206,34.22,16.44,0.0,34.81,1.94,Nanded
20190207,33.61,19.62,0.0,36.64,2.99,Nanded
20190208,31.63,15.45,0.0,29.76,2.41,Nanded
20190209,29.27,12.11,0.0,15.95,2.79,Nanded
20190210,31.67,9.0,0.0,17.01,1.84,Nanded
20190211,33.07,11.75,0.0,25.21,2.12,Nanded
20190212,33.96,16.41,0.0,37.32,2.55,Nanded
20190213,34.88,17.7,0.0,34.11,2.33,Nanded
20190214,35.83,16.52,0.0,30.18,1.58,Nanded
20190215,35.9,17.92,0.85,36.06,2.73,Nanded
20190216,34.27,18.01,0.0,28.01,2.61,Nanded
20190217,32.94,14.66,0.0,24.64,2.1,Nanded
20190218,35.08,15.11,0.0,20.82,1.49,Nanded
20190219,37.72,16.5,0.0,21.66,1.66,Nanded
20190220,37.61,18.71,0.0,36.24,2.48,Nanded
20190221,37.48,21.83,0.05,33.86,1.72,Nanded
20190222,38.11,23.7,0.0,30.76,1.59,Nanded
20190223,38.1,22.03,0.0,29.0,1.19,Nanded
20190224,38.61,21.41,0.0,23.53,1.77,Nanded
20190225,36.94,18.8,0.0,17.14,2.02,Nanded
20190226,35.98,17.84,0.0,17.49,2.36,Nanded
20190227,34.78,17.19,0.0,22.85,2.38,Nanded
20190228,33.17,17.27,0.0,26.4,2.49,Nanded
20190301,34.73,15.09,0.0,21.56,2.12,Nanded
20190302,36.62,18.23,0.0,36.28,2.58,Nanded
20190303,37.89,22.99,0.0,26.62,2.37,Nanded
20190304,37.82,18.46,0.0,22.98,1.84,Nanded
20190305,35.3,19.92,0.0,25.76,3.01,Nanded
20190306,35.15,17.19,0.0,18.37,2.49,Nanded
20190307,35.11,16.09,0.0,21.49,2.3,Nanded
20190308,37.07,16.59,0.0,20.12,1.69,Nanded
20190309,37.79,20.09,0.0,19.7,1.64,Nanded
20190310,38.38,18.66,0.0,22.1,1.44,Nanded
20190311,39.54,20.29,0.0,20.63,1.69,Nanded
20190312,37.99,20.89,0.0,24.36,2.49,Nanded
20190313,38.55,25.54,0.0,26.69,1.79,Nanded
20190314,38.94,23.37,0.0,21.84,1.9,Nanded
20190315,38.28,21.96,0.0,22.0,1.46,Nanded
20190316,39.97,21.64,0.0,20.51,1.8,Nanded
20190317,39.95,22.05,0.0,26.89,3.25,Nanded
20190318,39.27,20.07,0.0,17.14,1.28,Nanded
20190319,39.67,20.45,0.0,25.36,2.08,Nanded
20190320,39.68,22.11,0.33,29.33,2.2,Nanded
20190321,38.56,23.04,0.34,26.12,2.4,Nanded
20190322,39.12,21.62,1.41,22.9,1.52,Nanded
20190323,39.81,21.53,0.0,21.94,2.95,Nanded
20190324,39.9,22.36,0.0,23.94,2.78,Nanded
20190325,41.07,22.56,0.0,21.27,2.23,Nanded
20190326,41.35,24.53,0.14,22.51,1.98,Nanded
20190327,40.65,22.58,0.0,19.88,2.21,Nanded
20190328,41.16,21.64,0.0,16.71,1.9,Nanded
20190329,41.79,22.43,0.0,14.81,1.98,Nanded
20190330,42.35,23.12,0.0,16.33,1.33,Nanded
20190331,42.46,25.15,0.0,17.92,1.72,Nanded
20190401,42.22,24.24,0.0,14.81,2.81,Nanded
20190402,42.35,22.18,0.0,14.09,2.39,Nanded
20190403,42.55,23.47,0.0,19.0,2.05,Nanded
20190404,41.23,27.3,0.0,25.16,2.71,Nanded
20190405,41.92,27.0,0.11,23.78,2.38,Nanded
20190406,42.36,26.72,0.03,20.8,1.55,Nanded
20190407,42.35,24.79,0.03,17.74,1.78,Nanded
20190408,42.61,25.53,0.0,16.21,1.89,Nanded
20190409,42.85,23.84,0.0,15.32,1.36,Nanded
20190410,42.6,23.51,0.0,14.47,1.38,Nanded
20190411,43.36,24.99,0.0,14.48,1.3,Nanded
20190412,43.44,26.32,0.0,17.92,1.63,Nanded
20190413,43.41,27.02,0.61,22.84,1.69,Nanded
20190414,43.36,26.59,0.18,23.19,1.83,Nanded
20190415,42.6,27.67,0.15,21.61,1.77,Nanded
20190416,42.04,28.25,0.86,22.8,1.92,Nanded
20190417,40.01,27.19,0.17,29.86,2.49,Nanded
20190418,40.47,23.32,0.0,18.13,2.16,Nanded
20190419,40.96,23.27,0.03,19.66,2.63,Nanded
20190420,42.29,24.72,0.0,28.27,1.31,Nanded
20190421,42.56,25.17,0.0,22.09,2.37,Nanded
20190422,41.52,25.67,0.0,25.91,2.89,Nanded
20190423,42.4,26.07,0.0,24.4,1.82,Nanded
20190424,43.17,26.05,0.0,20.46,1.57,Nanded
20190425,44.34,26.09,0.0,19.06,2.28,Nanded
20190426,44.98,27.47,0.0,20.34,1.92,Nanded
20190427,45.16,28.64,0.0,20.76,2.12,Nanded
20190428,46.12,29.13,0.0,17.44,2.46,Nanded
20190429,45.69,30.76,0.0,18.37,2.06,Nanded
20190430,44.95,28.11,0.01,16.17,2.11,Nanded
20190501,43.06,27.14,0.0,15.51,3.26,Nanded
20190502,43.97,26.85,0.0,17.82,3.81,Nanded
20190503,42.58,25.85,0.0,19.12,3.57,Nanded
20190504,42.05,25.23,0.0,21.51,3.38,Nanded
20190505,42.25,25.54,0.0,21.65,3.13,Nanded
20190506,43.08,26.01,0.0,17.93,2.82,Nanded
20190507,43.14,27.47,0.0,15.52,2.26,Nanded
20190508,42.99,27.05,0.0,18.49,4.14,Nanded
20190509,42.71,27.11,0.0,23.13,3.42,Nanded
20190510,42.71,27.98,0.0,24.33,3.29,Nanded
20190511,42.64,28.94,0.0,22.57,3.2,Nanded
20190512,43.46,27.62,0.02,20.3,2.08,Nanded
20190513,43.64,28.31,0.0,19.37,2.51,Nanded
20190514,43.5,28.95,0.0,19.87,3.15,Nanded
20190515,43.98,26.49,0.0,18.26,2.38,Nanded
20190516,43.25,26.72,0.0,18.91,2.81,Nanded
20190517,43.45,27.63,0.0,19.42,3.68,Nanded
20190518,42.8,28.37,0.0,21.28,3.85,Nanded
20190519,43.8,28.04,0.0,18.0,3.21,Nanded
20190520,44.44,28.44,0.0,17.42,2.09,Nanded
20190521,45.01,30.21,0.59,18.24,1.15,Nanded
20190522,44.9,30.8,0.64,21.01,2.58,Nanded
20190523,44.82,30.53,0.0,18.6,2.13,Nanded
20190524,44.04,30.16,0.31,24.02,3.02,Nanded
20190525,43.86,30.6,0.0,20.88,3.66,Nanded
20190526,45.2,30.32,0.0,19.52,3.82,Nanded
20190527,45.25,31.3,0.0,21.02,4.2,Nanded
20190528,45.39,29.78,0.02,19.99,4.15,Nanded
20190529,45.26,29.27,0.0,19.44,2.92,Nanded
20190530,44.82,30.1,0.01,24.43,2.5,Nanded
20190531,45.04,32.59,0.13,26.13,2.57,Nanded
20190601,44.31,31.39,0.05,28.76,2.91,Nanded
20190602,45.31,32.73,0.23,23.73,2.89,Nanded
20190603,42.11,31.43,2.58,33.2,3.77,Nanded
20190604,44.53,29.25,0.0,30.65,2.36,Nanded
20190605,45.42,30.44,0.69,26.48,3.19,Nanded
20190606,45.15,30.69,0.02,27.81,4.58,Nanded
20190607,44.75,30.56,0.29,28.95,3.37,Nanded
20190608,40.85,31.67,1.75,36.34,2.61,Nanded
20190609,37.07,28.96,0.03,47.84,3.34,Nanded
20190610,42.61,29.25,0.11,36.14,3.18,Nanded
20190611,42.68,29.46,0.08,38.83,4.58,Nanded
20190612,40.59,27.99,0.0,45.69,5.59,Nanded
20190613,35.02,27.62,0.05,50.99,4.21,Nanded
20190614,40.71,26.96,0.0,36.55,4.63,Nanded
20190615,41.79,27.3,0.01,36.88,4.66,Nanded
20190616,40.7,28.5,0.02,37.75,4.03,Nanded
20190617,38.66,28.68,0.29,41.59,3.61,Nanded
20190618,41.4,27.74,0.0,37.02,4.67,Nanded
20190619,40.71,28.93,0.03,41.4,4.38,Nanded
20190620,32.18,28.03,1.75,57.85,3.38,Nanded
20190621,36.91,27.73,2.02,48.98,2.25,Nanded
20190622,35.88,27.15,3.09,55.73,2.92,Nanded
20190623,33.04,25.68,10.0,67.21,2.32,Nanded
20190624,36.41,24.98,4.68,64.43,1.49,Nanded
20190625,35.75,25.16,4.44,64.25,1.37,Nanded
20190626,35.5,26.43,5.14,66.94,2.29,Nanded
20190627,33.31,26.09,3.71,71.36,2.62,Nanded
20190628,33.0,25.48,11.23,71.69,4.03,Nanded
20190629,29.02,23.75,7.61,78.36,5.39,Nanded
20190630,31.92,23.08,1.68,70.83,4.88,Nanded
20190701,31.71,22.95,5.03,70.86,4.14,Nanded
20190702,31.64,23.38,21.99,77.34,4.58,Nanded
20190703,30.98,22.9,5.75,71.25,5.7,Nanded
20190704,35.3,22.53,0.85,62.57,5.29,Nanded
20190705,31.56,21.87,3.28,65.79,5.61,Nanded
20190706,31.36,24.14,1.28,73.2,5.42,Nanded
20190707,31.93,23.99,7.25,73.0,4.95,Nanded
20190708,33.88,24.01,4.89,73.59,4.58,Nanded
20190709,32.59,24.13,4.05,73.23,4.23,Nanded
20190710,33.65,24.3,4.62,72.61,4.36,Nanded
20190711,31.49,24.43,14.27,77.5,4.12,Nanded
20190712,32.77,23.56,8.58,74.26,3.33,Nanded
20190713,32.36,23.89,3.97,74.39,3.56,Nanded
20190714,33.55,23.87,0.85,70.97,3.68,Nanded
20190715,33.46,23.91,0.01,67.8,3.81,Nanded
20190716,33.62,24.31,0.01,67.64,3.48,Nanded
20190717,34.08,24.75,0.02,68.74,2.72,Nanded
20190718,35.03,24.83,1.74,65.94,2.78,Nanded
20190719,31.85,25.32,14.25,74.03,1.46,Nanded
20190720,30.93,23.88,22.87,83.0,2.29,Nanded
20190721,34.42,24.51,0.21,74.19,2.59,Nanded
20190722,33.67,24.39,0.47,73.02,2.24,Nanded
20190723,34.39,23.94,0.2,73.67,3.09,Nanded
20190724,34.76,24.25,0.1,70.18,2.37,Nanded
20190725,31.49,24.92,9.81,80.0,3.76,Nanded
20190726,28.54,24.03,12.65,83.14,4.06,Nanded
20190727,30.18,23.33,9.14,79.36,5.44,Nanded
20190728,29.26,23.54,10.03,81.59,5.16,Nanded
20190729,27.71,23.57,33.68,87.04,4.83,Nanded
20190730,28.86,23.14,13.72,80.35,5.56,Nanded
20190731,30.07,22.06,6.64,79.49,4.62,Nanded
20190801,30.54,22.4,17.76,80.47,4.52,Nanded
20190802,27.92,22.8,18.4,85.71,4.41,Nanded
20190803,29.73,22.82,22.81,85.57,4.97,Nanded
20190804,28.18,23.25,2.52,83.14,5.35,Nanded
20190805,31.26,23.3,4.93,83.3,4.21,Nanded
20190806,29.72,23.36,12.85,86.57,4.12,Nanded
20190807,28.16,23.0,19.06,87.55,4.65,Nanded
20190808,28.03,23.54,10.79,86.52,5.13,Nanded
20190809,32.42,23.19,1.54,76.6,5.3,Nanded
20190810,32.58,22.53,0.03,76.9,3.77,Nanded
20190811,31.93,22.52,3.27,78.22,2.86,Nanded
