DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,31.06,10.13,0.0,17.98,2.08,Osmanabad
20190102,31.37,11.41,0.0,21.31,1.7,Osmanabad
20190103,31.07,10.88,0.0,23.3,1.37,Osmanabad
20190104,32.0,11.63,0.0,21.99,1.75,Osmanabad
20190105,31.06,12.29,0.0,34.25,1.68,Osmanabad
20190106,30.63,12.86,0.0,35.75,1.38,Osmanabad
20190107,30.56,12.77,0.0,28.81,2.45,Osmanabad
20190108,30.58,11.16,0.0,18.08,2.23,Osmanabad
20190109,31.69,11.59,0.0,16.97,1.2,Osmanabad
20190110,31.62,11.15,0.0,18.65,1.52,Osmanabad
20190111,30.81,12.21,0.0,34.94,1.71,Osmanabad
20190112,31.14,13.07,0.0,40.52,1.85,Osmanabad
20190113,30.75,13.57,0.0,41.2,1.55,Osmanabad
20190114,31.53,14.3,0.0,38.86,1.87,Osmanabad
20190115,31.07,14.31,0.0,40.21,2.18,Osmanabad
20190116,31.67,14.31,0.0,30.79,1.87,Osmanabad
20190117,32.44,13.72,0.0,23.0,1.85,Osmanabad
20190118,32.11,13.38,0.0,26.4,1.64,Osmanabad
20190119,31.33,13.64,0.0,24.88,2.01,Osmanabad
20190120,32.75,13.26,0.0,22.77,2.03,Osmanabad
20190121,31.98,13.4,0.0,30.66,2.48,Osmanabad
20190122,30.68,13.66,0.0,32.85,1.85,Osmanabad
20190123,31.4,14.17,0.0,33.73,1.12,Osmanabad
20190124,31.63,14.16,0.0,35.12,1.8,Osmanabad
20190125,31.24,15.1,0.1,33.25,1.62,Osmanabad
20190126,30.31,15.4,0.31,45.57,2.62,Osmanabad
20190127,26.71,15.28,0.36,64.91,3.73,Osmanabad
20190128,27.81,13.45,0.0,49.34,3.48,Osmanabad
20190129,27.74,11.11,0.0,24.07,3.07,Osmanabad
20190130,30.19,9.42,0.0,19.03,1.91,Osmanabad
20190131,30.79,10.98,0.0,32.2,2.42,Osmanabad
20190201,31.35,13.9,0.0,50.79,2.1,Osmanabad
