DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,29.66,10.32,0.0,26.85,1.86,Pune
20190102,30.49,10.51,0.0,29.01,1.13,Pune
20190103,30.15,12.91,0.0,31.66,1.22,Pune
20190104,30.66,10.98,0.0,30.66,1.44,Pune
20190105,30.62,12.16,0.0,38.25,1.66,Pune
20190106,30.34,11.75,0.0,38.53,1.48,Pune
20190107,29.39,11.49,0.0,33.15,2.7,Pune
20190108,29.75,10.63,0.0,28.1,2.14,Pune
20190109,30.78,10.46,0.0,30.5,1.32,Pune
20190110,30.71,10.29,0.0,29.95,1.84,Pune
20190111,30.65,11.13,0.0,36.49,1.64,Pune
20190112,30.06,15.0,0.0,36.78,1.57,Pune
20190113,29.98,11.03,0.0,40.7,1.45,Pune
20190114,30.0,12.71,0.0,41.09,2.37,Pune
20190115,30.12,13.36,0.0,38.8,2.49,Pune
20190116,31.11,13.52,0.0,43.06,1.73,Pune
20190117,31.3,13.03,0.0,36.0,1.56,Pune
20190118,31.56,12.79,0.0,32.27,1.48,Pune
20190119,31.27,13.15,0.0,31.33,2.03,Pune
20190120,31.51,13.44,0.0,32.48,1.69,Pune
20190121,30.84,13.46,0.0,45.73,2.23,Pune
20190122,27.82,13.13,0.0,69.84,1.74,Pune
20190123,27.56,13.29,0.0,68.19,1.7,Pune
20190124,29.33,10.12,0.0,47.82,1.94,Pune
20190125,28.09,9.29,0.0,38.74,1.88,Pune
20190126,28.38,8.67,0.0,41.05,1.98,Pune
20190127,27.51,12.54,0.0,58.5,3.2,Pune
20190128,26.99,12.08,0.0,38.34,3.36,Pune
20190129,28.28,10.48,0.0,25.56,3.19,Pune
20190130,29.57,9.94,0.0,25.3,1.86,Pune
20190131,30.82,11.8,0.0,32.72,1.29,Pune
20190201,30.96,13.13,0.0,42.88,1.7,Pune
20190202,31.12,13.89,0.0,43.26,1.78,Pune
20190203,31.28,14.97,0.0,43.35,1.84,Pune
20190204,32.22,15.76,0.0,40.92,2.78,Pune
20190205,32.41,15.46,0.0,44.95,1.41,Pune
20190206,32.43,15.28,0.0,48.4,2.23,Pune
20190207,27.71,12.03,0.0,62.65,2.68,Pune
20190208,26.85,9.95,0.0,55.37,2.46,Pune
20190209,30.07,7.2,0.0,30.71,2.23,Pune
20190210,32.31,10.47,0.0,22.67,2.89,Pune
20190211,32.98,12.78,0.0,28.83,1.4,Pune
20190212,33.74,16.54,0.0,39.24,1.55,Pune
20190213,34.21,18.92,0.0,40.27,1.36,Pune
20190214,34.36,17.75,0.0,39.92,2.11,Pune
20190215,32.3,16.34,0.0,44.66,2.34,Pune
20190216,32.44,12.85,0.0,38.73,1.65,Pune
20190217,32.59,13.03,0.0,29.74,1.68,Pune
20190218,35.27,13.72,0.0,27.99,1.6,Pune
20190219,36.61,15.99,0.0,28.22,1.58,Pune
20190220,37.18,15.78,0.0,34.08,2.5,Pune
20190221,36.12,17.76,0.0,50.63,2.01,Pune
20190222,35.57,20.34,0.0,37.91,1.49,Pune
