DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,33.6,16.27,0.0,34.78,2.26,Raigad
20190102,34.01,15.78,0.0,34.48,1.65,Raigad
20190103,33.49,16.93,0.0,38.11,1.55,Raigad
20190104,34.37,16.79,0.0,37.59,1.91,Raigad
20190105,32.7,17.04,0.0,40.95,1.77,Raigad
20190106,32.61,16.27,0.0,41.21,2.22,Raigad
20190107,33.56,15.76,0.0,37.22,2.74,Raigad
20190108,33.33,16.07,0.0,33.8,2.82,Raigad
20190109,33.44,15.56,0.0,35.53,1.64,Raigad
20190110,33.9,15.88,0.0,37.35,2.19,Raigad
20190111,32.43,16.08,0.0,41.11,1.64,Raigad
20190112,31.47,17.96,0.0,42.0,1.56,Raigad
20190113,32.22,15.66,0.0,43.89,1.81,Raigad
20190114,34.14,16.6,0.0,39.65,2.28,Raigad
20190115,34.18,18.62,0.0,38.84,3.1,Raigad
20190116,34.47,18.55,0.0,44.84,2.3,Raigad
20190117,35.05,18.19,0.0,37.26,1.95,Raigad
20190118,35.11,18.11,0.0,34.11,2.02,Raigad
20190119,34.79,18.55,0.0,37.88,2.22,Raigad
20190120,35.4,18.72,0.0,42.33,1.76,Raigad
20190121,32.83,19.37,0.0,51.78,1.56,Raigad
20190122,29.62,17.76,0.11,70.9,1.73,Raigad
20190123,29.29,17.24,0.06,70.11,2.37,Raigad
20190124,30.53,15.11,0.0,49.22,2.52,Raigad
20190125,29.96,14.02,0.0,38.96,3.12,Raigad
20190126,31.2,12.91,0.0,39.04,2.23,Raigad
20190127,31.57,16.7,0.0,49.06,3.06,Raigad
20190128,30.93,17.55,0.0,35.48,3.82,Raigad
20190129,32.41,15.9,0.0,29.76,3.43,Raigad
20190130,33.0,15.93,0.0,30.82,2.9,Raigad
20190131,33.26,16.25,0.0,37.02,2.14,Raigad
20190201,33.07,17.06,0.0,41.62,2.07,Raigad
20190202,32.92,17.81,0.0,42.11,1.8,Raigad
20190203,33.67,18.68,0.0,44.16,1.84,Raigad
20190204,35.78,20.03,0.0,46.57,2.78,Raigad
20190205,35.3,19.91,0.0,50.43,1.74,Raigad
20190206,31.9,19.24,0.0,53.92,2.27,Raigad
20190207,28.24,17.07,0.06,64.43,3.16,Raigad
20190208,26.55,14.96,0.0,55.23,3.23,Raigad
20190209,32.0,12.64,0.0,36.07,2.6,Raigad
20190210,33.69,14.85,0.0,28.93,2.95,Raigad
20190211,35.45,17.03,0.0,32.73,1.92,Raigad
20190212,36.43,20.3,0.0,37.3,2.33,Raigad
20190213,36.09,22.24,0.0,43.14,1.85,Raigad
20190214,35.01,20.23,0.0,47.0,2.28,Raigad
20190215,32.19,18.74,0.0,55.43,2.24,Raigad
20190216,32.92,16.41,0.0,49.27,2.26,Raigad
20190217,32.77,16.85,0.0,41.14,1.96,Raigad
20190218,35.29,16.91,0.0,41.59,1.99,Raigad
20190219,36.31,18.43,0.0,42.31,1.97,Raigad
20190220,36.23,19.27,0.09,49.37,1.99,Raigad
20190221,35.7,19.57,0.0,63.27,2.21,Raigad
20190222,36.92,20.51,0.0,50.92,2.77,Raigad
20190223,38.84,22.63,0.0,35.52,2.56,Raigad
20190224,36.9,21.99,0.0,30.97,2.43,Raigad
20190225,36.01,20.21,0.0,39.36,2.49,Raigad
20190226,33.27,19.21,0.0,50.66,2.63,Raigad
20190227,31.54,19.02,0.0,60.18,2.45,Raigad
20190228,32.89,17.53,0.0,52.39,2.18,Raigad
20190301,34.76,17.43,0.0,40.21,1.74,Raigad
20190302,35.3,20.1,0.0,48.4,2.11,Raigad
20190303,32.5,19.29,0.03,67.07,2.05,Raigad
20190304,31.87,20.22,0.11,70.71,2.39,Raigad
20190305,31.84,20.19,0.0,64.4,2.1,Raigad
20190306,31.68,18.59,0.0,57.79,2.51,Raigad
20190307,34.75,17.33,0.0,53.85,2.57,Raigad
20190308,36.51,19.03,0.0,46.17,2.53,Raigad
20190309,35.69,20.32,0.0,40.77,2.41,Raigad
20190310,36.97,20.81,0.0,38.54,2.25,Raigad
20190311,33.98,19.4,0.0,55.7,2.59,Raigad
20190312,35.59,18.92,0.0,54.71,2.36,Raigad
20190313,33.94,19.94,0.0,53.09,2.99,Raigad
20190314,33.83,20.28,0.0,51.22,3.35,Raigad
20190315,38.33,19.78,0.0,37.38,2.65,Raigad
20190316,37.98,21.28,0.0,37.68,2.2,Raigad
20190317,36.28,20.94,0.29,45.11,1.76,Raigad
20190318,37.47,19.88,0.0,41.79,2.16,Raigad
20190319,37.0,20.44,0.0,44.04,1.97,Raigad
20190320,35.64,19.97,0.0,54.97,2.11,Raigad
20190321,35.63,19.55,0.0,56.87,2.24,Raigad
20190322,36.36,18.9,0.0,51.66,2.38,Raigad
20190323,40.02,20.67,0.01,37.35,2.32,Raigad
20190324,40.56,22.87,0.0,27.73,2.36,Raigad
20190325,42.2,23.22,0.0,27.08,2.43,Raigad
20190326,42.27,24.14,0.01,34.56,2.18,Raigad
20190327,39.94,23.74,0.04,58.98,1.69,Raigad
20190328,41.57,22.7,0.03,45.86,1.68,Raigad
20190329,41.3,22.04,0.02,53.31,2.02,Raigad
20190330,38.67,23.9,0.02,53.78,1.99,Raigad
20190331,37.86,23.7,0.01,54.91,1.79,Raigad
20190401,37.22,22.34,0.0,55.42,1.86,Raigad
20190402,38.57,21.76,0.0,56.61,1.76,Raigad
20190403,41.06,22.16,0.02,55.52,2.13,Raigad
20190404,40.88,22.61,0.02,56.77,2.26,Raigad
20190405,38.04,23.8,0.02,61.17,1.97,Raigad
20190406,39.07,23.83,0.0,53.61,2.25,Raigad
20190407,38.35,24.25,0.0,54.59,1.94,Raigad
20190408,39.81,22.95,0.0,57.64,2.41,Raigad
20190409,38.27,24.28,0.0,53.74,2.08,Raigad
20190410,38.96,22.4,0.0,53.86,2.42,Raigad
