DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,31.29,20.74,0.0,52.58,3.99,Ratnagiri
20190102,30.99,22.53,0.0,46.12,3.25,Ratnagiri
20190103,30.38,23.25,0.0,47.95,3.04,Ratnagiri
20190104,31.38,23.17,0.0,49.94,3.28,Ratnagiri
20190105,29.93,23.41,0.0,53.34,3.24,Ratnagiri
20190106,29.48,23.25,0.0,54.15,3.88,Ratnagiri
20190107,31.76,22.72,0.0,53.21,3.7,Ratnagiri
20190108,30.29,21.05,0.0,56.57,4.33,Ratnagiri
20190109,30.22,22.92,0.0,46.93,3.5,Ratnagiri
20190110,30.1,23.25,0.0,48.63,3.31,Ratnagiri
20190111,28.35,23.64,0.0,54.6,3.03,Ratnagiri
20190112,27.47,23.43,0.0,58.69,3.17,Ratnagiri
20190113,27.81,22.92,0.0,58.18,3.8,Ratnagiri
20190114,30.8,23.46,0.0,55.87,2.84,Ratnagiri
20190115,32.53,22.97,0.0,56.92,3.23,Ratnagiri
20190116,30.87,22.67,0.0,60.67,3.5,Ratnagiri
20190117,31.1,24.22,0.0,54.44,3.23,Ratnagiri
20190118,31.03,23.21,0.0,55.58,3.61,Ratnagiri
20190119,30.23,23.85,0.0,54.38,3.49,Ratnagiri
20190120,31.64,24.65,0.0,57.18,2.98,Ratnagiri
20190121,29.21,24.31,0.0,64.87,2.63,Ratnagiri
20190122,26.69,23.56,0.01,71.98,3.36,Ratnagiri
20190123,26.62,23.32,0.01,71.4,4.53,Ratnagiri
20190124,26.34,22.0,0.0,65.16,4.82,Ratnagiri
20190125,26.75,22.17,0.0,52.83,5.52,Ratnagiri
20190126,26.31,21.94,0.0,53.06,4.09,Ratnagiri
20190127,28.73,22.27,0.0,64.02,3.85,Ratnagiri
20190128,29.32,23.61,0.15,59.79,4.54,Ratnagiri
20190129,30.18,22.87,0.0,51.26,4.91,Ratnagiri
20190130,30.72,21.07,0.0,53.69,4.79,Ratnagiri
20190131,29.97,23.25,0.0,53.38,4.57,Ratnagiri
20190201,28.58,23.42,0.0,57.61,3.96,Ratnagiri
20190202,28.62,23.97,0.0,56.2,3.69,Ratnagiri
20190203,29.45,23.94,0.0,60.62,2.97,Ratnagiri
20190204,30.83,23.83,0.0,61.75,3.39,Ratnagiri
20190205,31.12,24.18,0.0,64.9,3.34,Ratnagiri
20190206,28.49,24.4,0.0,67.14,4.61,Ratnagiri
20190207,26.31,23.05,0.0,68.4,6.11,Ratnagiri
20190208,25.26,22.08,0.0,64.67,6.3,Ratnagiri
20190209,27.89,19.77,0.0,48.58,4.84,Ratnagiri
20190210,28.19,22.29,0.0,51.78,3.29,Ratnagiri
20190211,31.0,23.42,0.0,56.33,3.44,Ratnagiri
20190212,30.23,25.4,0.0,66.39,3.07,Ratnagiri
20190213,31.65,25.34,0.0,63.63,3.31,Ratnagiri
20190214,30.1,24.89,0.0,63.33,3.88,Ratnagiri
20190215,28.43,23.99,0.0,64.72,4.99,Ratnagiri
20190216,27.91,23.32,0.0,57.95,4.54,Ratnagiri
20190217,27.37,22.98,0.0,53.87,3.23,Ratnagiri
20190218,28.92,23.02,0.0,57.48,3.54,Ratnagiri
