DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,30.64,10.18,0.0,24.49,2.53,Sangli
20190102,30.77,11.29,0.0,25.12,2.35,Sangli
20190103,31.0,11.64,0.0,29.37,1.81,Sangli
20190104,31.77,11.76,0.0,29.04,2.06,Sangli
20190105,32.04,12.39,0.0,34.44,1.26,Sangli
20190106,31.8,13.46,0.0,34.92,1.17,Sangli
20190107,30.69,13.94,0.0,34.16,2.9,Sangli
20190108,31.13,12.62,0.0,23.75,2.41,Sangli
20190109,32.3,11.71,0.0,20.77,1.56,Sangli
20190110,32.31,12.05,0.0,23.06,1.48,Sangli
20190111,32.6,12.63,0.0,33.09,1.57,Sangli
20190112,32.56,15.34,0.0,35.63,1.37,Sangli
20190113,32.22,14.34,0.0,35.67,1.18,Sangli
20190114,31.93,14.37,0.0,35.47,2.22,Sangli
20190115,31.95,14.95,0.0,36.48,2.49,Sangli
20190116,32.3,14.71,0.0,35.14,2.33,Sangli
20190117,32.7,14.48,0.0,27.89,2.17,Sangli
20190118,32.97,13.67,0.0,26.73,1.9,Sangli
20190119,32.48,14.75,0.0,31.71,2.2,Sangli
20190120,32.73,14.61,0.0,28.22,2.26,Sangli
20190121,33.07,13.61,0.0,36.78,2.35,Sangli
20190122,30.54,15.13,0.0,61.7,2.0,Sangli
20190123,31.14,13.4,0.0,55.27,1.77,Sangli
20190124,31.99,12.38,0.0,48.4,2.35,Sangli
20190125,31.3,11.92,0.0,36.93,2.27,Sangli
20190126,31.13,12.55,0.0,31.53,1.94,Sangli
20190127,29.48,14.25,0.0,58.15,2.47,Sangli
20190128,29.17,15.66,0.0,46.57,3.34,Sangli
20190129,29.41,13.61,0.0,26.58,3.7,Sangli
20190130,31.27,12.19,0.0,20.49,2.59,Sangli
20190131,32.39,12.63,0.0,28.45,1.73,Sangli
20190201,32.51,14.46,0.0,41.74,1.76,Sangli
20190202,32.59,17.04,0.0,39.89,0.96,Sangli
20190203,32.69,15.94,0.0,36.91,2.33,Sangli
20190204,33.08,16.65,0.0,38.77,3.01,Sangli
20190205,33.68,16.8,0.0,37.12,1.68,Sangli
20190206,34.97,16.94,0.0,40.3,2.57,Sangli
20190207,32.52,14.95,0.0,45.13,2.31,Sangli
20190208,32.04,13.05,0.0,43.07,2.67,Sangli
20190209,33.75,10.16,0.0,24.49,2.38,Sangli
20190210,34.12,12.97,0.0,20.82,2.09,Sangli
20190211,33.91,15.62,0.0,31.83,2.03,Sangli
20190212,34.91,19.68,0.0,39.31,2.66,Sangli
20190213,34.49,19.22,0.0,33.37,2.49,Sangli
20190214,35.55,17.62,0.0,34.2,2.46,Sangli
20190215,35.07,17.48,0.0,40.04,2.52,Sangli
20190216,34.33,15.28,0.0,35.2,2.17,Sangli
20190217,34.08,14.55,0.0,29.92,2.06,Sangli
20190218,36.46,14.12,0.0,28.04,1.3,Sangli
20190219,37.8,18.67,0.0,30.17,1.64,Sangli
20190220,37.71,18.32,0.0,33.4,2.04,Sangli
20190221,36.81,19.3,0.0,42.62,1.43,Sangli
20190222,37.75,20.35,0.0,32.44,1.82,Sangli
20190223,37.82,20.94,0.0,29.64,1.94,Sangli
20190224,38.17,20.31,0.0,25.12,2.32,Sangli
20190225,37.21,18.87,0.0,24.06,2.46,Sangli
20190226,35.97,17.27,0.0,27.22,2.83,Sangli
20190227,34.05,16.2,0.0,32.94,2.84,Sangli
20190228,33.49,13.99,0.0,40.6,2.47,Sangli
20190301,35.59,14.32,0.0,34.43,1.68,Sangli
20190302,37.58,16.69,0.0,36.31,2.64,Sangli
20190303,36.12,15.84,0.0,50.43,2.26,Sangli
20190304,37.26,17.24,0.0,55.04,3.21,Sangli
20190305,35.22,17.62,0.0,55.62,3.19,Sangli
20190306,35.12,15.43,0.0,49.69,2.72,Sangli
20190307,35.72,14.3,0.0,34.99,2.31,Sangli
20190308,38.04,16.36,0.0,19.34,1.69,Sangli
20190309,37.35,18.73,0.0,28.51,2.22,Sangli
20190310,38.15,19.3,0.0,28.19,2.37,Sangli
20190311,38.37,18.77,0.0,30.3,2.54,Sangli
20190312,37.34,18.6,0.0,35.46,2.56,Sangli
20190313,37.39,19.29,0.0,33.0,2.54,Sangli
20190314,37.65,19.4,0.0,28.68,1.95,Sangli
20190315,38.12,20.12,0.0,23.93,2.38,Sangli
20190316,39.11,19.86,0.0,26.04,2.32,Sangli
20190317,38.39,19.53,0.0,24.41,2.02,Sangli
20190318,38.49,19.35,0.0,27.43,2.52,Sangli
20190319,38.86,18.92,0.0,28.44,2.7,Sangli
20190320,38.35,18.08,0.0,34.22,2.9,Sangli
20190321,37.92,17.8,0.0,36.73,2.28,Sangli
20190322,38.67,18.84,0.0,27.15,1.79,Sangli
20190323,39.74,19.51,0.0,20.31,2.09,Sangli
20190324,40.29,20.23,0.0,21.8,1.52,Sangli
20190325,39.62,24.12,1.08,30.92,2.63,Sangli
20190326,40.29,24.42,0.08,31.71,2.61,Sangli
20190327,40.56,21.32,0.3,47.62,2.07,Sangli
20190328,41.02,20.06,0.18,32.58,2.0,Sangli
20190329,41.01,20.26,0.01,30.6,2.47,Sangli
20190330,40.8,20.04,0.14,47.34,2.64,Sangli
20190331,40.33,23.2,0.72,42.32,3.23,Sangli
20190401,40.65,20.17,0.03,42.79,2.73,Sangli
20190402,40.85,19.09,0.0,37.92,2.68,Sangli
20190403,41.21,19.78,0.0,34.63,2.72,Sangli
20190404,41.33,21.66,1.65,41.01,2.18,Sangli
20190405,39.7,22.33,0.91,49.83,2.09,Sangli
20190406,40.38,22.94,0.0,39.04,2.43,Sangli
20190407,40.91,22.04,0.0,31.39,2.13,Sangli
20190408,41.24,21.48,0.0,36.24,2.39,Sangli
20190409,41.14,21.23,0.0,42.06,2.8,Sangli
20190410,41.38,21.84,0.02,25.54,2.33,Sangli
20190411,40.97,22.57,0.36,28.56,2.38,Sangli
20190412,41.61,21.62,0.1,39.66,2.57,Sangli
20190413,40.99,22.13,1.17,36.58,2.65,Sangli
20190414,40.42,24.78,0.8,36.4,2.54,Sangli
20190415,40.23,24.22,1.27,43.14,2.81,Sangli
20190416,38.43,22.99,0.04,48.85,3.18,Sangli
20190417,38.45,20.36,0.0,46.27,3.34,Sangli
20190418,39.49,18.65,0.0,30.36,2.72,Sangli
20190419,39.63,19.54,0.0,45.71,3.43,Sangli
20190420,39.01,20.03,0.0,42.53,3.16,Sangli
20190421,39.38,19.56,0.0,46.77,3.12,Sangli
20190422,39.99,20.53,0.0,37.67,3.2,Sangli
20190423,40.7,20.73,0.0,29.0,2.43,Sangli
