DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,31.74,11.82,0.0,26.9,2.19,Satara
20190102,31.98,12.29,0.0,26.83,1.79,Satara
20190103,31.97,12.99,0.0,30.93,1.26,Satara
20190104,32.85,12.92,0.0,28.8,1.56,Satara
20190105,32.8,13.38,0.0,36.84,1.69,Satara
20190106,32.92,13.79,0.0,35.94,1.6,Satara
20190107,31.88,14.4,0.0,28.22,2.97,Satara
20190108,32.44,13.86,0.0,23.47,2.31,Satara
20190109,33.33,12.46,0.0,23.61,1.26,Satara
20190110,33.59,13.27,0.0,25.32,1.74,Satara
20190111,32.9,13.65,0.0,33.97,1.74,Satara
20190112,32.53,14.68,0.0,38.13,1.57,Satara
20190113,32.57,13.24,0.0,38.11,1.58,Satara
20190114,33.09,14.86,0.0,35.28,1.86,Satara
20190115,32.92,16.15,0.0,34.27,2.66,Satara
20190116,33.58,16.13,0.0,34.12,1.92,Satara
20190117,34.14,15.68,0.0,27.3,1.71,Satara
20190118,34.28,15.39,0.0,24.28,1.51,Satara
20190119,33.91,16.11,0.0,29.48,1.71,Satara
20190120,34.07,16.01,0.0,30.14,1.66,Satara
20190121,33.07,14.99,0.0,41.34,2.12,Satara
20190122,30.25,14.85,0.0,64.42,1.7,Satara
20190123,30.37,14.04,0.0,63.48,1.78,Satara
20190124,31.62,12.19,0.0,52.07,2.05,Satara
20190125,30.96,11.3,0.0,37.28,1.9,Satara
20190126,31.09,11.28,0.0,34.56,1.71,Satara
20190127,30.75,14.49,0.0,56.88,2.38,Satara
20190128,30.26,15.54,0.0,41.13,2.99,Satara
20190129,31.01,14.31,0.0,21.06,3.55,Satara
20190130,32.64,13.67,0.0,21.92,2.25,Satara
20190131,33.81,13.51,0.0,28.43,1.31,Satara
20190201,33.1,15.03,0.0,41.55,1.94,Satara
20190202,32.84,16.19,0.0,42.6,1.59,Satara
20190203,33.59,16.17,0.0,39.69,1.7,Satara
20190204,34.45,17.28,0.0,38.72,2.5,Satara
20190205,35.04,17.25,0.0,40.17,1.42,Satara
20190206,34.51,17.67,0.0,45.14,2.18,Satara
20190207,31.11,14.01,0.0,51.73,2.59,Satara
20190208,29.98,12.9,0.0,50.01,2.56,Satara
20190209,33.92,9.4,0.0,29.93,2.42,Satara
20190210,34.45,13.12,0.0,24.02,2.22,Satara
20190211,35.28,14.93,0.0,28.81,1.37,Satara
20190212,36.0,21.19,0.0,37.17,1.79,Satara
20190213,35.77,19.44,0.0,35.7,1.48,Satara
20190214,35.94,18.54,0.0,37.04,2.3,Satara
20190215,34.36,17.15,0.0,44.01,2.26,Satara
20190216,33.94,14.88,0.0,39.91,1.87,Satara
20190217,33.24,14.28,0.0,37.33,1.92,Satara
20190218,36.88,13.99,0.0,34.55,1.42,Satara
20190219,37.09,17.14,0.0,36.24,1.99,Satara
20190220,37.32,17.28,0.0,39.44,2.1,Satara
20190221,37.28,18.91,0.0,52.16,2.0,Satara
20190222,38.36,20.87,0.0,35.98,1.27,Satara
20190223,38.67,22.18,0.0,32.48,2.4,Satara
20190224,38.42,20.52,0.0,24.62,2.39,Satara
20190225,37.37,18.92,0.0,28.27,2.31,Satara
20190226,34.63,17.25,0.0,32.57,2.69,Satara
20190227,32.17,16.77,0.0,42.14,2.63,Satara
20190228,32.78,13.79,0.0,48.86,2.0,Satara
20190301,34.63,15.01,0.0,41.85,1.57,Satara
20190302,36.28,16.88,0.0,45.37,2.27,Satara
20190303,34.32,16.24,0.0,60.66,2.05,Satara
20190304,34.77,18.01,0.0,62.79,2.69,Satara
20190305,33.65,18.05,0.0,60.1,2.54,Satara
20190306,34.02,15.32,0.0,56.46,2.44,Satara
20190307,36.19,14.01,0.0,42.9,2.07,Satara
20190308,38.32,16.64,0.0,27.2,2.18,Satara
20190309,37.6,18.57,0.0,31.9,2.15,Satara
20190310,38.37,18.63,0.0,32.54,2.33,Satara
20190311,37.17,18.27,0.0,38.36,2.42,Satara
20190312,37.99,17.63,0.0,42.25,2.13,Satara
20190313,37.02,18.12,0.0,42.88,2.72,Satara
20190314,37.86,17.77,0.0,36.71,2.46,Satara
20190315,38.64,19.21,0.0,25.33,2.54,Satara
20190316,39.46,19.42,0.0,27.56,2.29,Satara
20190317,37.58,20.71,0.0,28.75,2.12,Satara
20190318,38.27,19.27,0.0,32.82,2.35,Satara
20190319,38.28,18.61,0.0,33.4,2.25,Satara
20190320,37.82,17.94,0.0,39.62,2.34,Satara
20190321,37.67,17.2,0.0,43.24,2.29,Satara
20190322,38.73,18.15,0.0,32.66,2.08,Satara
20190323,40.56,19.04,0.0,26.84,1.76,Satara
20190324,41.02,20.45,0.1,23.66,1.55,Satara
20190325,41.71,22.3,0.22,27.66,1.91,Satara
20190326,41.35,22.67,0.12,35.67,2.11,Satara
20190327,39.56,21.12,0.13,51.01,1.95,Satara
