DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,34.31,17.05,0.0,31.33,2.68,Sindhudurg
20190102,33.7,17.51,0.0,31.23,2.68,Sindhudurg
20190103,34.36,17.93,0.0,35.28,2.11,Sindhudurg
20190104,34.93,18.71,0.0,36.03,2.13,Sindhudurg
20190105,33.96,19.11,0.0,43.3,2.1,Sindhudurg
20190106,33.19,18.75,0.0,47.14,2.08,Sindhudurg
20190107,34.94,19.38,0.0,42.9,2.33,Sindhudurg
20190108,34.45,19.13,0.0,36.71,2.71,Sindhudurg
20190109,34.6,18.88,0.0,39.17,2.2,Sindhudurg
20190110,34.43,18.7,0.0,41.49,2.14,Sindhudurg
20190111,32.94,18.86,0.0,49.37,2.11,Sindhudurg
20190112,33.33,18.46,0.0,56.05,2.08,Sindhudurg
20190113,32.57,18.43,0.0,50.68,2.23,Sindhudurg
20190114,35.31,18.78,0.0,45.34,1.7,Sindhudurg
20190115,35.51,20.33,0.0,40.12,1.77,Sindhudurg
20190116,35.03,20.31,0.0,41.84,2.02,Sindhudurg
20190117,35.76,20.19,0.0,37.91,1.77,Sindhudurg
20190118,35.78,20.13,0.0,39.25,1.99,Sindhudurg
20190119,34.26,20.34,0.0,45.79,2.15,Sindhudurg
20190120,35.48,20.41,0.0,45.43,2.12,Sindhudurg
20190121,32.88,19.93,0.0,53.88,2.16,Sindhudurg
20190122,30.55,21.33,0.0,67.03,1.95,Sindhudurg
20190123,31.19,19.46,0.0,64.41,2.69,Sindhudurg
20190124,30.47,17.82,0.0,65.79,2.55,Sindhudurg
20190125,30.79,16.81,0.0,52.02,2.51,Sindhudurg
20190126,30.02,17.64,0.0,50.44,2.03,Sindhudurg
20190127,30.63,17.28,0.0,55.09,2.43,Sindhudurg
20190128,32.79,20.62,0.0,54.46,2.48,Sindhudurg
20190129,33.57,20.68,0.0,42.59,3.29,Sindhudurg
20190130,34.56,19.32,0.0,38.05,3.28,Sindhudurg
20190131,34.17,19.31,0.0,47.42,1.93,Sindhudurg
20190201,32.68,19.61,0.0,55.82,2.25,Sindhudurg
20190202,33.2,19.71,0.0,55.43,2.1,Sindhudurg
20190203,34.36,19.76,0.0,50.45,1.77,Sindhudurg
20190204,35.47,20.4,0.0,47.37,2.62,Sindhudurg
20190205,36.07,20.83,0.0,50.78,2.42,Sindhudurg
20190206,34.46,21.15,0.0,58.68,2.53,Sindhudurg
20190207,31.56,19.67,0.0,57.15,3.18,Sindhudurg
20190208,31.7,18.39,0.0,55.9,3.69,Sindhudurg
20190209,34.22,15.48,0.0,41.85,2.77,Sindhudurg
20190210,34.63,18.32,0.0,40.92,2.47,Sindhudurg
20190211,35.29,19.68,0.0,42.86,1.99,Sindhudurg
20190212,36.38,22.95,0.0,49.87,2.0,Sindhudurg
20190213,36.88,23.28,0.0,45.34,2.5,Sindhudurg
20190214,35.2,22.05,0.0,49.71,2.59,Sindhudurg
20190215,33.86,21.09,0.0,55.35,2.5,Sindhudurg
20190216,33.13,19.34,0.0,50.36,2.58,Sindhudurg
20190217,31.4,18.18,0.0,51.0,2.08,Sindhudurg
20190218,35.29,18.67,0.0,51.23,2.04,Sindhudurg
20190219,33.22,19.99,0.0,64.63,2.07,Sindhudurg
20190220,35.86,20.45,0.0,56.66,2.17,Sindhudurg
20190221,37.02,21.34,0.0,59.98,2.52,Sindhudurg
20190222,38.56,22.25,0.0,46.42,1.92,Sindhudurg
20190223,37.51,23.54,0.0,42.77,2.76,Sindhudurg
20190224,36.68,22.16,0.0,48.41,2.4,Sindhudurg
20190225,36.45,21.55,0.0,43.64,2.63,Sindhudurg
20190226,35.7,19.91,0.0,48.07,3.12,Sindhudurg
20190227,33.56,19.74,0.0,53.86,3.15,Sindhudurg
20190228,32.54,18.55,0.0,54.25,2.81,Sindhudurg
20190301,33.18,17.92,0.0,54.16,2.05,Sindhudurg
20190302,33.57,19.42,0.0,56.9,2.16,Sindhudurg
20190303,33.03,19.92,0.0,63.61,2.27,Sindhudurg
20190304,33.56,20.97,0.0,66.79,2.94,Sindhudurg
20190305,32.44,21.0,0.0,67.4,2.75,Sindhudurg
20190306,33.03,20.09,0.0,60.45,2.98,Sindhudurg
20190307,34.95,17.93,0.0,57.74,2.83,Sindhudurg
20190308,37.37,20.0,0.0,46.52,2.48,Sindhudurg
20190309,36.41,20.85,0.0,55.1,2.35,Sindhudurg
20190310,37.43,21.37,0.0,48.62,2.55,Sindhudurg
20190311,35.67,20.71,0.0,54.79,2.62,Sindhudurg
20190312,36.47,20.82,0.0,56.48,2.83,Sindhudurg
20190313,35.62,21.58,0.0,52.71,3.33,Sindhudurg
20190314,36.77,20.75,0.0,49.07,3.16,Sindhudurg
20190315,38.25,21.25,0.0,47.29,2.63,Sindhudurg
20190316,36.92,21.26,0.0,51.22,2.37,Sindhudurg
20190317,36.59,21.77,0.0,49.83,2.35,Sindhudurg
20190318,36.75,21.79,0.0,48.33,2.67,Sindhudurg
20190319,36.01,20.86,0.0,52.83,2.2,Sindhudurg
20190320,35.82,20.55,0.0,56.87,2.43,Sindhudurg
20190321,36.13,20.77,0.0,55.07,2.72,Sindhudurg
20190322,37.67,20.97,0.0,49.55,2.88,Sindhudurg
20190323,38.89,21.34,0.0,53.48,2.64,Sindhudurg
20190324,37.43,22.59,0.08,59.68,2.02,Sindhudurg
20190325,37.71,23.69,2.93,57.67,2.07,Sindhudurg
20190326,37.25,25.46,0.88,62.6,1.97,Sindhudurg
20190327,35.23,25.07,2.49,67.72,1.98,Sindhudurg
20190328,37.71,23.42,0.09,59.23,1.88,Sindhudurg
20190329,37.76,22.96,0.13,59.6,1.99,Sindhudurg
20190330,34.86,23.65,0.95,68.33,1.98,Sindhudurg
20190331,35.38,25.04,1.46,63.67,1.7,Sindhudurg
20190401,36.86,23.56,0.03,58.55,2.04,Sindhudurg
20190402,37.85,22.15,0.0,57.75,2.51,Sindhudurg
20190403,39.37,22.02,0.03,57.15,2.49,Sindhudurg
20190404,35.68,23.86,0.32,66.94,1.97,Sindhudurg
20190405,36.15,24.35,0.19,62.68,2.42,Sindhudurg
20190406,38.33,24.36,0.05,61.3,2.45,Sindhudurg
20190407,38.23,24.05,0.0,55.43,2.82,Sindhudurg
20190408,38.86,23.55,0.04,60.23,2.37,Sindhudurg
20190409,38.34,24.98,0.05,59.21,2.12,Sindhudurg
20190410,39.92,24.12,0.05,54.35,2.33,Sindhudurg
20190411,38.11,24.23,1.27,61.7,2.21,Sindhudurg
20190412,39.71,24.15,0.67,60.28,2.37,Sindhudurg
20190413,37.9,24.54,3.76,61.87,1.89,Sindhudurg
20190414,39.12,24.89,1.22,59.05,2.21,Sindhudurg
20190415,35.3,25.59,2.53,65.28,2.1,Sindhudurg
20190416,35.0,25.02,0.21,60.68,2.3,Sindhudurg
20190417,36.8,23.94,0.0,58.61,2.98,Sindhudurg
20190418,37.25,22.2,0.0,49.0,3.18,Sindhudurg
20190419,36.56,22.74,0.0,60.02,3.05,Sindhudurg
20190420,35.85,23.86,0.0,57.12,2.61,Sindhudurg
20190421,36.48,23.83,0.0,58.6,2.38,Sindhudurg
20190422,38.19,23.72,0.0,53.93,3.2,Sindhudurg
20190423,40.31,23.6,0.0,49.77,2.92,Sindhudurg
20190424,40.15,25.77,0.0,53.45,2.89,Sindhudurg
20190425,39.92,25.57,0.0,57.31,2.64,Sindhudurg
20190426,38.32,25.67,0.01,63.54,2.27,Sindhudurg
20190427,38.04,26.36,0.44,62.75,1.78,Sindhudurg
20190428,36.87,26.67,0.6,62.36,1.91,Sindhudurg
20190429,37.92,26.18,0.06,60.07,2.25,Sindhudurg
20190430,36.01,25.61,0.02,67.98,2.8,Sindhudurg
20190501,35.04,25.37,0.0,63.92,2.33,Sindhudurg
20190502,34.86,24.35,0.0,61.32,2.53,Sindhudurg
20190503,35.06,24.02,0.0,59.76,2.75,Sindhudurg
20190504,34.15,24.2,0.0,63.91,2.83,Sindhudurg
20190505,35.77,24.62,0.0,60.17,3.18,Sindhudurg
20190506,37.58,24.14,0.0,63.37,3.05,Sindhudurg
20190507,35.15,26.18,0.0,64.59,3.15,Sindhudurg
20190508,34.88,26.25,0.02,61.42,3.63,Sindhudurg
20190509,34.88,25.36,0.0,58.24,3.7,Sindhudurg
20190510,36.04,24.87,0.0,62.01,3.95,Sindhudurg
20190511,36.78,24.97,0.0,61.98,3.7,Sindhudurg
20190512,38.12,25.29,0.0,61.19,3.24,Sindhudurg
20190513,37.08,25.79,0.0,62.23,3.18,Sindhudurg
20190514,36.86,25.5,0.0,61.87,3.22,Sindhudurg
20190515,37.2,25.0,0.0,61.28,3.13,Sindhudurg
20190516,36.82,24.19,0.0,62.61,2.8,Sindhudurg
20190517,37.8,24.79,0.0,63.48,3.22,Sindhudurg
20190518,39.75,24.9,0.0,60.33,3.35,Sindhudurg
20190519,40.03,25.23,0.0,54.33,2.72,Sindhudurg
20190520,39.66,25.6,0.0,57.57,2.46,Sindhudurg
20190521,33.99,25.93,0.08,70.94,2.28,Sindhudurg
20190522,37.61,26.49,0.06,66.57,2.81,Sindhudurg
20190523,35.41,26.06,0.41,67.85,2.8,Sindhudurg
20190524,35.52,26.73,0.36,68.68,2.21,Sindhudurg
20190525,36.51,26.39,0.04,64.73,2.87,Sindhudurg
20190526,34.93,26.92,0.02,66.32,2.74,Sindhudurg
20190527,35.48,26.22,0.0,64.16,2.21,Sindhudurg
20190528,36.51,26.67,0.0,63.12,2.98,Sindhudurg
20190529,36.87,25.86,0.0,66.57,3.18,Sindhudurg
20190530,36.32,27.01,0.0,65.99,3.3,Sindhudurg
20190531,35.36,27.07,0.0,65.36,2.74,Sindhudurg
20190601,35.27,27.09,0.0,64.09,2.58,Sindhudurg
20190602,35.56,26.98,0.04,66.53,2.57,Sindhudurg
20190603,35.11,26.05,0.19,64.16,2.68,Sindhudurg
20190604,34.16,27.35,0.02,67.17,3.02,Sindhudurg
20190605,36.5,27.29,2.65,66.61,3.0,Sindhudurg
20190606,33.69,27.36,6.43,72.92,2.37,Sindhudurg
20190607,33.21,26.51,3.36,74.95,1.93,Sindhudurg
20190608,33.82,26.78,1.96,73.31,1.62,Sindhudurg
20190609,33.27,26.98,1.04,76.68,2.39,Sindhudurg
20190610,38.16,26.63,1.95,70.48,3.35,Sindhudurg
20190611,31.71,26.73,13.85,78.68,6.24,Sindhudurg
