DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,31.49,9.47,0.0,18.3,1.93,Solapur
20190102,31.19,11.03,0.0,20.62,1.78,Solapur
20190103,31.45,12.07,0.0,21.96,1.42,Solapur
20190104,32.09,11.45,0.0,23.03,1.73,Solapur
20190105,32.24,12.42,0.0,29.79,1.67,Solapur
20190106,31.82,14.37,0.0,32.6,1.15,Solapur
20190107,31.53,12.85,0.0,30.19,2.13,Solapur
20190108,31.48,11.15,0.0,18.85,1.74,Solapur
20190109,32.04,11.46,0.0,17.09,1.4,Solapur
20190110,31.96,10.69,0.0,19.55,1.52,Solapur
20190111,32.23,11.92,0.0,29.47,1.5,Solapur
20190112,32.53,14.27,0.0,35.67,1.67,Solapur
20190113,32.05,14.47,0.0,37.69,1.51,Solapur
20190114,32.04,14.76,0.0,36.2,1.78,Solapur
20190115,31.81,14.48,0.0,37.85,1.9,Solapur
20190116,31.89,14.46,0.0,34.64,1.87,Solapur
20190117,32.69,13.6,0.0,23.83,1.69,Solapur
20190118,32.56,13.06,0.0,26.91,1.59,Solapur
20190119,31.85,13.39,0.0,28.07,1.98,Solapur
20190120,32.92,13.18,0.0,23.93,1.99,Solapur
20190121,33.17,13.73,0.0,29.09,2.21,Solapur
20190122,31.49,14.5,0.0,43.24,1.26,Solapur
20190123,31.78,14.49,0.0,41.8,1.61,Solapur
20190124,32.62,14.18,0.0,32.26,1.42,Solapur
20190125,31.71,13.81,0.0,29.39,1.85,Solapur
20190126,31.72,14.71,0.01,34.09,1.82,Solapur
20190127,28.67,16.35,0.12,60.58,3.41,Solapur
20190128,29.12,15.56,0.0,46.07,3.24,Solapur
20190129,29.37,12.32,0.0,24.17,2.75,Solapur
20190130,30.71,9.9,0.0,20.28,1.81,Solapur
20190131,31.62,11.03,0.0,32.43,2.26,Solapur
20190201,32.35,14.36,0.0,47.15,2.18,Solapur
20190202,32.55,16.64,0.0,36.63,1.85,Solapur
20190203,32.71,16.68,0.0,39.56,2.72,Solapur
20190204,33.01,16.37,0.0,43.15,2.88,Solapur
20190205,33.43,16.6,0.0,41.09,1.91,Solapur
20190206,34.93,16.93,0.0,35.6,1.61,Solapur
20190207,33.7,17.56,0.0,35.67,2.07,Solapur
20190208,32.68,15.24,0.0,35.59,2.64,Solapur
20190209,33.04,11.49,0.0,17.42,2.34,Solapur
20190210,33.81,12.31,0.0,16.41,1.8,Solapur
20190211,33.69,15.04,0.0,32.4,1.96,Solapur
20190212,34.87,19.52,0.0,42.6,2.39,Solapur
20190213,34.56,18.74,0.0,35.97,2.49,Solapur
20190214,35.94,17.44,0.0,31.88,1.87,Solapur
20190215,35.73,19.5,0.0,30.26,1.76,Solapur
20190216,34.85,17.35,0.0,28.95,1.9,Solapur
20190217,34.94,15.24,0.0,18.18,1.52,Solapur
20190218,36.11,16.0,0.0,19.59,1.45,Solapur
20190219,37.88,19.46,0.0,20.68,1.49,Solapur
20190220,37.86,19.97,0.0,32.45,2.63,Solapur
20190221,37.06,21.21,0.0,32.52,1.96,Solapur
20190222,37.86,21.04,0.0,27.11,1.8,Solapur
20190223,38.17,21.52,0.0,24.82,1.11,Solapur
20190224,38.59,20.78,0.0,21.83,1.56,Solapur
20190225,37.33,18.99,0.0,17.77,1.94,Solapur
20190226,36.23,18.62,0.0,19.36,3.02,Solapur
20190227,35.15,17.55,0.0,24.66,2.77,Solapur
20190228,34.07,17.03,0.0,28.45,2.24,Solapur
20190301,35.87,15.15,0.0,17.01,1.42,Solapur
20190302,38.14,17.77,0.0,26.04,2.29,Solapur
20190303,37.49,17.9,0.0,31.02,1.69,Solapur
20190304,38.63,18.39,0.0,35.51,2.8,Solapur
20190305,36.41,19.15,0.0,40.07,2.6,Solapur
20190306,35.65,18.21,0.0,30.64,2.54,Solapur
20190307,36.34,16.02,0.0,18.06,2.38,Solapur
20190308,38.09,17.43,0.0,15.98,1.73,Solapur
20190309,37.66,19.2,0.0,19.18,1.41,Solapur
20190310,38.49,20.32,0.0,21.43,1.96,Solapur
20190311,39.26,20.3,0.0,19.23,2.09,Solapur
20190312,38.2,20.51,0.0,25.09,2.61,Solapur
20190313,38.58,21.54,0.0,23.1,2.05,Solapur
20190314,38.49,22.25,0.0,20.97,2.31,Solapur
20190315,38.86,23.39,0.0,22.02,2.32,Solapur
20190316,39.74,21.7,0.0,20.78,3.06,Solapur
20190317,39.16,20.97,0.0,21.53,2.13,Solapur
20190318,39.03,20.76,0.0,18.85,1.53,Solapur
20190319,39.75,20.3,0.0,17.89,2.41,Solapur
20190320,39.37,20.39,0.0,19.89,2.56,Solapur
20190321,38.53,20.32,0.0,23.38,2.35,Solapur
20190322,39.08,20.65,0.0,19.83,2.69,Solapur
20190323,40.5,20.46,0.0,16.61,2.27,Solapur
20190324,40.74,22.17,0.0,24.16,2.33,Solapur
20190325,40.25,25.77,1.07,24.98,2.53,Solapur
20190326,41.1,26.89,0.19,22.45,2.44,Solapur
20190327,41.23,23.01,0.0,21.15,1.41,Solapur
20190328,41.69,22.4,0.05,16.03,2.0,Solapur
20190329,41.62,22.05,0.02,16.34,2.07,Solapur
20190330,41.74,23.43,0.1,21.84,1.6,Solapur
20190331,41.66,25.18,1.49,29.43,2.93,Solapur
20190401,41.43,23.06,0.1,22.14,2.41,Solapur
20190402,41.84,22.26,0.0,21.38,2.5,Solapur
20190403,42.55,22.41,0.0,19.72,3.01,Solapur
20190404,41.88,26.86,3.25,24.2,2.69,Solapur
20190405,39.23,25.46,5.5,40.68,1.13,Solapur
20190406,40.02,25.25,0.0,33.57,2.03,Solapur
20190407,40.79,23.99,0.0,26.57,1.46,Solapur
20190408,41.8,23.33,0.0,23.32,2.5,Solapur
20190409,42.11,23.51,0.0,23.93,3.01,Solapur
20190410,41.67,23.09,0.11,22.89,2.37,Solapur
20190411,41.92,23.87,0.05,20.0,1.54,Solapur
20190412,42.94,24.82,0.58,21.31,2.63,Solapur
20190413,41.94,25.73,1.22,26.38,1.88,Solapur
20190414,41.8,28.29,0.79,26.05,1.79,Solapur
20190415,41.75,27.3,1.26,27.81,1.94,Solapur
20190416,40.16,26.48,0.87,34.18,3.51,Solapur
20190417,39.62,23.75,0.0,34.53,3.32,Solapur
20190418,39.95,21.67,0.0,19.78,1.94,Solapur
20190419,40.66,21.66,0.0,23.84,2.89,Solapur
20190420,41.12,23.27,0.0,24.68,3.17,Solapur
20190421,40.78,23.15,0.0,28.62,2.83,Solapur
20190422,41.5,23.86,0.0,24.61,3.16,Solapur
20190423,41.22,23.45,0.0,24.02,1.78,Solapur
20190424,42.17,26.62,0.0,21.2,1.64,Solapur
20190425,42.86,25.79,0.0,19.08,1.71,Solapur
20190426,44.31,27.62,0.0,18.59,1.34,Solapur
20190427,43.96,28.07,0.04,25.51,1.9,Solapur
20190428,44.04,29.49,0.01,22.58,2.44,Solapur
20190429,44.02,27.41,0.04,27.65,3.37,Solapur
20190430,43.77,26.06,0.09,25.0,3.46,Solapur
20190501,41.32,25.22,0.01,29.75,4.34,Solapur
20190502,42.41,25.17,0.0,28.19,4.48,Solapur
20190503,40.91,23.57,0.0,27.62,4.73,Solapur
20190504,40.12,21.7,0.0,33.53,4.07,Solapur
20190505,40.38,23.63,0.0,36.48,3.3,Solapur
20190506,41.41,23.98,0.0,29.5,2.68,Solapur
20190507,41.27,24.98,0.0,28.21,3.67,Solapur
20190508,40.8,24.63,0.0,36.89,4.1,Solapur
20190509,40.95,24.83,0.0,38.75,3.81,Solapur
20190510,41.31,25.23,0.0,34.56,3.65,Solapur
20190511,40.75,25.36,0.0,31.5,2.99,Solapur
20190512,42.43,25.26,0.0,26.82,2.52,Solapur
20190513,42.44,25.76,0.0,29.88,3.48,Solapur
20190514,42.48,24.2,0.0,28.25,3.39,Solapur
20190515,42.55,23.8,0.0,25.49,3.44,Solapur
20190516,42.41,23.98,0.0,24.42,3.28,Solapur
20190517,42.81,24.66,0.0,21.49,3.22,Solapur
20190518,42.33,26.62,0.0,23.12,3.55,Solapur
20190519,43.03,27.23,0.0,20.26,3.87,Solapur
20190520,43.87,26.89,0.0,17.46,3.17,Solapur
20190521,44.05,28.14,0.74,21.89,2.0,Solapur
20190522,43.5,27.93,0.49,29.12,2.64,Solapur
20190523,43.01,28.0,0.94,28.49,3.6,Solapur
20190524,42.21,27.64,0.1,28.59,2.44,Solapur
20190525,42.69,28.08,0.0,29.97,4.1,Solapur
20190526,43.09,27.35,0.0,29.57,4.26,Solapur
20190527,43.03,27.38,0.15,30.26,3.36,Solapur
20190528,43.96,27.92,0.0,25.67,3.65,Solapur
20190529,43.51,26.47,0.0,27.79,3.46,Solapur
20190530,43.71,26.2,0.0,29.51,3.64,Solapur
20190531,43.17,28.33,0.75,32.67,3.29,Solapur
20190601,41.02,27.23,0.31,37.87,3.35,Solapur
20190602,43.63,27.89,0.86,35.13,4.02,Solapur
20190603,40.92,27.02,18.34,48.91,4.52,Solapur
20190604,38.66,25.72,0.73,51.89,3.06,Solapur
20190605,40.59,25.43,0.09,48.2,2.2,Solapur
20190606,39.66,26.21,1.51,50.55,3.86,Solapur
20190607,40.45,27.03,1.48,47.45,2.52,Solapur
20190608,35.0,26.72,5.92,59.33,2.09,Solapur
20190609,32.33,26.38,1.77,69.26,1.45,Solapur
20190610,37.82,24.83,4.07,61.69,2.28,Solapur
20190611,37.46,25.23,0.25,60.31,4.21,Solapur
20190612,35.99,25.02,0.34,62.37,5.56,Solapur
20190613,35.52,24.13,1.95,59.67,5.1,Solapur
20190614,36.79,22.81,0.04,56.63,5.1,Solapur
20190615,37.84,23.8,0.04,57.4,4.96,Solapur
20190616,38.88,24.52,0.0,53.86,5.04,Solapur
20190617,38.96,25.22,0.0,51.79,5.54,Solapur
