DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,29.66,9.23,0.0,20.99,1.23,Wardha
20190102,30.55,9.86,0.0,25.89,1.06,Wardha
20190103,29.75,10.79,0.0,23.37,1.09,Wardha
20190104,29.38,10.11,0.0,28.07,1.61,Wardha
20190105,29.06,9.65,0.0,39.64,1.36,Wardha
20190106,29.08,10.14,0.0,41.97,1.19,Wardha
20190107,29.21,12.16,0.0,28.66,1.63,Wardha
20190108,27.63,8.8,0.0,32.03,1.65,Wardha
20190109,28.23,9.24,0.0,25.85,1.23,Wardha
20190110,28.14,9.78,0.0,30.47,1.7,Wardha
20190111,28.2,9.27,0.0,39.03,1.45,Wardha
20190112,28.78,10.43,0.0,45.51,1.81,Wardha
20190113,28.88,12.23,0.0,48.1,1.13,Wardha
20190114,28.64,13.82,0.0,36.47,1.89,Wardha
20190115,28.56,10.96,0.0,29.92,1.5,Wardha
20190116,29.53,10.31,0.0,19.59,1.35,Wardha
20190117,31.01,10.88,0.0,23.03,1.02,Wardha
20190118,30.63,11.4,0.0,20.33,1.27,Wardha
20190119,30.7,10.89,0.0,17.52,1.53,Wardha
20190120,31.54,11.02,0.0,16.85,1.38,Wardha
20190121,31.93,11.59,0.0,25.12,1.95,Wardha
20190122,30.79,12.54,0.0,33.85,2.23,Wardha
20190123,30.49,13.69,0.0,40.46,1.88,Wardha
20190124,29.57,14.51,0.48,45.33,1.63,Wardha
20190125,25.9,16.98,8.29,69.81,1.95,Wardha
20190126,23.07,14.28,2.48,77.77,2.6,Wardha
20190127,25.51,11.97,0.0,63.47,2.46,Wardha
20190128,25.07,8.28,0.0,36.25,2.67,Wardha
20190129,24.69,6.54,0.0,32.53,2.17,Wardha
20190130,26.25,6.26,0.0,32.63,1.58,Wardha
20190131,27.59,6.93,0.0,33.25,1.88,Wardha
20190201,29.14,9.42,0.0,37.65,1.59,Wardha
20190202,29.91,12.66,0.0,40.1,1.54,Wardha
20190203,30.25,12.99,0.0,38.93,2.01,Wardha
20190204,30.69,13.2,0.0,38.09,1.85,Wardha
20190205,31.18,13.93,0.0,35.68,1.84,Wardha
20190206,32.72,14.76,0.0,35.42,2.19,Wardha
20190207,31.94,17.37,0.0,35.74,3.27,Wardha
20190208,29.77,15.49,0.0,27.97,2.77,Wardha
20190209,27.93,9.77,0.0,16.21,2.77,Wardha
20190210,28.12,8.73,0.0,19.47,1.86,Wardha
20190211,30.29,9.03,0.0,23.81,1.58,Wardha
20190212,32.27,11.38,0.0,25.62,1.84,Wardha
20190213,32.99,13.34,0.0,26.32,1.62,Wardha
20190214,34.36,13.68,0.0,26.6,1.54,Wardha
20190215,33.9,16.32,1.92,35.56,2.23,Wardha
20190216,32.08,17.26,0.0,39.56,1.96,Wardha
20190217,31.25,13.06,0.0,24.93,1.99,Wardha
20190218,33.31,13.29,0.0,20.1,1.31,Wardha
20190219,35.6,15.31,0.0,24.52,1.5,Wardha
20190220,35.84,16.39,0.06,33.68,1.96,Wardha
20190221,36.45,18.77,0.26,36.34,1.95,Wardha
20190222,37.52,21.15,0.07,36.02,2.15,Wardha
20190223,37.1,19.89,0.0,31.27,1.81,Wardha
20190224,37.3,19.82,0.0,26.77,2.44,Wardha
20190225,35.57,19.0,0.0,18.36,2.72,Wardha
20190226,34.14,17.92,0.0,19.27,2.63,Wardha
20190227,33.08,16.44,0.0,28.25,3.33,Wardha
20190228,31.48,15.79,0.0,26.68,2.41,Wardha
20190301,31.58,14.39,0.0,24.87,2.5,Wardha
20190302,34.17,16.1,0.02,34.75,2.84,Wardha
20190303,36.79,21.89,1.41,34.88,3.0,Wardha
20190304,36.35,18.48,0.0,32.23,2.25,Wardha
20190305,34.81,18.96,0.0,29.03,2.86,Wardha
20190306,33.27,16.79,0.0,28.48,2.45,Wardha
20190307,33.5,16.04,0.0,25.04,1.79,Wardha
20190308,35.07,16.35,0.0,22.57,1.66,Wardha
20190309,37.04,19.88,0.0,21.84,1.96,Wardha
20190310,37.79,18.64,0.0,20.57,2.23,Wardha
20190311,38.26,19.34,0.0,22.12,1.92,Wardha
20190312,37.88,20.53,0.0,23.35,1.5,Wardha
20190313,38.64,21.72,0.08,26.06,1.91,Wardha
20190314,37.71,22.82,0.03,25.79,1.85,Wardha
20190315,37.93,21.78,0.0,24.84,1.89,Wardha
20190316,37.77,20.54,0.0,27.27,2.46,Wardha
20190317,39.19,21.56,0.02,27.08,3.04,Wardha
20190318,38.47,20.95,0.77,22.32,2.07,Wardha
20190319,37.28,19.75,0.0,28.35,1.36,Wardha
20190320,37.73,21.16,2.19,35.39,3.19,Wardha
20190321,37.25,22.83,0.65,38.7,1.69,Wardha
20190322,38.87,21.42,0.0,26.25,1.23,Wardha
20190323,38.23,20.29,0.0,23.99,2.42,Wardha
20190324,38.56,20.69,0.0,20.37,2.23,Wardha
20190325,39.99,20.49,0.0,19.86,1.78,Wardha
20190326,41.01,22.39,0.0,18.61,1.65,Wardha
20190327,39.11,21.44,0.0,17.1,2.19,Wardha
20190328,39.54,20.22,0.0,12.98,1.9,Wardha
20190329,41.32,21.32,0.0,15.06,1.17,Wardha
20190330,42.18,22.9,0.0,15.59,1.85,Wardha
20190331,42.74,24.06,0.0,16.48,2.82,Wardha
20190401,42.04,23.98,0.0,15.67,2.7,Wardha
20190402,41.13,22.82,0.0,12.15,2.33,Wardha
20190403,42.24,25.06,0.0,13.34,1.2,Wardha
20190404,43.21,24.9,0.02,19.83,1.7,Wardha
20190405,43.42,26.8,0.22,18.33,3.16,Wardha
20190406,43.6,25.46,0.02,16.27,3.26,Wardha
20190407,42.48,24.93,0.0,15.08,2.69,Wardha
20190408,43.01,26.84,0.0,15.21,1.51,Wardha
20190409,43.4,25.01,0.0,12.84,2.24,Wardha
20190410,43.61,24.53,0.0,12.65,2.63,Wardha
20190411,43.86,24.7,0.4,15.78,0.94,Wardha
20190412,43.55,26.61,0.74,16.61,1.32,Wardha
20190413,43.69,26.96,0.0,13.55,1.26,Wardha
20190414,44.3,26.32,0.0,14.95,0.91,Wardha
20190415,43.57,27.22,0.0,17.9,1.72,Wardha
20190416,39.82,29.16,2.08,25.01,1.94,Wardha
20190417,37.04,24.89,4.32,40.24,1.72,Wardha
20190418,38.64,21.39,0.0,25.62,2.38,Wardha
20190419,39.53,22.38,0.0,24.82,1.63,Wardha
20190420,40.38,23.45,0.07,27.69,1.81,Wardha
20190421,40.76,26.87,0.05,30.25,1.28,Wardha
20190422,40.61,26.87,0.04,28.18,1.58,Wardha
20190423,42.64,25.49,0.0,19.87,1.34,Wardha
20190424,43.43,25.8,0.0,17.3,1.34,Wardha
20190425,44.75,26.64,0.0,16.95,1.63,Wardha
20190426,45.47,28.12,0.0,16.91,1.92,Wardha
20190427,45.91,29.88,0.0,15.0,1.2,Wardha
20190428,45.19,29.08,0.0,17.17,1.66,Wardha
20190429,46.4,28.19,0.0,13.62,1.41,Wardha
20190430,45.91,27.29,0.0,13.07,1.95,Wardha
20190501,45.18,27.67,0.0,12.86,2.18,Wardha
20190502,44.04,27.96,0.0,16.39,2.7,Wardha
20190503,43.33,26.83,0.0,17.74,3.14,Wardha
20190504,42.98,27.89,0.0,19.31,4.08,Wardha
20190505,42.5,27.35,0.0,18.52,3.91,Wardha
20190506,43.24,27.48,0.0,16.82,2.54,Wardha
20190507,43.67,28.91,0.0,17.21,3.47,Wardha
20190508,44.2,28.75,0.0,14.65,4.47,Wardha
20190509,44.27,28.75,0.0,16.29,5.06,Wardha
20190510,43.73,28.42,0.0,20.87,3.27,Wardha
20190511,42.43,29.44,0.01,22.41,3.13,Wardha
20190512,44.35,28.62,0.0,16.68,3.84,Wardha
20190513,44.17,28.49,0.0,18.21,3.27,Wardha
20190514,44.25,29.36,0.0,19.07,2.88,Wardha
20190515,44.27,28.81,0.0,16.82,2.39,Wardha
20190516,44.33,29.06,0.0,18.76,3.98,Wardha
20190517,43.97,29.11,0.0,18.85,4.08,Wardha
20190518,43.11,29.07,0.0,20.46,4.36,Wardha
20190519,43.64,28.2,0.0,18.08,3.1,Wardha
20190520,44.78,28.62,0.0,17.09,1.53,Wardha
20190521,45.32,30.19,0.0,16.5,1.29,Wardha
20190522,46.14,31.11,0.38,17.66,2.58,Wardha
20190523,45.6,30.11,0.0,17.08,2.86,Wardha
20190524,45.32,30.69,0.0,19.71,3.39,Wardha
20190525,44.93,30.41,0.0,19.16,3.76,Wardha
20190526,45.46,31.38,0.0,19.15,3.22,Wardha
20190527,46.65,30.89,0.0,18.0,4.13,Wardha
20190528,46.57,31.0,0.0,18.48,4.35,Wardha
20190529,46.29,31.53,0.0,18.59,2.14,Wardha
20190530,45.9,32.55,0.0,23.21,2.62,Wardha
20190531,46.12,32.94,0.22,24.78,2.99,Wardha
20190601,43.88,33.87,0.0,23.14,1.92,Wardha
20190602,45.63,33.01,0.0,20.52,2.57,Wardha
20190603,47.3,33.6,0.19,21.15,2.29,Wardha
20190604,47.52,30.9,0.14,22.93,2.83,Wardha
20190605,47.17,33.61,0.27,18.68,3.03,Wardha
20190606,45.59,34.5,0.0,17.22,3.39,Wardha
20190607,47.12,33.89,0.15,21.09,3.46,Wardha
20190608,43.57,32.3,4.32,29.04,1.73,Wardha
20190609,42.9,32.37,0.32,35.81,2.93,Wardha
