DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,29.9,12.23,0.0,18.4,1.38,Washim
20190102,31.71,11.19,0.0,21.73,1.27,Washim
20190103,30.51,12.95,0.0,21.01,1.14,Washim
20190104,30.37,11.29,0.0,23.88,1.48,Washim
20190105,30.88,10.95,0.0,27.87,1.39,Washim
20190106,30.52,12.06,0.0,37.92,1.66,Washim
20190107,29.03,10.79,0.0,25.99,1.89,Washim
20190108,27.15,8.3,0.0,24.44,1.58,Washim
20190109,29.37,12.04,0.0,19.94,1.15,Washim
20190110,29.22,8.63,0.0,25.64,1.41,Washim
20190111,30.04,10.02,0.0,31.01,1.37,Washim
20190112,31.17,11.95,0.0,46.28,1.9,Washim
20190113,30.73,13.85,0.0,43.77,1.7,Washim
20190114,29.17,13.23,0.0,39.75,1.75,Washim
20190115,28.74,11.4,0.0,35.91,1.59,Washim
20190116,30.36,12.07,0.0,28.92,1.35,Washim
20190117,31.28,14.67,0.0,22.69,1.25,Washim
20190118,30.94,14.75,0.0,22.42,1.35,Washim
20190119,30.82,11.03,0.0,21.03,1.55,Washim
20190120,32.15,13.7,0.0,17.66,1.67,Washim
20190121,32.81,12.8,0.0,19.29,2.22,Washim
20190122,31.26,13.04,0.0,27.52,1.84,Washim
20190123,30.68,14.0,0.0,36.38,1.69,Washim
20190124,30.57,13.7,0.07,40.65,1.48,Washim
20190125,30.07,17.43,1.68,49.65,2.24,Washim
20190126,22.54,15.29,2.2,74.45,2.94,Washim
20190127,25.76,12.61,0.01,63.14,2.21,Washim
20190128,25.6,9.55,0.0,32.72,2.46,Washim
20190129,25.53,6.34,0.0,25.0,2.01,Washim
20190130,27.65,9.22,0.0,22.82,1.84,Washim
20190131,29.56,8.26,0.0,26.42,2.16,Washim
20190201,30.73,12.19,0.0,43.18,1.9,Washim
20190202,30.74,15.63,0.0,43.43,2.54,Washim
20190203,31.17,15.98,0.0,32.72,3.0,Washim
20190204,31.45,15.49,0.0,31.95,2.66,Washim
20190205,32.4,15.16,0.0,32.0,2.02,Washim
20190206,33.76,16.4,0.0,32.09,2.13,Washim
20190207,32.34,18.3,0.0,33.39,2.86,Washim
20190208,29.98,14.33,0.0,31.13,3.11,Washim
20190209,27.86,9.69,0.0,15.58,2.68,Washim
20190210,29.97,7.81,0.0,16.9,1.92,Washim
20190211,32.04,10.07,0.0,20.52,1.86,Washim
20190212,33.33,13.61,0.0,28.98,2.36,Washim
20190213,34.03,16.56,0.0,29.66,2.12,Washim
20190214,35.27,16.12,0.0,25.6,1.77,Washim
20190215,35.23,17.69,0.44,32.28,2.6,Washim
20190216,33.05,15.94,0.05,26.37,2.29,Washim
20190217,31.74,13.4,0.0,23.74,2.02,Washim
20190218,34.35,13.58,0.0,17.95,1.46,Washim
20190219,36.47,15.52,0.0,20.91,1.73,Washim
20190220,36.73,17.06,0.05,30.38,2.44,Washim
20190221,37.09,21.91,0.45,34.69,2.23,Washim
20190222,36.99,23.25,0.0,31.11,1.45,Washim
20190223,37.46,19.63,0.0,28.38,1.39,Washim
20190224,37.73,20.49,0.0,21.95,2.08,Washim
20190225,35.48,18.89,0.0,17.9,2.63,Washim
20190226,34.22,17.83,0.0,18.32,2.59,Washim
20190227,33.82,16.52,0.0,26.96,3.0,Washim
20190228,31.63,15.8,0.0,25.02,2.55,Washim
20190301,32.64,13.61,0.0,24.12,2.21,Washim
20190302,35.45,16.29,0.0,35.08,2.68,Washim
20190303,36.99,22.18,0.0,30.43,2.26,Washim
20190304,36.83,17.9,0.0,28.8,2.33,Washim
20190305,33.95,18.92,0.0,24.35,3.25,Washim
20190306,33.93,16.13,0.0,20.74,2.33,Washim
20190307,33.98,15.18,0.0,24.0,2.0,Washim
20190308,35.8,15.53,0.0,21.32,1.67,Washim
20190309,36.83,18.77,0.0,21.0,2.19,Washim
20190310,38.04,18.19,0.0,20.47,1.98,Washim
20190311,38.45,19.27,0.0,20.03,1.63,Washim
20190312,37.42,20.32,0.0,24.02,2.09,Washim
20190313,38.15,21.58,0.0,22.06,1.49,Washim
20190314,37.26,21.79,0.0,21.07,2.73,Washim
20190315,37.75,21.23,0.0,21.54,1.78,Washim
20190316,38.74,19.84,0.0,21.68,2.0,Washim
20190317,39.48,22.44,0.0,23.66,3.75,Washim
20190318,38.67,19.45,0.03,16.01,2.09,Washim
20190319,38.64,19.42,0.0,22.99,1.78,Washim
20190320,38.76,20.92,0.37,29.6,2.17,Washim
20190321,37.68,22.1,1.15,27.63,2.54,Washim
20190322,38.62,20.22,0.41,19.77,1.96,Washim
20190323,38.82,20.45,0.0,21.08,2.55,Washim
20190324,38.84,20.77,0.0,23.06,2.55,Washim
20190325,40.43,20.91,0.0,19.37,1.84,Washim
20190326,40.91,23.45,0.0,18.65,2.17,Washim
20190327,39.62,20.57,0.0,17.28,2.23,Washim
20190328,40.38,20.04,0.0,13.43,1.96,Washim
20190329,41.38,22.79,0.0,13.94,1.61,Washim
20190330,41.94,22.47,0.0,14.72,1.45,Washim
20190331,41.76,23.43,0.0,16.61,2.3,Washim
20190401,41.56,23.92,0.0,14.58,3.47,Washim
20190402,41.48,22.21,0.0,13.28,2.4,Washim
20190403,42.12,23.69,0.0,13.3,1.44,Washim
20190404,42.46,25.38,0.13,23.11,1.22,Washim
20190405,41.92,27.07,0.0,20.99,3.17,Washim
20190406,42.61,23.67,0.18,18.99,2.72,Washim
20190407,41.76,24.75,0.0,17.51,2.92,Washim
20190408,42.22,24.41,0.0,16.37,2.27,Washim
20190409,42.54,23.67,0.0,14.5,2.66,Washim
20190410,42.46,23.7,0.0,15.29,2.74,Washim
20190411,43.3,23.92,0.0,15.9,2.27,Washim
20190412,43.12,24.39,0.03,14.38,1.5,Washim
20190413,43.21,26.24,0.03,14.29,0.99,Washim
20190414,43.42,26.29,0.0,17.57,1.13,Washim
20190415,42.33,27.48,0.14,22.17,2.06,Washim
20190416,40.09,28.22,2.29,26.53,1.69,Washim
20190417,39.26,24.86,1.87,34.48,2.73,Washim
20190418,39.08,21.57,0.0,18.56,2.25,Washim
20190419,39.77,22.27,0.0,23.12,2.35,Washim
20190420,41.26,23.13,0.0,23.4,1.5,Washim
20190421,41.57,26.64,0.0,25.99,1.95,Washim
20190422,41.02,24.23,0.0,23.02,2.02,Washim
20190423,42.23,25.16,0.0,21.51,1.56,Washim
20190424,43.13,25.32,0.0,16.97,1.4,Washim
20190425,44.58,26.5,0.0,15.97,1.99,Washim
20190426,44.91,27.87,0.0,16.26,1.54,Washim
20190427,45.63,28.18,0.0,15.48,1.74,Washim
20190428,46.12,27.57,0.0,13.71,2.65,Washim
20190429,45.69,27.51,0.0,12.34,2.21,Washim
20190430,45.05,26.78,0.0,14.03,2.92,Washim
20190501,42.85,27.14,0.0,16.01,3.85,Washim
20190502,43.3,26.78,0.0,17.92,4.05,Washim
20190503,41.87,25.36,0.0,19.79,4.32,Washim
20190504,41.63,25.17,0.0,22.22,3.6,Washim
20190505,41.44,25.6,0.0,23.2,3.76,Washim
20190506,42.48,26.4,0.0,18.74,3.16,Washim
20190507,42.8,27.46,0.0,16.61,3.34,Washim
20190508,42.51,26.58,0.0,18.9,4.62,Washim
20190509,42.77,26.43,0.0,23.6,4.57,Washim
20190510,41.99,26.91,0.0,25.95,3.57,Washim
20190511,41.45,27.51,0.0,22.86,3.58,Washim
20190512,43.23,27.01,0.0,19.74,3.34,Washim
20190513,43.09,28.06,0.0,21.45,3.33,Washim
20190514,42.93,28.25,0.0,21.34,3.45,Washim
20190515,43.44,27.31,0.0,19.46,3.03,Washim
20190516,42.66,27.09,0.0,21.24,4.19,Washim
20190517,42.75,27.49,0.0,20.78,4.43,Washim
20190518,42.16,28.18,0.0,22.59,4.48,Washim
20190519,42.98,27.62,0.0,19.37,3.44,Washim
20190520,44.17,27.61,0.0,17.94,2.39,Washim
20190521,44.77,28.98,0.0,17.42,2.34,Washim
20190522,44.67,30.08,0.09,19.4,3.75,Washim
20190523,44.26,28.93,0.0,18.9,3.36,Washim
20190524,43.84,28.69,0.0,22.6,3.91,Washim
20190525,43.38,29.24,0.0,23.02,4.28,Washim
20190526,44.64,29.36,0.0,20.53,4.29,Washim
20190527,44.5,29.27,0.0,22.81,5.06,Washim
20190528,44.68,28.3,0.0,22.21,5.23,Washim
20190529,44.96,28.67,0.0,21.34,3.51,Washim
20190530,44.64,30.24,0.04,21.88,2.67,Washim
20190531,43.93,31.98,0.53,23.23,2.45,Washim
20190601,44.37,31.36,0.0,23.63,2.33,Washim
20190602,44.25,30.61,0.0,24.87,3.28,Washim
20190603,39.79,31.56,0.15,30.43,4.44,Washim
20190604,44.86,29.27,0.0,25.32,3.47,Washim
20190605,45.37,29.99,1.56,24.53,4.57,Washim
20190606,44.76,31.97,0.02,22.21,4.45,Washim
20190607,45.2,31.95,0.52,24.51,3.61,Washim
20190608,40.97,32.02,4.28,37.34,3.67,Washim
20190609,39.15,29.77,0.01,43.42,2.93,Washim
20190610,43.13,29.94,0.05,32.94,3.69,Washim
20190611,43.47,29.73,0.01,33.04,3.83,Washim
20190612,42.16,28.94,0.0,41.11,5.44,Washim
20190613,37.58,29.29,0.0,47.4,4.23,Washim
20190614,41.13,28.26,0.0,34.85,4.54,Washim
20190615,41.79,28.37,0.29,34.14,4.56,Washim
20190616,40.5,28.57,0.22,36.06,4.66,Washim
20190617,40.19,29.69,0.53,37.61,4.39,Washim
20190618,41.27,28.15,0.0,35.52,4.63,Washim
20190619,39.9,28.93,0.03,41.2,4.2,Washim
20190620,35.63,28.53,0.41,49.52,3.18,Washim
20190621,38.74,28.53,2.05,43.69,3.21,Washim
20190622,37.07,28.26,3.19,52.28,3.88,Washim
20190623,34.73,25.7,8.68,64.72,2.75,Washim
20190624,36.42,25.98,1.52,62.26,1.38,Washim
20190625,37.27,26.47,2.2,60.86,1.66,Washim
20190626,35.25,26.57,6.03,66.8,2.72,Washim
20190627,30.43,25.92,20.7,79.48,2.7,Washim
20190628,30.54,25.5,16.87,79.71,3.29,Washim
20190629,28.93,23.83,9.94,79.96,4.1,Washim
20190630,31.1,22.94,9.45,77.02,4.45,Washim
20190701,32.22,23.05,2.53,74.21,3.47,Washim
20190702,29.28,24.45,13.69,82.34,4.32,Washim
20190703,30.02,22.5,9.63,80.9,5.57,Washim
20190704,34.1,22.57,5.18,66.65,5.21,Washim
20190705,30.14,22.11,8.01,71.32,5.76,Washim
20190706,33.4,23.56,4.46,74.24,5.33,Washim
20190707,30.61,23.88,6.61,78.61,4.81,Washim
20190708,31.24,23.88,7.4,81.03,4.08,Washim
20190709,32.49,24.09,5.73,75.73,4.0,Washim
20190710,33.4,24.44,3.9,73.91,3.93,Washim
20190711,32.7,24.2,5.32,75.5,3.94,Washim
20190712,32.24,23.8,1.33,74.24,3.51,Washim
20190713,32.07,24.03,0.5,75.62,3.45,Washim
20190714,32.47,24.08,0.13,73.74,4.13,Washim
20190715,33.2,23.79,0.0,71.57,4.09,Washim
20190716,34.43,24.24,0.0,68.95,3.79,Washim
20190717,34.99,24.55,0.0,67.75,3.28,Washim
20190718,35.7,24.23,1.23,66.36,3.06,Washim
20190719,33.41,25.59,2.8,69.69,1.75,Washim
20190720,30.39,24.33,26.68,83.85,2.33,Washim
