DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,29.95,9.92,0.0,19.23,1.2,Yavatmal
20190102,31.21,11.54,0.0,23.11,0.93,Yavatmal
20190103,30.27,12.46,0.0,21.21,0.84,Yavatmal
20190104,29.92,9.91,0.0,27.17,1.49,Yavatmal
20190105,30.13,10.18,0.0,36.71,1.24,Yavatmal
20190106,30.24,11.36,0.0,39.85,1.2,Yavatmal
20190107,29.56,11.59,0.0,28.2,1.72,Yavatmal
20190108,27.57,8.56,0.0,27.56,1.41,Yavatmal
20190109,28.87,10.01,0.0,22.15,1.13,Yavatmal
20190110,28.81,9.17,0.0,28.57,1.52,Yavatmal
20190111,29.12,9.33,0.0,37.09,1.36,Yavatmal
20190112,30.33,11.26,0.0,45.35,1.8,Yavatmal
20190113,30.55,13.74,0.0,47.21,1.33,Yavatmal
20190114,29.1,14.02,0.0,39.53,1.69,Yavatmal
20190115,28.62,11.16,0.0,31.44,1.47,Yavatmal
20190116,30.0,10.83,0.0,24.43,1.25,Yavatmal
20190117,31.0,12.07,0.0,23.79,0.98,Yavatmal
20190118,30.86,11.84,0.0,21.86,1.21,Yavatmal
20190119,30.96,10.85,0.0,18.61,1.55,Yavatmal
20190120,31.79,11.4,0.0,18.57,1.51,Yavatmal
20190121,32.95,11.9,0.0,20.26,1.91,Yavatmal
20190122,31.41,13.17,0.0,30.3,2.07,Yavatmal
20190123,31.15,14.28,0.0,36.16,1.89,Yavatmal
20190124,30.51,14.49,0.13,42.52,1.6,Yavatmal
20190125,28.76,18.51,2.23,58.85,2.19,Yavatmal
20190126,23.55,15.52,1.57,73.49,2.76,Yavatmal
20190127,26.53,12.5,0.0,60.69,2.27,Yavatmal
20190128,26.1,9.59,0.0,30.51,2.45,Yavatmal
20190129,25.66,6.78,0.0,25.45,1.96,Yavatmal
20190130,27.34,7.65,0.0,25.73,1.67,Yavatmal
20190131,28.87,7.68,0.0,28.85,2.04,Yavatmal
20190201,30.18,10.61,0.0,36.73,1.67,Yavatmal
20190202,30.69,14.63,0.0,40.42,1.97,Yavatmal
20190203,30.93,14.16,0.0,35.38,2.42,Yavatmal
20190204,31.44,14.39,0.0,34.16,2.26,Yavatmal
20190205,32.02,14.65,0.0,32.73,1.92,Yavatmal
20190206,33.9,16.11,0.0,32.65,2.31,Yavatmal
20190207,32.87,18.49,0.0,34.47,3.12,Yavatmal
20190208,29.77,15.41,0.0,28.26,3.07,Yavatmal
20190209,28.27,9.99,0.0,15.04,2.66,Yavatmal
20190210,29.51,8.12,0.0,17.96,1.81,Yavatmal
20190211,31.16,9.34,0.0,22.87,1.8,Yavatmal
20190212,32.88,11.98,0.0,27.51,2.04,Yavatmal
20190213,33.6,14.73,0.0,28.24,1.82,Yavatmal
20190214,35.44,15.08,0.0,24.4,1.67,Yavatmal
20190215,35.16,17.43,0.33,32.65,2.69,Yavatmal
20190216,33.27,16.82,0.03,30.72,2.19,Yavatmal
20190217,31.88,13.55,0.0,23.53,1.95,Yavatmal
20190218,34.06,13.61,0.0,18.22,1.27,Yavatmal
20190219,36.57,15.71,0.0,21.7,1.54,Yavatmal
20190220,36.78,16.5,0.05,32.46,2.31,Yavatmal
20190221,37.47,20.24,0.76,36.33,2.05,Yavatmal
20190222,37.8,22.94,0.0,32.65,2.03,Yavatmal
20190223,37.64,19.96,0.0,28.83,1.54,Yavatmal
20190224,37.92,20.13,0.0,24.48,2.22,Yavatmal
20190225,35.54,19.16,0.0,17.95,2.71,Yavatmal
20190226,34.64,17.79,0.0,18.75,2.51,Yavatmal
20190227,33.76,16.95,0.0,27.4,3.15,Yavatmal
